count, lifter pos (mm), left pedal pos (mm), left slider pos (mm), right pedal pos (mm), right slider pos (mm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
0,0,0,0,0,0,-0.529,-0.918,0.02,1.354,-0.099,
1,0,0,0,0,0,-0.529,-0.918,0.02,1.354,-0.099,
2,0,0,0,0,0,-0.529,-0.918,0.02,1.354,-0.099,
3,0,0,0,0,0,-0.55,-0.918,0.02,1.354,-0.099,
4,0,0,0,0,0,-0.55,-0.918,0.02,1.354,-0.099,
5,0,0,0,0,0,-0.55,-0.918,0.02,1.354,-0.099,
6,0,0,0,0,0,-0.55,-0.918,0.04,1.354,-0.099,
7,0,0,0,0,0,-0.55,-0.918,0.04,1.373,-0.099,
8,0,0,0,0,0,-0.55,-0.918,0.04,1.373,-0.118,
9,0,0,0,0,0,-0.55,-0.918,0.04,1.373,-0.118,
10,0,0,0,0,0,-0.55,-0.918,0.04,1.373,-0.118,
11,0,0,0,0,0,-0.55,-0.918,0.04,1.373,-0.118,
12,0,0,0,0,0,-0.55,-0.918,0.04,1.373,-0.118,
13,0,0,0,0,0,-0.55,-0.918,0.04,1.373,-0.118,
14,0,0,0,0,0,-0.55,-0.918,0.04,1.373,-0.118,
15,0,0,0,0,0,-0.587,-0.918,0.04,1.373,-0.118,
16,0,0,0,0,0,-0.587,-0.918,0.04,1.373,-0.118,
17,0,0,0,0,0,-0.587,-0.918,0.04,1.373,-0.118,
18,0,0,0,0,0,-0.587,-0.918,0.012,1.373,-0.118,
19,0,0,0,0,0,-0.587,-0.918,0.012,1.378,-0.118,
20,0,0,0,0,0,-0.587,-0.918,0.012,1.378,-0.118,
21,0,0,0,0,0,-0.587,-0.918,0.012,1.378,-0.129,
22,0,0,0,0,0,-0.587,-0.918,0.012,1.378,-0.129,
23,0,0,0,0,0,-0.587,-0.918,0.012,1.378,-0.129,
24,0,0,0,0,0,-0.587,-0.918,0.012,1.378,-0.129,
25,0,0,0,0,0,-0.587,-0.918,0.012,1.378,-0.129,
26,0,0,0,0,0,-0.587,-0.918,0.012,1.378,-0.129,
27,0,0,0,0,0,-0.529,-0.918,0.012,1.378,-0.129,
28,0,0,0,0,0,-0.529,-0.918,0.012,1.378,-0.129,
29,0,0,0,0,0,-0.529,-0.907,0.012,1.378,-0.129,
