time (s), lifter (1cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,-3.097,0.007,0.022,-0.023,-0.023,-0.017,-0.212,-0.174,0.052,
0.01,0,0,0,0,0,0,0,0,0,-3.097,0.007,0.022,-0.023,-0.023,-0.017,-0.212,-0.174,0.052,
0.02,0,0,0,0,0,0,0,0,0,-3.097,0.007,0.022,-0.023,-0.023,-0.017,-0.212,-0.174,0.052,
0.03,0,0,0,0,0,0,0,0,0,-3.097,0.007,0.022,-0.023,-0.023,-0.017,-0.212,-0.174,0.052,
0.04,0,0,0,0,0,0,0,0,0,-3.097,0.007,0.022,-0.023,-0.023,-0.017,-0.212,-0.174,0.052,
0.05,0,0,0,0,0,0,0,0,0,-3.097,0.007,0.022,-0.023,-0.023,-0.017,-0.212,-0.174,0.052,
0.06,0,0,0,0,0,0,0,0,0,-3.097,0.007,0.022,-0.023,-0.023,-0.017,-0.212,-0.174,0.052,
0.07,0,0,0,0,0,0,0,0,0,-3.097,0.007,0.022,-0.023,-0.023,-0.017,-0.212,-0.174,0.052,
0.08,0,0,0,0,0,0,0,0,0,-3.097,0.007,0.022,-0.023,-0.023,-0.017,-0.212,-0.174,0.052,
0.09,0,0,0,0,0,0,0,0,0,-3.097,0.007,0.022,-0.023,-0.023,-0.017,-0.212,-0.174,0.052,
0.09999999,0,0,0,0,0,0,0,0,0,-2.849,16.511,-4.576,0.036,-0.023,-0.017,-0.212,-0.174,0.052,
0.11,0,0,0,0,0,0,0,0,0,-2.849,16.511,-4.576,0.036,-0.039,-0.054,-0.155,-0.135,0.052,
0.12,0,0,0,0,0,0,0,0,0,-2.849,16.511,-4.576,0.036,-0.039,-0.054,-0.155,-0.135,-0.023,
0.13,0,0,0,0,0,0,0,0,0,-2.849,16.511,-4.576,0.036,-0.039,-0.054,-0.155,-0.135,-0.023,
0.14,0,0,0,0,0,0,0,0,0,-2.849,16.511,-4.576,0.036,-0.039,-0.054,-0.155,-0.135,-0.023,
0.15,0,0.09,0.04,0,0,0,0,0,0,-2.849,16.511,-4.576,0.036,-0.039,-0.054,-0.155,-0.135,-0.023,
0.16,0,0.09,0.04,0,0,0,0,0,0,-2.849,16.511,-4.576,0.036,-0.039,-0.054,-0.155,-0.135,-0.023,
0.17,0,0.09,0.04,0,0,0,0,0,0,-2.787,16.511,-4.576,0.036,-0.039,-0.054,-0.155,-0.135,-0.023,
0.18,0,0.09,0.04,0,0,0,0,0,0,-2.787,4.026,-3.17,-0.043,-0.001,-0.054,-0.155,-0.135,-0.023,
0.19,0,0.09,0.04,0,0,0,0,0,0,-2.787,4.026,-3.17,-0.043,-0.001,-0.017,-0.115,-0.194,-0.023,
0.2,0,0.09,0.04,0,0,0,0,0,0,-2.787,4.026,-3.17,-0.043,-0.001,-0.017,-0.115,-0.194,-0.003,
0.21,0,0.09,0.04,0,0,0,0,0,0,-2.787,4.026,-3.17,-0.043,-0.001,-0.017,-0.115,-0.194,-0.003,
0.22,0,0.09,0.04,0,0,0,0,0,0,-2.787,4.026,-3.17,-0.043,-0.001,-0.017,-0.115,-0.194,-0.003,
