lifter pos, left pedal pos, left slider pos, right pedal pos, right slider pos, lifter current, left pedal current, left slider current, right pedal current, right slider current
-155,106,-430,4,561,98,-442,33,-503,-5,
-119,19,-595,4,651,342,-301,65,719,-346,
-3,2,-652,94,589,-381,-892,1050,610,-1059,
-14,1,-517,208,417,-258,-784,987,702,-1297,
-75,1,-265,221,3,-270,-322,1308,-1164,148,
-148,-2,121,204,-283,-226,-419,-19,-926,-108,
-155,-2,459,74,-546,272,-279,208,-70,-255,
-140,-2,585,13,-650,267,1464,188,-530,-131,
-59,12,658,9,-646,-154,1323,-963,-469,1333,
-3,162,640,8,-541,-282,1270,-1025,-553,1064,
-14,232,483,8,-383,-213,1085,-922,-615,1123,
-74,235,202,5,-49,-86,-1162,-1187,-401,8,
-120,209,1,4,185,-277,-1569,250,-349,-6,
-149,137,-234,3,379,-317,-572,47,-398,54,
-155,32,-482,3,571,264,-236,-59,-486,-24,
-141,7,-583,3,637,225,-312,-33,398,-5,
-72,2,-658,18,655,-80,-795,958,1401,-1063,
-3,2,-631,140,576,116,-731,1165,531,-958,
-7,1,-489,217,346,-207,-817,965,707,-1032,
-47,-1,-191,221,-6,-109,-570,1387,-1152,-2,
-127,-1,73,207,-259,-249,-527,105,-1005,24,
-154,-1,349,115,-472,-396,-473,110,-53,-167,
-156,-1,611,11,-654,330,1582,130,-483,-726,
-113,24,658,8,-639,-48,1227,-740,-464,1230,
-12,192,630,8,-530,-45,1292,-1248,-607,1133,
-3,229,509,8,-238,-307,193,-1248,-418,1173,
-29,233,158,4,118,-261,-1334,-1152,-479,-36,
-89,180,-116,4,337,-171,-1313,107,-503,81,
-138,74,-388,4,529,-339,-356,75,-507,-64,
-155,9,-608,4,658,41,-484,-590,1456,-680,
-69,2,-658,53,615,88,-817,929,0,-1152,
-27,2,-619,52,510,-147,-752,1291,0,-1010,
-4,1,-528,52,379,31,-806,911,0,-1272,
-158,-1,663,52,-662,260,1689,-1335,0,1035,
-58,90,578,52,-609,-40,1098,-1193,0,1074,
-11,196,395,52,-434,-23,1216,-989,0,1092,
-3,234,74,52,6,-264,-937,153,0,-83,
-51,218,-370,52,317,-78,-1365,37,0,70,
-118,137,-526,52,510,-284,-561,-345,0,1,
-152,41,-632,52,606,-358,-324,3,0,-4,
-156,3,-655,52,656,159,-451,1055,0,-915,
-93,1,-574,52,624,-90,-548,1029,0,-1103,
-37,1,662,52,-615,-261,1700,-1285,0,1324,
-30,26,639,52,-512,-524,1816,-1302,0,1076,
-96,123,523,52,-341,-265,1173,-1019,0,1126,
-159,240,-662,52,610,342,-711,1003,0,-1196,
-141,230,-572,52,474,244,-1033,1096,0,-1162,
-66,137,-366,52,214,-42,-421,1190,0,-999,
-13,32,-53,52,-114,-84,-204,42,0,-106,
-3,4,346,52,-475,-256,-613,132,0,-26,
-29,1,542,52,-617,-423,-613,123,0,-41,
-92,1,634,52,-654,-313,-677,-10,0,626,
-156,1,642,52,-562,250,-827,-1205,0,441,
0,25,-661,52,644,-319,1837,1116,0,-1108,
-54,116,-607,52,569,-447,1237,1100,0,-998,
-114,203,-428,52,-660,326,-1162,-1156,0,958,
-143,198,560,52,-637,207,-1472,-1110,0,1347,
-105,129,430,52,-524,-80,-572,-1097,0,1132,
-37,36,187,52,-343,-27,-151,-970,0,998,
-8,7,-72,52,-112,-7,-709,114,0,-60,
-4,2,-391,52,252,-444,-516,41,0,-43,
-32,1,-556,52,451,-239,-656,-461,0,164,
-75,1,-628,52,572,-94,-709,49,0,-106,
-123,1,-656,52,633,-277,-741,109,0,-8,
-154,1,-653,52,655,-205,-860,1111,0,-1099,
-154,1,-496,52,601,176,-193,980,0,-1172,
-130,-2,-356,52,-660,151,1872,-1189,0,808,
-24,66,629,52,-644,-266,1794,-1231,0,1342,
-61,138,553,52,-581,-170,1270,-1192,0,998,
-115,200,435,52,-468,-307,1375,-641,0,-358,
-147,212,-651,52,655,252,-1397,987,0,-1125,
-111,138,-578,52,602,385,-400,998,0,-1148,
-55,58,-454,52,475,-100,-335,988,0,-1114,
-21,18,-311,52,338,-114,-451,1046,0,-1008,
-4,6,-105,52,126,25,-548,73,0,130,
-9,2,275,52,-231,-495,-720,80,0,-137,
-32,2,429,52,-418,-326,-849,177,0,-84,
-77,1,547,52,-538,-77,-387,215,0,-190,
-128,0,632,52,-618,-210,-666,105,0,-67,
-150,0,656,52,-654,-342,-634,-1256,0,626,
-148,0,563,52,-629,189,-645,-1032,0,472,
-11,25,-650,52,653,-298,2009,991,0,-1091,
-44,96,-584,52,582,-83,1044,1086,0,-1024,
-113,193,-411,52,402,-450,1193,-1159,0,672,
-139,189,635,52,-641,240,-1356,-1290,0,1248,
-69,69,494,52,-531,87,-399,-935,0,1095,
-19,11,257,52,-298,-92,-301,-1220,0,1175,
-3,2,-169,52,143,-363,-634,45,0,14,
-25,2,-407,52,386,-257,-666,12,0,100,
-101,1,-582,52,575,-325,-752,90,0,46,
-147,1,-651,52,644,-369,-849,-567,0,593,
-156,1,-616,52,654,155,-118,1061,0,-1082,
-125,-2,662,52,-659,-262,1816,-1276,0,1146,
-50,105,592,52,-602,-167,787,-1244,0,1030,
-125,209,-662,52,662,-72,-990,1053,0,-968,
-131,169,-492,52,626,321,-722,917,0,-1228,
-64,58,-264,52,493,30,-324,1130,0,-1167,
-17,10,17,52,287,-150,-247,64,0,-1021,
-3,3,253,52,-88,-40,-570,192,0,-12,
-9,2,508,52,-313,-335,-806,95,0,36,
-50,2,609,52,-488,-458,-774,162,0,-164,
-115,0,657,52,-600,-306,-656,46,0,-55,
-154,0,650,52,-654,-430,-656,-1227,0,889,
-156,0,497,52,-628,110,-666,-933,0,1320,
-138,0,363,52,-539,-164,-32,710,0,-644,
-16,35,-647,52,653,-313,2020,1002,0,-1111,
-54,114,-564,52,589,-409,947,1046,0,-1160,
-99,174,-471,52,491,-378,1259,995,0,-1169,
-141,241,662,52,-660,313,-1012,-1381,0,1027,
-118,154,606,52,-627,260,-314,-1245,0,1206,
-61,68,487,52,-495,-54,-399,-957,0,1054,
-18,13,297,52,-314,-17,-290,-1026,0,1122,
-4,5,4,52,37,-149,-795,33,0,-43,
-10,1,-276,52,254,-291,-709,-309,0,-27,
-50,1,-475,52,438,-437,-752,-40,0,151,
-98,1,-579,52,566,-325,-806,69,0,-76,
-137,1,-639,52,626,-358,-827,-176,0,-4,
-153,1,-656,52,655,-441,-946,1020,0,-645,
-149,-1,-594,52,643,247,-215,1124,0,-1070,
-122,-2,-471,52,-660,3,1904,-770,0,1373,
0,37,645,52,-347,25,1163,-966,0,25,
0,0,2,52,652,-46,-774,-255,0,-1164,
0,0,1,52,590,-20,-774,-304,0,-1019,
0,0,1,52,429,-29,-827,-469,0,-1141,
0,0,1,52,250,142,-817,-469,0,40,
0,0,1,52,100,62,-795,-508,0,5,
0,0,1,52,13,-29,-795,-488,0,-72,
0,0,1,52,9,13,-784,-518,0,-431,
0,0,1,52,8,-23,-806,-547,0,-503,
0,0,1,52,8,-15,-817,-557,0,-611,
0,0,1,52,7,8,-795,-576,0,-545,
0,0,1,52,6,-68,-806,-313,0,-653,
0,0,-1,52,6,3,-795,-508,0,-560,
0,0,0,52,4,25,-795,-381,0,-611,
0,0,0,52,4,3,-795,-187,0,-604,
0,0,-1,52,3,79,-806,-210,0,-607,
