time (s), lifter (1cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,-0.32,-0.01,-0.014,0.011,0.012,0.068,-0.013,0.006,0.003,
0.01,0,0,0,0,0,0,0,0,0,-0.32,-0.01,-0.014,0.011,0.012,0.068,-0.013,0.006,0.003,
0.02,0,0,0,0,0,0,0,0,0,-0.32,-0.01,-0.014,0.011,0.012,0.068,-0.013,0.006,0.003,
0.03,0,0,0,0,0,0,0,0,0,-0.32,-0.01,-0.014,0.011,0.012,0.068,-0.013,0.006,0.003,
0.04,0,0,0,0,0,0.06,0,0,0,-0.32,-0.01,-0.014,0.011,0.012,0.068,-0.013,0.006,0.003,
0.05,0,0,0,0,0,0.06,0,0,0,0.085,0.012,-0.014,0.011,0.012,0.068,-0.013,0.006,0.003,
0.06,0,0,0,0,0,0.06,0,0,0,0.085,0.012,-0.084,0,0.023,-2.477,-0.013,0.006,0.003,
0.07,0,0,0,0,0,0.06,0,0,0,0.085,0.012,-0.084,0,0.023,-2.477,0.046,-0.028,-0.008,
0.08,0,0,0,0,0,0.06,0,0,0,0.085,0.012,-0.084,0,0.023,-2.477,0.046,-0.028,-0.008,
0.09,0,0,0,0,0,0.06,0,0,0,0.085,0.012,-0.084,0,0.023,-2.477,0.046,-0.028,-0.008,
0.09999999,0,0,0,0,0,0.06,0,0,0,0.085,0.012,-0.084,0,0.023,-2.477,0.046,-0.028,-0.008,
0.11,0,0,0,0,0,0.29,0,0,0,0.085,0.012,-0.084,0,0.023,-2.477,0.046,-0.028,-0.008,
0.12,0,0,0,0,0,0.29,0,0,0,-0.066,0.012,-0.084,0,0.023,-2.477,0.046,-0.028,-0.008,
0.13,0,0,0,0,0,0.29,0,0,0,-0.066,0.001,-0.348,-0.01,-0.004,-2.477,0.046,-0.028,-0.008,
0.14,0,0,0,0,0,0.29,0,0,0,-0.066,0.001,-0.348,-0.01,-0.004,-1.962,0.084,0.029,-0.008,
0.15,0,0,0,0,0,0.29,0,0,0,-0.066,0.001,-0.348,-0.01,-0.004,-1.962,0.084,0.029,-0.054,
0.16,0,0,0,0,0,0.29,0,0,0,-0.066,0.001,-0.348,-0.01,-0.004,-1.962,0.084,0.029,-0.054,
0.17,0,0,0,0,0,0.29,0,0,0,-0.066,0.001,-0.348,-0.01,-0.004,-1.962,0.084,0.029,-0.054,
0.18,0,0,0,0,0,0.29,0,0,0,-0.066,0.001,-0.348,-0.01,-0.004,-1.962,0.084,0.029,-0.054,
0.19,0,0,0,0,0,0.66,0,0,0,-0.066,0.001,-0.348,-0.01,-0.004,-1.962,0.084,0.029,-0.054,
0.2,0,0,0,0,0,0.66,0,0,0,-0.368,0.001,-0.037,-0.01,-0.004,-1.962,0.084,0.029,-0.054,
0.21,0,0,0,0,0,0.66,0,0,0,-0.368,0.001,-0.037,0,0.008,-1.104,0.065,0.029,-0.054,
0.22,0,0,0,0,0,0.66,0,0,0,-0.368,0.001,-0.037,0,0.008,-1.104,0.065,0.006,0.003,
0.23,0,0,0,0,0,0.66,0,0,0,-0.368,0.001,-0.037,0,0.008,-1.104,0.065,0.006,0.003,
0.24,0,0,0,0,0,0.66,0,0,0,-0.368,0.001,-0.037,0,0.008,-1.104,0.065,0.006,0.003,
0.25,0,0,0,0,0,0.66,0,0,0,-0.368,0.001,-0.037,0,0.008,-1.104,0.065,0.006,0.003,
0.26,0,0,0,0,0,1.04,0,0,0,-0.368,0.001,-0.037,0,0.008,-1.104,0.065,0.006,0.003,
0.27,0,0,0,0,0,1.04,0,0,0,-0.126,0.001,-0.006,0,0.008,-1.104,0.065,0.006,0.003,
0.28,0,0,0,0,0,1.04,0,0,0,-0.126,0.001,-0.006,0,-0.022,-1.072,0.065,0.006,0.003,
0.29,0,0,0,0,0,1.04,0,0,0,-0.126,0.001,-0.006,0,-0.022,-1.072,-0.095,-0.005,-0.02,
0.3,0,0,0,0,0,1.04,0,0,0,-0.126,0.001,-0.006,0,-0.022,-1.072,-0.095,-0.005,-0.02,
0.31,0,0,0,0,0,1.04,0,0,0,-0.126,0.001,-0.006,0,-0.022,-1.072,-0.095,-0.005,-0.02,
0.32,0,0,0,0,0,1.04,0,0,0,-0.126,0.001,-0.006,0,-0.022,-1.072,-0.095,-0.005,-0.02,
0.33,0,0,0,0,0,1.43,0,0,0,-0.126,0.001,-0.006,0,-0.022,-1.072,-0.095,-0.005,-0.02,
0.34,0,0,0,0,0,1.43,0,0,0,0.067,-0.01,-0.006,0,-0.022,-1.072,-0.095,-0.005,-0.02,
0.35,0,0,0,0,0,1.43,0,0,0,0.067,-0.01,-0.004,-0.02,-0.03,-0.68,-0.095,-0.005,-0.02,
0.36,0,0,0,0,0,1.43,0,0,0,0.067,-0.01,-0.004,-0.02,-0.03,-0.68,0.044,0.017,0.003,
0.37,0,0,0,0,0,1.43,0,0,0,0.067,-0.01,-0.004,-0.02,-0.03,-0.68,0.044,0.017,0.003,
0.38,0,0,0,0,0,1.43,0,0,0,0.067,-0.01,-0.004,-0.02,-0.03,-0.68,0.044,0.017,0.003,
0.39,0,0,0,0,0,1.43,0,0,0,0.067,-0.01,-0.004,-0.02,-0.03,-0.68,0.044,0.017,0.003,
0.4,0,0,0,0,0,1.77,0,0,0,0.067,-0.01,-0.004,-0.02,-0.03,-0.68,0.044,0.017,0.003,
0.41,0,0,0,0,0,1.77,0,0,0,-0.171,-0.01,-0.317,-0.01,-0.03,-0.68,0.044,0.017,0.003,
0.42,0,0,0,0,0,1.77,0,0,0,-0.171,-0.01,-0.317,-0.01,0,-0.054,-0.072,0.017,0.003,
0.43,0,0,0,0,0,1.77,0,0,0,-0.171,-0.01,-0.317,-0.01,0,-0.054,-0.072,-0.017,-0.008,
0.44,0,0,0,0,0,1.77,0,0,0,-0.171,-0.01,-0.317,-0.01,0,-0.054,-0.072,-0.017,-0.008,
0.45,0,0,0,0,0,1.77,0,0,0,-0.171,-0.01,-0.317,-0.01,0,-0.054,-0.072,-0.017,-0.008,
0.46,0,0,0,0,0,1.77,0,0,0,-0.171,-0.01,-0.317,-0.01,0,-0.054,-0.072,-0.017,-0.008,
0.47,0,0,0,0,0,2.15,0,0,0,-0.171,-0.01,-0.317,-0.01,0,-0.054,-0.072,-0.017,-0.008,
0.48,0,0,0,0,0,2.15,0,0,0,-0.414,0.001,-0.355,-0.01,0,-0.054,-0.072,-0.017,-0.008,
0.49,0,0,0,0,0,2.15,0,0,0,-0.414,0.001,-0.355,0.008,0,-0.073,0.025,-0.017,-0.008,
0.5,0,0,0,0,0,2.15,0,0,0,-0.414,0.001,-0.355,0.008,0,-0.073,0.025,0.029,0.015,
0.51,0,0,0,0,0,2.15,0,0,0,-0.414,0.001,-0.355,0.008,0,-0.073,0.025,0.029,0.015,
0.52,0,0,0,0,0,2.15,0,0,0,-0.414,0.001,-0.355,0.008,0,-0.073,0.025,0.029,0.015,
0.53,0,0,0,0,0,2.15,0,0,0,-0.414,0.001,-0.355,0.008,0,-0.073,0.025,0.029,0.015,
0.54,0,0,0,0,0,2.54,0,0,0,-0.414,0.001,-0.355,0.008,0,-0.073,0.025,0.029,0.015,
0.55,0,0,0,0,0,2.54,0,0,0,-0.139,0.001,-0.355,0.008,0,-0.073,0.025,0.029,0.015,
0.56,0,0,0,0,0,2.54,0,0,0,-0.139,0.012,-0.36,0.017,-0.015,-0.073,0.025,0.029,0.015,
0.57,0,0,0,0,0,2.54,0,0,0,-0.139,0.012,-0.36,0.017,-0.015,0.012,0.065,-0.028,0.003,
0.58,0,0,0,0,0,2.54,0,0,0,-0.139,0.012,-0.36,0.017,-0.015,0.012,0.065,-0.028,0.003,
0.59,0,0,0,0,0,2.54,0,0,0,-0.139,0.012,-0.36,0.017,-0.015,0.012,0.065,-0.028,0.003,
0.6,0,0,0,0,0,2.54,0,0,0,-0.139,0.012,-0.36,0.017,-0.015,0.012,0.065,-0.028,0.003,
0.61,0,0,0,0,0,2.92,0,0,0,-0.139,0.012,-0.36,0.017,-0.015,0.012,0.065,-0.028,0.003,
0.62,0,0,0,0,0,2.92,0,0,0,0.245,0.001,-0.36,0.017,-0.015,0.012,0.065,-0.028,0.003,
0.63,0,0,0,0,0,2.92,0,0,0,0.245,0.001,-0.362,-0.011,0.015,11.041,0.065,-0.028,0.003,
0.64,0,0,0,0,0,2.92,0,0,0,0.245,0.001,-0.362,-0.011,0.015,11.041,0.027,-0.005,0.003,
0.65,0,0,0,0,0,2.92,0,0,0,0.245,0.001,-0.362,-0.011,0.015,11.041,0.027,-0.005,0.003,
0.66,0,0,0,0,0,2.92,0,0,0,0.245,0.001,-0.362,-0.011,0.015,11.041,0.027,-0.005,0.003,
0.67,0,0,0,0,0,2.92,0,0,0,0.245,0.001,-0.362,-0.011,0.015,11.041,0.027,-0.005,0.003,
0.68,0,0,0,0,0,2.92,0,0,0,0.245,0.001,-0.362,-0.011,0.015,11.041,0.027,-0.005,0.003,
0.69,0,0,0,0,0,2.92,0,0,0,0.245,0.001,-0.362,-0.011,0.015,11.041,0.027,-0.005,0.003,
0.7,0,0,0,0,0,3,0,0,0,0.245,0.001,-0.362,-0.011,0.015,11.041,0.027,-0.005,0.003,
0.71,0,0,0,0,0,3,0,0,0,0.153,0.001,-0.196,-0.021,0.015,11.041,0.027,-0.005,0.003,
