time (s), lifter (10cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,0.343,0,0.005,0.018,0.049,0.004,-0.089,-0.027,-0.021,
0.01,0,0,0,0,0,0,0,0,0,0.343,0,0.005,0.018,0.049,0.004,-0.032,0.008,-0.021,
0.02,0,0,0,0,0,0,0,0,0,0.343,0,0.005,0.018,0.049,0.004,-0.032,0.008,-0.032,
0.03,0,0,0,0,0,0,0,0,0,0.343,0,0.005,0.018,0.049,0.004,-0.032,0.008,-0.032,
0.04,0,0,0,0,0,0,0,0,0,0.343,0,0.005,0.018,0.049,0.004,-0.032,0.008,-0.032,
0.05,0,0,0,0,0,0,0,0,0,0.343,0,0.005,0.018,0.049,0.004,-0.032,0.008,-0.032,
0.06,0,0,0,0,0,0,0,0,0,0.343,0,0.005,0.018,0.049,0.004,-0.032,0.008,-0.032,
0.07,0,0,0,0,0,0,0,0,0,0.312,0,0.005,0.018,0.049,0.004,-0.032,0.008,-0.032,
0.08,0,0,0,0,0,0,0,0,0,0.312,0,-0.015,-0.027,-0.03,0.004,-0.032,0.008,-0.032,
0.09,0,0,0,0,0,0,0,0,0,0.312,0,-0.015,-0.027,-0.03,-0.018,-0.01,0.019,-0.044,
0.09999999,0,0,0,0,0,0,0,0,0,0.312,0,-0.015,-0.027,-0.03,-0.018,-0.01,0.019,-0.044,
0.11,0,0,0,0,0,0,0,0,0,0.312,0,-0.015,-0.027,-0.03,-0.018,-0.01,0.019,-0.044,
0.12,0,0,0,0,0,0,0,0,0,0.312,0,-0.015,-0.027,-0.03,-0.018,-0.01,0.019,-0.044,
0.13,0,0,0,0,0,0,0,0,0,0.312,0,-0.015,-0.027,-0.03,-0.018,-0.01,0.019,-0.044,
0.14,0,0,0,0,0,0,0,0,0,0.312,0,-0.015,-0.027,-0.03,-0.018,-0.01,0.019,-0.044,
0.15,0,0,0,0,0,0,0,0,0,0.321,0,-0.015,-0.027,-0.03,-0.018,-0.01,0.019,-0.044,
0.16,0,0,0,0,0,0,0,0,0,0.321,0,0.012,-0.039,0.003,-0.041,-0.01,0.019,-0.044,
0.17,0,0,0,0,0,0,0,0,0,0.321,0,0.012,-0.039,0.003,-0.041,0.002,-0.004,0.002,
0.18,0,0,0,0,0,0,0,0,0,0.321,0,0.012,-0.039,0.003,-0.041,0.002,-0.004,0.002,
0.19,0,0,0,0,0,0,0,0,0,0.321,0,0.012,-0.039,0.003,-0.041,0.002,-0.004,0.002,
0.2,0,0,0,0,0,0,0,0,0,0.321,0,0.012,-0.039,0.003,-0.041,0.002,-0.004,0.002,
0.21,0,0,0,0,0,0,0,0,0,0.321,0,0.012,-0.039,0.003,-0.041,0.002,-0.004,0.002,
0.22,0,0,0,0,0,0,0,0,0,0.35,0,0.012,-0.039,0.003,-0.041,0.002,-0.004,0.002,
0.23,0,0,0,0,0,0,0,0,0,0.35,0.01,-0.005,0.012,0.008,-0.041,0.002,-0.004,0.002,
0.24,0,0,0,0,0,0,0,0,0,0.35,0.01,-0.005,0.012,0.008,-0.007,0.013,0.008,0.002,
0.25,0,0,0,0,0,0,0,0,0,0.35,0.01,-0.005,0.012,0.008,-0.007,0.013,0.008,-0.044,
0.26,0,0,0,0,0,0,0,0,0,0.35,0.01,-0.005,0.012,0.008,-0.007,0.013,0.008,-0.044,
