time (s), lifter (1cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,0.005,-0.008,-0.001,0.017,0.023,-0.083,0.095,0.023,0.056,
0.01,0,0,0,0,0,0,0,0,0,0.005,0.002,-0.012,0.009,0.023,-0.083,0.095,0.023,0.056,
0.02,0,0,0,0,0,0,0,0,0,0.005,0.002,-0.012,0.009,0.006,0.088,0.027,0.023,0.056,
0.03,0,0,0,0,0,0,0,0,0,0.005,0.002,-0.012,0.009,0.006,0.088,0.027,0.023,-0.023,
0.04,0,0,0,0,0,0,0,0,0,0.005,0.002,-0.012,0.009,0.006,0.088,0.027,0.023,-0.023,
0.05,0,0,0,0,0,0,0,0,0,0.005,0.002,-0.012,0.009,0.006,0.088,0.027,0.023,-0.023,
0.06,0,0,0,0,0,0,0,0,0,0.005,0.002,-0.012,0.009,0.006,0.088,0.027,0.023,-0.023,
0.07,0,0,0,0,0,0,0,0,0,0.005,0.002,-0.012,0.009,0.006,0.088,0.027,0.023,-0.023,
0.08,0,0,0,0,0,0,0,0,0,0.062,0.002,-0.001,0.009,0.006,0.088,0.027,0.023,-0.023,
0.09,0,0,0,0,0,0,0,0,0,0.062,0.002,-0.001,0.045,-0.011,-0.026,0.004,0.023,-0.023,
0.09999999,0,0,0,0,0,0,0,0,0,0.062,0.002,-0.001,0.045,-0.011,-0.026,0.004,-0.011,-0.023,
0.11,0,0,0,0,0,0,0,0,0,0.062,0.002,-0.001,0.045,-0.011,-0.026,0.004,-0.011,-0.023,
0.12,0,0,0,0,0,0,0,0,0,0.062,0.002,-0.001,0.045,-0.011,-0.026,0.004,-0.011,-0.023,
0.13,0,0,0,0,0,0,0,0,0,0.062,0.002,-0.001,0.045,-0.011,-0.026,0.004,-0.011,-0.023,
0.14,0,0,0,0,0,0,0,0,0,0.062,0.002,-0.001,0.045,-0.011,-0.026,0.004,-0.011,-0.023,
0.15,0,0,0,0,0,0,0,0,0,0.062,0.013,-0.001,0.045,-0.011,-0.026,0.004,-0.011,-0.023,
0.16,0,0,0,0,0,0,0,0,0,0.062,0.013,-0.023,-0.035,-0.033,-0.037,0.004,-0.011,-0.023,
0.17,0,0,0,0,0,0,0,0,0,0.062,0.013,-0.023,-0.035,-0.033,-0.037,0.015,0,-0.092,
0.18,0,0,0,0,0,0,0,0,0,0.062,0.013,-0.023,-0.035,-0.033,-0.037,0.015,0,-0.092,
0.19,0,0,0,0,0,0,0,0,0,0.062,0.013,-0.023,-0.035,-0.033,-0.037,0.015,0,-0.092,
0.2,0,0,0,0,0,0,0,0,0,0.062,0.013,-0.023,-0.035,-0.033,-0.037,0.015,0,-0.092,
0.21,0,0,0,0,0,0,0,0,0,0.062,0.013,-0.023,-0.035,-0.033,-0.037,0.015,0,-0.092,
0.22,0,0,0,0,0,0,0,0,0,0.051,0.002,-0.023,-0.035,-0.033,-0.037,0.015,0,-0.092,
0.23,0,0,0,0,0,0,0,0,0,0.051,0.002,0.033,0.005,0.006,-0.037,0.015,0,-0.092,
0.24,0,0,0,0,0,0,0,0,0,0.051,0.002,0.033,0.005,0.006,-0.049,-0.019,0.057,0.022,
0.25,0,0,0,0,0,0,0,0,0,0.051,0.002,0.033,0.005,0.006,-0.049,-0.019,0.057,0.022,
0.26,0,0,0,0,0,0,0,0,0,0.051,0.002,0.033,0.005,0.006,-0.049,-0.019,0.057,0.022,
0.27,0,0,0,0,0,0,0,0,0,0.051,0.002,0.033,0.005,0.006,-0.049,-0.019,0.057,0.022,
0.28,0,0,0,0,0,0,0,0,0,0.051,0.002,0.033,0.005,0.006,-0.049,-0.019,0.057,0.022,
0.29,0,0,0,0,0,0,0,0,0,0.062,-0.008,0.033,0.005,0.006,-0.049,-0.019,0.057,0.022,
0.3,0,0,0,0,0,0,0,0,0,0.062,-0.008,0.011,0.005,0,-0.049,-0.019,0.057,0.022,
0.31,0,0,0,0,0,0,0,0,0,0.062,-0.008,0.011,0.005,0,-0.094,0.027,-0.011,0.011,
0.32,0,0,0,0,0,0,0,0,0,0.062,-0.008,0.011,0.005,0,-0.094,0.027,-0.011,0.011,
0.33,0,0,0,0,0,0,0,0,0,0.062,-0.008,0.011,0.005,0,-0.094,0.027,-0.011,0.011,
0.34,0,0,0,0,0,0,0,0,0,0.062,-0.008,0.011,0.005,0,-0.094,0.027,-0.011,0.011,
0.35,0,0,0,0,0,0,0,0,0,0.062,-0.008,0.011,0.005,0,-0.094,0.027,-0.011,0.011,
0.36,0,0,0,0,0,0,0,0,0,0.062,-0.008,0.011,0.005,0,-0.094,0.027,-0.011,0.011,
0.37,0,0,0,0,0,0,0,0,0,0.039,0.002,0.028,-0.008,0,-0.094,0.027,-0.011,0.011,
0.38,0,0,0,0,0,0,0,0,0,0.039,0.002,0.028,-0.008,0.023,-0.037,0.027,-0.011,0.011,
0.39,0,0,0,0,0,0,0,0,0,0.039,0.002,0.028,-0.008,0.023,-0.037,0.027,0.069,-0.001,
0.4,0,0,0,0,0,0,0,0,0,0.039,0.002,0.028,-0.008,0.023,-0.037,0.027,0.069,-0.001,
0.41,0,0,0,0,0,0,0,0,0,0.039,0.002,0.028,-0.008,0.023,-0.037,0.027,0.069,-0.001,
0.42,0,0,0,0,0,0,0,0,0,0.039,0.002,0.028,-0.008,0.023,-0.037,0.027,0.069,-0.001,
0.43,0,0,0,0,0,0,0,0,0,0.039,0.002,0.028,-0.008,0.023,-0.037,0.027,0.069,-0.001,
0.44,0,0,0,0,0,0,0,0,0,0.074,0.002,-0.012,-0.008,0.023,-0.037,0.027,0.069,-0.001,
0.45,0,0,0,0,0,0,0,0,0,0.074,0.002,-0.012,-0.013,-0.017,0.042,0.038,0.069,-0.001,
0.46,0,0,0,0,0,0,0,0,0,0.074,0.002,-0.012,-0.013,-0.017,0.042,0.038,-0.045,-0.001,
0.47,0,0,0,0,0,0,0,0,0,0.074,0.002,-0.012,-0.013,-0.017,0.042,0.038,-0.045,-0.001,
0.48,0,0,0,0,0,0,0,0,0,0.074,0.002,-0.012,-0.013,-0.017,0.042,0.038,-0.045,-0.001,
0.49,0,0,0,0,0,0,0,0,0,0.074,0.002,-0.012,-0.013,-0.017,0.042,0.038,-0.045,-0.001,
0.5,0,0,0,0,0,0,0,0,0,0.108,0.002,-0.012,-0.013,-0.017,0.042,0.038,-0.045,-0.001,
0.51,0,0,0,0,0,0,0,0,0,0.108,0.002,0.011,-0.005,-0.033,-0.06,0.004,-0.011,-0.001,
0.52,0,0,0,0,0,0,0,0,0,0.108,0.002,0.011,-0.005,-0.033,-0.06,0.004,-0.011,-0.058,
0.53,0,0,0,0,0,0,0,0,0,0.108,0.002,0.011,-0.005,-0.033,-0.06,0.004,-0.011,-0.058,
0.54,0,0,0,0,0,0,0,0,0,0.108,0.002,0.011,-0.005,-0.033,-0.06,0.004,-0.011,-0.058,
0.55,0,0,0,0,0,0,0,0,0,0.108,0.002,0.011,-0.005,-0.033,-0.06,0.004,-0.011,-0.058,
0.56,0,0,0,0,0,0,0,0,0,0.108,0.002,0.011,-0.005,-0.033,-0.06,0.004,-0.011,-0.058,
0.57,0,0,0,0,0,0,0,0,0,0.062,0.002,-0.006,0.017,0.034,-0.06,0.004,-0.011,-0.058,
0.58,0,0,0,0,0,0,0,0,0,0.062,0.002,-0.006,0.017,0.034,-0.049,-0.008,-0.034,-0.035,
0.59,0,0,0,0,0,0,0,0,0,0.062,0.002,-0.006,0.017,0.034,-0.049,-0.008,-0.034,-0.035,
0.6,0,0,0,0,0,0,0,0,0,0.062,0.002,-0.006,0.017,0.034,-0.049,-0.008,-0.034,-0.035,
0.61,0,0,0,0,0,0,0,0,0,0.062,0.002,-0.006,0.017,0.034,-0.049,-0.008,-0.034,-0.035,
0.62,0,0,0,0,0,0,0,0,0,0.062,0.002,-0.006,0.017,0.034,-0.049,-0.008,-0.034,-0.035,
0.63,0,0,0,0,0,0,0,0,0,0.108,0.002,-0.006,0.017,0.034,-0.049,-0.008,-0.034,-0.035,
0.64,0,0,0,0,0,0,0,0,0,0.108,0.002,-0.001,-0.036,0.012,-0.049,-0.008,-0.034,-0.035,
0.65,0,0,0,0,0,0,0,0,0,0.108,0.002,-0.001,-0.036,0.012,0.008,0.004,0.012,0.011,
0.66,0,0,0,0,0,0,0,0,0,0.108,0.002,-0.001,-0.036,0.012,0.008,0.004,0.012,0.011,
0.67,0,0,0,0,0,0,0,0,0,0.108,0.002,-0.001,-0.036,0.012,0.008,0.004,0.012,0.011,
0.68,0,0,0,0,0,0,0,0,0,0.108,0.002,-0.001,-0.036,0.012,0.008,0.004,0.012,0.011,
0.69,0,0,0,0,0,0,0,0,0,0.096,0.002,-0.001,-0.036,0.012,0.008,0.004,0.012,0.011,
