time (s), lifter (10cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,-0.082,-0.002,0.019,-0.01,-0.005,-0.004,0.006,-0.003,0.003,
0.01,0,0,0,0,0,0,0,0,0,-0.082,-0.002,0.019,-0.01,-0.005,-0.004,0.006,-0.003,0.003,
0.02,0,0,0,0,0,0,0,0,0,-0.082,-0.002,0.019,-0.01,-0.005,-0.004,0.006,-0.003,0.003,
0.03,0,0,0,0,0,0,0,0,0,-0.082,-0.002,0.019,-0.01,-0.005,-0.004,0.006,-0.003,0.003,
0.04,0,0,0,0,0,0,0,0,0,-0.011,-0.002,0.004,-0.01,-0.005,-0.004,0.006,-0.003,0.003,
0.05,0,0,0,0,0,0,0,0,0,-0.011,-0.002,0.004,-0.006,0.012,-0.54,-0.258,-0.463,0.003,
0.06,0,0,0,0,0,0,0,0,0,-0.011,-0.002,0.004,-0.006,0.012,-0.54,-0.258,-0.463,-0.466,
0.07,0,0,0,0,0,0,0,0,0,-0.011,-0.002,0.004,-0.006,0.012,-0.54,-0.258,-0.463,-0.466,
0.08,0,0,0,0,0,0,0,0,0,-0.011,-0.002,0.004,-0.006,0.012,-0.54,-0.258,-0.463,-0.466,
0.09,0,0,0,0,0,0.01,0,0,0,-0.011,-0.002,0.004,-0.006,0.012,-0.54,-0.258,-0.463,-0.466,
0.09999999,0,0,0,0,0,0.01,0.01,0,0,-0.037,-0.002,0.004,-0.006,0.012,-0.54,-0.258,-0.463,-0.466,
0.11,0,0,0,0,0,0.01,0.01,0,0,-0.037,-0.002,0.011,0.009,-0.021,-0.54,-0.258,-0.463,-0.466,
0.12,0,0,0,0,0,0.01,0.01,0,0,-0.037,-0.002,0.011,0.009,-0.021,-0.594,-0.308,-0.387,-0.252,
0.13,0,0,0,0,0,0.01,0.01,0,0,-0.037,-0.002,0.011,0.009,-0.021,-0.594,-0.308,-0.387,-0.252,
0.14,0,0,0,0,0,0.01,0.01,0,0,-0.037,-0.002,0.011,0.009,-0.021,-0.594,-0.308,-0.387,-0.252,
0.15,0,0,0,0,0,0.01,0.01,0,0,-0.037,-0.002,0.011,0.009,-0.021,-0.594,-0.308,-0.387,-0.252,
0.16,0,0,0,0,0,0.02,0.02,0.02,0,-0.037,-0.002,0.011,0.009,-0.021,-0.594,-0.308,-0.387,-0.252,
0.17,0,0,0,0,0,0.02,0.02,0.02,0.01,-0.047,-0.002,0.011,0.009,-0.021,-0.594,-0.308,-0.387,-0.252,
0.18,0,0,0,0,0,0.02,0.02,0.02,0.01,-0.047,-0.002,0.011,0.001,0.006,-0.486,-0.262,-0.387,-0.252,
0.19,0,0,0,0,0,0.02,0.02,0.02,0.01,-0.047,-0.002,0.011,0.001,0.006,-0.486,-0.262,-0.434,-0.355,
0.2,0,0,0,0,0,0.02,0.02,0.02,0.01,-0.047,-0.002,0.011,0.001,0.006,-0.486,-0.262,-0.434,-0.355,
0.21,0,0,0,0,0,0.02,0.02,0.02,0.01,-0.047,-0.002,0.011,0.001,0.006,-0.486,-0.262,-0.434,-0.355,
0.22,0,0,0,0,0,0.02,0.02,0.02,0.01,-0.047,-0.002,0.011,0.001,0.006,-0.486,-0.262,-0.434,-0.355,
0.23,0,0,0,0,0,0.05,0.04,0.04,0.01,-0.047,-0.002,0.011,0.001,0.006,-0.486,-0.262,-0.434,-0.355,
0.24,0,0,0,0,0,0.05,0.04,0.04,0.02,-0.011,0.009,0.019,0.042,0.006,-0.486,-0.262,-0.434,-0.355,
0.25,0,0,0,0,0,0.05,0.04,0.04,0.02,-0.011,0.009,0.019,0.042,-0.032,-0.438,-0.335,-0.414,-0.355,
0.26,0,0,0,0,0,0.05,0.04,0.04,0.02,-0.011,0.009,0.019,0.042,-0.032,-0.438,-0.335,-0.414,-0.335,
0.27,0,0,0,0,0,0.05,0.04,0.04,0.02,-0.011,0.009,0.019,0.042,-0.032,-0.438,-0.335,-0.414,-0.335,
0.28,0,0,0,0,0,0.05,0.04,0.04,0.02,-0.011,0.009,0.019,0.042,-0.032,-0.438,-0.335,-0.414,-0.335,
0.29,0,0,0,0,0,0.05,0.04,0.04,0.02,-0.011,0.009,0.019,0.042,-0.032,-0.438,-0.335,-0.414,-0.335,
0.3,0,0,0,0,0,0.08,0.07,0.07,0.05,-0.011,0.009,0.019,0.042,-0.032,-0.438,-0.335,-0.414,-0.335,
0.31,0,0,0,0,0,0.08,0.07,0.07,0.05,-0.047,0.009,0,0.008,-0.032,-0.438,-0.335,-0.414,-0.335,
0.32,0,0,0,0,0,0.08,0.07,0.07,0.05,-0.047,0.009,0,0.008,-0.016,-0.371,-0.404,-0.424,-0.321,
0.33,0,0,0,0,0,0.08,0.07,0.07,0.05,-0.047,0.009,0,0.008,-0.016,-0.371,-0.404,-0.424,-0.321,
0.34,0,0,0,0,0,0.08,0.07,0.07,0.05,-0.047,0.009,0,0.008,-0.016,-0.371,-0.404,-0.424,-0.321,
0.35,0,0,0,0,0,0.08,0.07,0.07,0.05,-0.047,0.009,0,0.008,-0.016,-0.371,-0.404,-0.424,-0.321,
0.36,0,0,0,0,0,0.08,0.07,0.07,0.05,-0.047,0.009,0,0.008,-0.016,-0.371,-0.404,-0.424,-0.321,
0.37,0,0,0,0,0,0.11,0.1,0.1,0.05,-0.047,0.009,0,0.008,-0.016,-0.371,-0.404,-0.424,-0.321,
0.38,0,0,0,0,0,0.11,0.1,0.1,0.07,-0.024,-0.002,0.002,0.008,-0.016,-0.371,-0.404,-0.424,-0.321,
0.39,0,0,0,0,0,0.11,0.1,0.1,0.07,-0.024,-0.002,0.002,0.001,0.012,-0.523,-0.284,-0.424,-0.321,
0.4,0,0,0,0,0,0.11,0.1,0.1,0.07,-0.024,-0.002,0.002,0.001,0.012,-0.523,-0.284,-0.468,-0.294,
0.41,0,0,0,0,0,0.11,0.1,0.1,0.07,-0.024,-0.002,0.002,0.001,0.012,-0.523,-0.284,-0.468,-0.294,
0.42,0,0,0,0,0,0.11,0.1,0.1,0.07,-0.024,-0.002,0.002,0.001,0.012,-0.523,-0.284,-0.468,-0.294,
0.43,0,0,0,0,0,0.11,0.1,0.1,0.07,-0.024,-0.002,0.002,0.001,0.012,-0.523,-0.284,-0.468,-0.294,
0.44,0,0,0,0,0,0.16,0.1,0.1,0.07,-0.024,-0.002,0.002,0.001,0.012,-0.523,-0.284,-0.468,-0.294,
0.45,0,0,0,0,0,0.16,0.14,0.15,0.11,-0.014,-0.002,0.002,0.001,0.012,-0.523,-0.284,-0.468,-0.294,
0.46,0,0,0,0,0,0.16,0.14,0.15,0.11,-0.014,-0.002,0.006,0.001,-0.01,-0.523,-0.284,-0.468,-0.294,
0.47,0,0,0,0,0,0.16,0.14,0.15,0.11,-0.014,-0.002,0.006,0.001,-0.01,-0.521,-0.201,-0.46,-0.294,
0.48,0,0,0,0,0,0.16,0.14,0.15,0.11,-0.014,-0.002,0.006,0.001,-0.01,-0.521,-0.201,-0.46,-0.214,
0.49,0,0,0,0,0,0.16,0.14,0.15,0.11,-0.014,-0.002,0.006,0.001,-0.01,-0.521,-0.201,-0.46,-0.214,
0.5,0,0,0,0,0,0.16,0.14,0.15,0.11,-0.014,-0.002,0.006,0.001,-0.01,-0.521,-0.201,-0.46,-0.214,
0.51,0,0,0,0,0,0.16,0.14,0.15,0.11,-0.014,-0.002,0.006,0.001,-0.01,-0.521,-0.201,-0.46,-0.214,
0.52,0,0,0,0,0,0.22,0.18,0.2,0.11,-0.014,-0.002,0.006,0.001,-0.01,-0.521,-0.201,-0.46,-0.214,
0.53,0,0,0,0,0,0.22,0.18,0.2,0.15,-0.034,-0.002,0.017,0.001,-0.01,-0.521,-0.201,-0.46,-0.214,
0.54,0,0,0,0,0,0.22,0.18,0.2,0.15,-0.034,-0.002,0.017,-0.058,0.012,-0.416,-0.201,-0.46,-0.214,
0.55,0,0,0,0,0,0.22,0.18,0.2,0.15,-0.034,-0.002,0.017,-0.058,0.012,-0.416,-0.297,-0.429,-0.183,
0.56,0,0,0,0,0,0.22,0.18,0.2,0.15,-0.034,-0.002,0.017,-0.058,0.012,-0.416,-0.297,-0.429,-0.183,
0.57,0,0,0,0,0,0.22,0.18,0.2,0.15,-0.034,-0.002,0.017,-0.058,0.012,-0.416,-0.297,-0.429,-0.183,
0.58,0,0,0,0,0,0.22,0.18,0.2,0.15,-0.034,-0.002,0.017,-0.058,0.012,-0.416,-0.297,-0.429,-0.183,
0.59,0,0,0,0,0,0.22,0.18,0.2,0.15,-0.034,-0.002,0.017,-0.058,0.012,-0.416,-0.297,-0.429,-0.183,
0.6,0,0,0,0,0,0.28,0.22,0.27,0.19,-0.034,-0.002,0.017,-0.058,0.012,-0.416,-0.297,-0.429,-0.183,
0.61,0,0,0,0,0,0.28,0.22,0.27,0.19,0.018,-0.002,0.011,-0.058,0.012,-0.416,-0.297,-0.429,-0.183,
0.62,0,0,0,0,0,0.28,0.22,0.27,0.19,0.018,-0.002,0.011,-0.032,0.001,-0.499,-0.268,-0.429,-0.183,
0.63,0,0,0,0,0,0.28,0.22,0.27,0.19,0.018,-0.002,0.011,-0.032,0.001,-0.499,-0.268,-0.468,-0.293,
0.64,0,0,0,0,0,0.28,0.22,0.27,0.19,0.018,-0.002,0.011,-0.032,0.001,-0.499,-0.268,-0.468,-0.293,
0.65,0,0,0,0,0,0.28,0.22,0.27,0.19,0.018,-0.002,0.011,-0.032,0.001,-0.499,-0.268,-0.468,-0.293,
0.66,0,0,0,0,0,0.28,0.22,0.27,0.19,0.018,-0.002,0.011,-0.032,0.001,-0.499,-0.268,-0.468,-0.293,
0.67,0,0,0,0,0,0.36,0.26,0.27,0.19,0.018,-0.002,0.011,-0.032,0.001,-0.499,-0.268,-0.468,-0.293,
0.68,0,0,0,0,0,0.36,0.26,0.34,0.23,0.031,-0.002,0.011,-0.032,0.001,-0.499,-0.268,-0.468,-0.293,
0.69,0,0,0,0,0,0.36,0.26,0.34,0.23,0.031,-0.002,-0.006,-0.017,0.001,-0.554,-0.268,-0.468,-0.293,
0.7,0,0,0,0,0,0.36,0.26,0.34,0.23,0.031,-0.002,-0.006,-0.017,0.001,-0.554,-0.171,-0.591,-0.237,
0.71,0,0,0,0,0,0.36,0.26,0.34,0.23,0.031,-0.002,-0.006,-0.017,0.001,-0.554,-0.171,-0.591,-0.237,
0.72,0,0,0,0,0,0.36,0.26,0.34,0.23,0.031,-0.002,-0.006,-0.017,0.001,-0.554,-0.171,-0.591,-0.237,
0.73,0,0,0,0,0,0.36,0.26,0.34,0.23,0.031,-0.002,-0.006,-0.017,0.001,-0.554,-0.171,-0.591,-0.237,
0.74,0,0,0,0,0,0.36,0.26,0.34,0.23,0.031,-0.002,-0.006,-0.017,0.001,-0.554,-0.171,-0.591,-0.237,
0.75,0,0,0,0,0,0.44,0.3,0.42,0.27,0.031,-0.002,-0.006,-0.017,0.001,-0.554,-0.171,-0.591,-0.237,
0.76,0,0,0,0,0,0.44,0.3,0.42,0.27,-0.014,-0.002,0.011,-0.01,0.001,-0.554,-0.171,-0.591,-0.237,
0.77,0,0,0,0,0,0.44,0.3,0.42,0.27,-0.014,-0.002,0.011,-0.01,-0.009,-0.425,-0.28,-0.591,-0.237,
0.78,0,0,0,0,0,0.44,0.3,0.42,0.27,-0.014,-0.002,0.011,-0.01,-0.009,-0.425,-0.28,-0.503,-0.155,
0.79,0,0,0,0,0,0.44,0.3,0.42,0.27,-0.014,-0.002,0.011,-0.01,-0.009,-0.425,-0.28,-0.503,-0.155,
0.8,0,0,0,0,0,0.44,0.3,0.42,0.27,-0.014,-0.002,0.011,-0.01,-0.009,-0.425,-0.28,-0.503,-0.155,
0.81,0,0,0,0,0,0.44,0.3,0.42,0.27,-0.014,-0.002,0.011,-0.01,-0.009,-0.425,-0.28,-0.503,-0.155,
0.82,0,0,0,0,0,0.53,0.34,0.42,0.27,-0.014,-0.002,0.011,-0.01,-0.009,-0.425,-0.28,-0.503,-0.155,
0.83,0,0,0,0,0,0.53,0.34,0.51,0.31,-0.001,-0.002,0.011,-0.01,-0.009,-0.425,-0.28,-0.503,-0.155,
0.84,0,0,0,0,0,0.53,0.34,0.51,0.31,-0.001,0.009,-0.004,-0.032,0.018,-0.425,-0.28,-0.503,-0.155,
0.85,0,0,0,0,0,0.53,0.34,0.51,0.31,-0.001,0.009,-0.004,-0.032,0.018,-0.583,-0.223,-0.538,-0.155,
0.86,0,0,0,0,0,0.53,0.34,0.51,0.31,-0.001,0.009,-0.004,-0.032,0.018,-0.583,-0.223,-0.538,-0.264,
0.87,0,0,0,0,0,0.53,0.34,0.51,0.31,-0.001,0.009,-0.004,-0.032,0.018,-0.583,-0.223,-0.538,-0.264,
0.88,0,0,0,0,0,0.53,0.34,0.51,0.31,-0.001,0.009,-0.004,-0.032,0.018,-0.583,-0.223,-0.538,-0.264,
0.89,0,0,0,0,0,0.53,0.34,0.51,0.31,-0.001,0.009,-0.004,-0.032,0.018,-0.583,-0.223,-0.538,-0.264,
0.9,0,0,0,0,0,0.62,0.38,0.51,0.31,-0.001,0.009,-0.004,-0.032,0.018,-0.583,-0.223,-0.538,-0.264,
0.91,0,0,0,0,0,0.62,0.38,0.6,0.35,0.005,0.009,-0.004,-0.032,0.018,-0.583,-0.223,-0.538,-0.264,
0.92,0,0,0,0,0,0.62,0.38,0.6,0.35,0.005,0.009,0.017,0.016,-0.016,-0.583,-0.223,-0.538,-0.264,
0.93,0,0,0,0,0,0.62,0.38,0.6,0.35,0.005,0.009,0.017,0.016,-0.016,-0.531,-0.233,-0.392,-0.318,
0.94,0,0,0,0,0,0.62,0.38,0.6,0.35,0.005,0.009,0.017,0.016,-0.016,-0.531,-0.233,-0.392,-0.318,
0.95,0,0,0,0,0,0.62,0.38,0.6,0.35,0.005,0.009,0.017,0.016,-0.016,-0.531,-0.233,-0.392,-0.318,
0.96,0,0,0,0,0,0.62,0.38,0.6,0.35,0.005,0.009,0.017,0.016,-0.016,-0.531,-0.233,-0.392,-0.318,
0.97,0,0,0,0,0,0.62,0.38,0.6,0.35,0.005,0.009,0.017,0.016,-0.016,-0.531,-0.233,-0.392,-0.318,
0.98,0,0,0,0,0,0.73,0.42,0.71,0.39,0.005,0.009,0.017,0.016,-0.016,-0.531,-0.233,-0.392,-0.318,
0.9899999,0,0,0,0,0,0.73,0.42,0.71,0.39,0.009,-0.002,0.017,-0.01,-0.016,-0.531,-0.233,-0.392,-0.318,
1,0,0,0,0,0,0.73,0.42,0.71,0.39,0.009,-0.002,0.017,-0.01,-0.016,-0.633,-0.261,-0.392,-0.318,
1.01,0,0,0,0,0,0.73,0.42,0.71,0.39,0.009,-0.002,0.017,-0.01,-0.016,-0.633,-0.261,-0.471,-0.271,
1.02,0,0,0,0,0,0.73,0.42,0.71,0.39,0.009,-0.002,0.017,-0.01,-0.016,-0.633,-0.261,-0.471,-0.271,
1.03,0,0,0,0,0,0.73,0.42,0.71,0.39,0.009,-0.002,0.017,-0.01,-0.016,-0.633,-0.261,-0.471,-0.271,
1.04,0,0,0,0,0,0.73,0.42,0.71,0.39,0.009,-0.002,0.017,-0.01,-0.016,-0.633,-0.261,-0.471,-0.271,
1.05,0,0,0,0,0,0.85,0.42,0.71,0.39,0.009,-0.002,0.017,-0.01,-0.016,-0.633,-0.261,-0.471,-0.271,
1.06,0,0,0,0,0,0.85,0.46,0.82,0.43,-0.001,-0.002,0.017,-0.01,-0.016,-0.633,-0.261,-0.471,-0.271,
1.07,0,0,0,0,0,0.85,0.46,0.82,0.43,-0.001,-0.002,-0.047,0.009,0.012,-0.378,-0.261,-0.471,-0.271,
1.08,0,0,0,0,0,0.85,0.46,0.82,0.43,-0.001,-0.002,-0.047,0.009,0.012,-0.378,-0.247,-0.396,-0.198,
1.09,0,0,0,0,0,0.85,0.46,0.82,0.43,-0.001,-0.002,-0.047,0.009,0.012,-0.378,-0.247,-0.396,-0.198,
1.1,0,0,0,0,0,0.85,0.46,0.82,0.43,-0.001,-0.002,-0.047,0.009,0.012,-0.378,-0.247,-0.396,-0.198,
1.11,0,0,0,0,0,0.85,0.46,0.82,0.43,-0.001,-0.002,-0.047,0.009,0.012,-0.378,-0.247,-0.396,-0.198,
1.12,0,0,0,0,0,0.85,0.46,0.82,0.43,-0.001,-0.002,-0.047,0.009,0.012,-0.378,-0.247,-0.396,-0.198,
1.13,0,0,0,0,0,0.96,0.49,0.94,0.46,-0.001,-0.002,-0.047,0.009,0.012,-0.378,-0.247,-0.396,-0.198,
1.14,0,0,0,0,0,0.96,0.49,0.94,0.46,-0.034,0.009,-0.002,0.009,0.012,-0.378,-0.247,-0.396,-0.198,
1.15,0,0,0,0,0,0.96,0.49,0.94,0.46,-0.034,0.009,-0.002,-0.017,0.007,-0.474,-0.143,-0.396,-0.198,
1.16,0,0,0,0,0,0.96,0.49,0.94,0.46,-0.034,0.009,-0.002,-0.017,0.007,-0.474,-0.143,-0.599,-0.21,
1.17,0,0,0,0,0,0.96,0.49,0.94,0.46,-0.034,0.009,-0.002,-0.017,0.007,-0.474,-0.143,-0.599,-0.21,
1.18,0,0,0,0,0,0.96,0.49,0.94,0.46,-0.034,0.009,-0.002,-0.017,0.007,-0.474,-0.143,-0.599,-0.21,
1.19,0,0,0,0,0,0.96,0.49,0.94,0.46,-0.034,0.009,-0.002,-0.017,0.007,-0.474,-0.143,-0.599,-0.21,
1.2,0,0,0,0,0,1.09,0.53,0.94,0.46,-0.034,0.009,-0.002,-0.017,0.007,-0.474,-0.143,-0.599,-0.21,
1.21,0,0,0,0,0,1.09,0.53,1.06,0.5,0.028,-0.002,-0.002,-0.017,0.007,-0.474,-0.143,-0.599,-0.21,
1.22,0,0,0,0,0,1.09,0.53,1.06,0.5,0.028,-0.002,-0.013,-0.047,0.007,-0.498,-0.143,-0.599,-0.21,
