time (s), lifter (1cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,-3.689,0.006,0.008,-0.009,-0.013,-0.247,0.045,-0.347,0.004,
0.01,0,0,0,0,0,0,0,0,0,-3.669,0.006,0.008,-0.009,-0.013,-0.247,0.045,-0.347,0.004,
0.02,0,0,0,0,0,0,0,0,0,-3.669,0.017,0.008,-0.009,-0.013,-0.247,0.045,-0.347,0.004,
0.03,0,0,0,0,0,0,0,0,0,-3.669,0.017,-0.025,-0.003,-0.013,-0.247,0.045,-0.347,0.004,
0.04,0,0,0,0,0,0,0,0,0,-3.669,0.017,-0.025,-0.003,0.041,-0.246,-0.014,-0.404,0.004,
0.05,0,0,0,0,0,0,0,0,0,-3.669,0.017,-0.025,-0.003,0.041,-0.246,-0.014,-0.404,-0.013,
0.06,0,0,0,0,0,0,0,0,0,-3.669,0.017,-0.025,-0.003,0.041,-0.246,-0.014,-0.404,-0.013,
0.07,0,0,0,0,0,0,0,0,0,-3.669,0.017,-0.025,-0.003,0.041,-0.246,-0.014,-0.404,-0.013,
0.08,0,0,0,0,0,0,0,0,0,-3.669,0.017,-0.025,-0.003,0.041,-0.246,-0.014,-0.404,-0.013,
0.09,0,0,0,0,0,0,0,0,0,-3.669,0.017,-0.025,-0.003,0.041,-0.246,-0.014,-0.404,-0.013,
0.09999999,0,0,0,0,0,0,0,0,0,-3.65,0.006,0.002,-0.003,0.041,-0.246,-0.014,-0.404,-0.013,
0.11,0,0,0,0,0,0,0,0,0,-3.65,0.006,0.002,-0.005,0.012,-0.259,-0.014,-0.404,-0.013,
0.12,0,0,0,0,0,0,0,0,0,-3.65,0.006,0.002,-0.005,0.012,-0.259,-0.023,-0.361,0.054,
0.13,0,0,0,0,0,0,0,0,0,-3.65,0.006,0.002,-0.005,0.012,-0.259,-0.023,-0.361,0.054,
0.14,0,0,0,0,0,0,0,0,0,-3.65,0.006,0.002,-0.005,0.012,-0.259,-0.023,-0.361,0.054,
0.15,0,0,0,0,0,0,0,0,0,-3.65,0.006,0.002,-0.005,0.012,-0.259,-0.023,-0.361,0.054,
0.16,0,0,0,0,0,0,0,0,0,-3.65,0.006,0.002,-0.005,0.012,-0.259,-0.023,-0.361,0.054,
0.17,0,0,0,0,0,0,0,0,0,-3.65,0.006,0.002,-0.005,0.012,-0.259,-0.023,-0.361,0.054,
0.18,0,0,0,0,0,0,0,0,0,-3.689,-0.005,-0.028,-0.005,0.012,-0.259,-0.023,-0.361,0.054,
0.19,0,0,0,0,0,0,0,0,0,-3.689,-0.005,-0.028,-0.005,-0.013,-0.236,0.117,-0.311,0.054,
0.2,0,0,0,0,0,0,0,0,0,-3.689,-0.005,-0.028,-0.005,-0.013,-0.236,0.117,-0.311,0.005,
0.21,0,0,0,0,0,0,0,0,0,-3.689,-0.005,-0.028,-0.005,-0.013,-0.236,0.117,-0.311,0.005,
0.22,0,0,0,0,0,0,0,0,0,-3.689,-0.005,-0.028,-0.005,-0.013,-0.236,0.117,-0.311,0.005,
0.23,0,0,0,0,0,0,0,0,0,-3.689,-0.005,-0.028,-0.005,-0.013,-0.236,0.117,-0.311,0.005,
0.24,0,0,0,0,0,0,0,0,0,-3.689,-0.005,-0.028,-0.005,-0.013,-0.236,0.117,-0.311,0.005,
0.25,0,0,0,0,0,0,0,0,0,-3.708,-0.005,-0.028,-0.005,-0.013,-0.236,0.117,-0.311,0.005,
0.26,0,0,0,0,0,0,0,0,0,-3.708,-0.005,-0.007,-0.012,-0.026,-0.224,0.117,-0.311,0.005,
0.27,0,0,0,0,0,0,0,0,0,-3.708,-0.005,-0.007,-0.012,-0.026,-0.224,0.004,-0.417,0.03,
0.28,0,0,0,0,0,0,0,0,0,-3.708,-0.005,-0.007,-0.012,-0.026,-0.224,0.004,-0.417,0.03,
0.29,0,0,0,0,0,0,0,0,0,-3.708,-0.005,-0.007,-0.012,-0.026,-0.224,0.004,-0.417,0.03,
0.3,0,0,0,0,0,0,0,0,0,-3.708,-0.005,-0.007,-0.012,-0.026,-0.224,0.004,-0.417,0.03,
0.31,0,0,0,0,0,0,0,0,0,-3.708,-0.005,-0.007,-0.012,-0.026,-0.224,0.004,-0.417,0.03,
0.32,0,0,0,0,0,0,0,0,0,-3.708,-0.005,-0.007,-0.012,-0.026,-0.224,0.004,-0.417,0.03,
0.33,0,0,0,0,0,0,0,0,0,-3.708,-0.005,-0.007,-0.012,-0.026,-0.224,0.004,-0.417,0.03,
0.34,0,0,0,0,0,0,0,0,0,-3.708,-0.005,-0.007,-0.012,-0.026,-0.224,0.004,-0.417,0.03,
0.35,0,0,0,0,0,0,0,0,0,-3.708,-0.005,-0.007,-0.012,-0.026,-0.224,0.004,-0.417,0.03,
0.36,0,0,0,0,0,0,0,0,0,-3.708,-0.005,-0.007,-0.012,-0.026,-0.224,0.004,-0.417,0.03,
0.37,0,0,0,0,0,0.04,0,0,0,-3.708,-0.005,-0.007,-0.012,-0.026,-0.224,0.004,-0.417,0.03,
0.38,0,0,0,0,0,0.04,0,0,0,-3.689,0.017,0.013,-0.012,-0.026,-0.224,0.004,-0.417,0.03,
0.39,0,0,0,0,0,0.04,0,0,0,-3.689,0.017,0.013,-0.014,0.017,-5.168,-2.657,-0.417,0.03,
0.4,0,0,0,0,0,0.04,0,0,0,-3.689,0.017,0.013,-0.014,0.017,-5.168,-2.657,-0.409,0.093,
0.41,0,0,0,0,0,0.04,0,0,0,-3.689,0.017,0.013,-0.014,0.017,-5.168,-2.657,-0.409,0.093,
0.42,0,0,0,0,0,0.04,0,0,0,-3.689,0.017,0.013,-0.014,0.017,-5.168,-2.657,-0.409,0.093,
0.43,0,0,0,0,0,0.04,0,0,0,-3.689,0.017,0.013,-0.014,0.017,-5.168,-2.657,-0.409,0.093,
0.44,0,0,0,0,0,0.36,0,0,0,-3.689,0.017,0.013,-0.014,0.017,-5.168,-2.657,-0.409,0.093,
0.45,0,0,0,0,0,0.36,0.1,0,0,-3.689,0.017,0.013,-0.014,0.017,-5.168,-2.657,-0.409,0.093,
0.46,0,0,0,0,0,0.36,0.1,0,0,-3.669,-0.005,0.006,0.019,0.017,-5.168,-2.657,-0.409,0.093,
0.47,0,0,0,0,0,0.36,0.1,0,0,-3.669,-0.005,0.006,0.019,0.014,-1.597,-2.138,-0.409,0.093,
0.48,0,0,0,0,0,0.36,0.1,0,0,-3.669,-0.005,0.006,0.019,0.014,-1.597,-2.138,-0.378,0.04,
0.49,0,0,0,0,0,0.36,0.1,0,0,-3.669,-0.005,0.006,0.019,0.014,-1.597,-2.138,-0.378,0.04,
0.5,0,0,0,0,0,0.36,0.1,0,0,-3.669,-0.005,0.006,0.019,0.014,-1.597,-2.138,-0.378,0.04,
0.51,0,0,0,0,0,0.36,0.1,0,0,-3.669,-0.005,0.006,0.019,0.014,-1.597,-2.138,-0.378,0.04,
0.52,0,0,0,0,0,0.74,0.34,0,0,-3.669,-0.005,0.006,0.019,0.014,-1.597,-2.138,-0.378,0.04,
0.53,0,0,0,0,0,0.74,0.34,0,0,-3.67,-0.005,0.006,0.019,0.014,-1.597,-2.138,-0.378,0.04,
0.54,0,0,0,0,0,0.74,0.34,0,0,-3.67,-0.005,-0.032,-0.007,0.001,-1.597,-2.138,-0.378,0.04,
0.55,0,0,0,0,0,0.74,0.34,0,0,-3.67,-0.005,-0.032,-0.007,0.001,-0.448,-0.635,-0.356,-0.006,
0.56,0,0,0,0,0,0.74,0.34,0,0,-3.67,-0.005,-0.032,-0.007,0.001,-0.448,-0.635,-0.356,-0.006,
0.57,0,0,0,0,0,0.74,0.34,0,0,-3.67,-0.005,-0.032,-0.007,0.001,-0.448,-0.635,-0.356,-0.006,
0.58,0,0,0,0,0,0.74,0.34,0,0,-3.67,-0.005,-0.032,-0.007,0.001,-0.448,-0.635,-0.356,-0.006,
