time (s), lifter (10cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,-0.054,0.003,-0.01,-0.005,-0.017,0.024,0.148,0.011,0.042,
0.01,0,0,0,0,0,0,0,0,0,-0.054,0.003,-0.01,-0.005,-0.017,0.024,0.148,0.011,0.042,
0.02,0,0,0,0,0,0,0,0,0,-0.054,0.003,-0.01,-0.005,-0.017,0.024,0.148,0.011,0.042,
0.03,0,0,0,0,0,0,0,0,0,-0.054,0.003,-0.01,-0.005,-0.017,0.024,0.148,0.011,0.042,
0.04,0,0,0,0,0,0,0,0,0,-0.008,0.003,-0.01,-0.005,-0.017,0.024,0.148,0.011,0.042,
0.05,0,0,0,0,0,0,0,0,0,-0.008,0.003,-0.01,-0.017,0.005,0.024,0.148,0.011,0.042,
0.06,0,0,0,0,0,0,0,0,0,-0.008,0.003,-0.01,-0.017,0.005,0.036,-0.533,0,-0.027,
0.07,0,0,0,0,0,0,0,0,0,-0.008,0.003,-0.01,-0.017,0.005,0.036,-0.533,0,-0.027,
0.08,0,0,0,0,0,0,0,0,0,-0.008,0.003,-0.01,-0.017,0.005,0.036,-0.533,0,-0.027,
0.09,0,0,0,0,0,0,0,0,0,-0.008,0.003,-0.01,-0.017,0.005,0.036,-0.533,0,-0.027,
0.09999999,0,0,0,0,0,0,0,0,0,-0.008,0.003,-0.01,-0.017,0.005,0.036,-0.533,0,-0.027,
0.11,0,0,0,0,0,0,0.01,0,0,-0.008,0.003,-0.01,-0.017,0.005,0.036,-0.533,0,-0.027,
0.12,0,0,0,0,0,0,0.01,0,0,0.06,0.003,0.013,-0.017,0.005,0.036,-0.533,0,-0.027,
0.13,0,0,0,0,0,0,0.01,0,0,0.06,0.003,0.013,-0.039,0.028,-0.011,-0.533,0,-0.027,
0.14,0,0,0,0,0,0,0.01,0,0,0.06,0.003,0.013,-0.039,0.028,-0.011,-0.346,0,-0.016,
0.15,0,0,0,0,0,0,0.01,0,0,0.06,0.003,0.013,-0.039,0.028,-0.011,-0.346,0,-0.016,
0.16,0,0,0,0,0,0,0.01,0,0,0.06,0.003,0.013,-0.039,0.028,-0.011,-0.346,0,-0.016,
0.17,0,0,0,0,0,0,0.01,0,0,0.06,0.003,0.013,-0.039,0.028,-0.011,-0.346,0,-0.016,
0.18,0,0,0,0,0,0,0.01,0,0,0.06,0.003,0.013,-0.039,0.028,-0.011,-0.346,0,-0.016,
0.19,0,0,0,0,0,0,0.03,0,0,0.038,0.003,0.013,-0.039,0.028,-0.011,-0.346,0,-0.016,
0.2,0,0,0,0,0,0,0.03,0,0,0.038,0.003,-0.004,0.006,0.028,-0.011,-0.346,0,-0.016,
0.21,0,0,0,0,0,0,0.03,0,0,0.038,0.003,-0.004,0.006,0.028,-0.079,-0.417,0,-0.016,
0.22,0,0,0,0,0,0,0.03,0,0,0.038,0.003,-0.004,0.006,0.028,-0.079,-0.417,0,-0.004,
0.23,0,0,0,0,0,0,0.03,0,0,0.038,0.003,-0.004,0.006,0.028,-0.079,-0.417,0,-0.004,
0.24,0,0,0,0,0,0,0.03,0,0,0.038,0.003,-0.004,0.006,0.028,-0.079,-0.417,0,-0.004,
0.25,0,0,0,0,0,0,0.03,0,0,0.038,0.003,-0.004,0.006,0.028,-0.079,-0.417,0,-0.004,
0.26,0,0,0,0,0,0,0.06,0,0,0.038,0.003,-0.004,0.006,0.028,-0.079,-0.417,0,-0.004,
0.27,0,0,0,0,0,0,0.06,0,0,-0.008,0.003,-0.004,0.006,0.028,-0.079,-0.417,0,-0.004,
0.28,0,0,0,0,0,0,0.06,0,0,-0.008,0.003,0.013,-0.011,-0.006,-0.127,-0.417,0,-0.004,
0.29,0,0,0,0,0,0,0.06,0,0,-0.008,0.003,0.013,-0.011,-0.006,-0.127,-0.406,-0.012,-0.038,
0.3,0,0,0,0,0,0,0.06,0,0,-0.008,0.003,0.013,-0.011,-0.006,-0.127,-0.406,-0.012,-0.038,
0.31,0,0,0,0,0,0,0.06,0,0,-0.008,0.003,0.013,-0.011,-0.006,-0.127,-0.406,-0.012,-0.038,
0.32,0,0,0,0,0,0,0.06,0,0,-0.008,0.003,0.013,-0.011,-0.006,-0.127,-0.406,-0.012,-0.038,
0.33,0,0,0,0,0,0,0.06,0,0,-0.008,0.003,0.013,-0.011,-0.006,-0.127,-0.406,-0.012,-0.038,
0.34,0,0,0,0,0,0,0.11,0,0,-0.008,0.003,0.013,-0.011,-0.006,-0.127,-0.406,-0.012,-0.038,
0.35,0,0,0,0,0,0,0.11,0,0,0.015,0.003,0.019,0.034,-0.006,-0.127,-0.406,-0.012,-0.038,
0.36,0,0,0,0,0,0,0.11,0,0,0.015,0.003,0.019,0.034,0,0.024,-0.21,-0.012,-0.038,
0.37,0,0,0,0,0,0,0.11,0,0,0.015,0.003,0.019,0.034,0,0.024,-0.21,0.034,0.03,
0.38,0,0,0,0,0,0,0.11,0,0,0.015,0.003,0.019,0.034,0,0.024,-0.21,0.034,0.03,
