time (s), lifter (1cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,-3.162,-0.006,0.002,-0.191,0.042,-0.459,0.033,-0.575,0.104,
0.01,0,0,0,0,0,0,0,0,0,-3.162,-0.006,0.002,-0.191,0.042,-0.459,0.033,-0.575,0.104,
0.02,0,0,0,0,0,0,0,0,0,-3.162,-0.006,0.002,-0.191,0.042,-0.459,0.033,-0.575,0.104,
0.03,0,0,0,0,0,0,0,0,0,-3.162,-0.006,0.002,-0.191,0.042,-0.459,0.033,-0.575,0.104,
0.04,0,0,0,0,0,0,0,0,0,-3.162,-0.006,0.002,-0.191,0.042,-0.459,0.033,-0.575,0.104,
0.05,0,0,0,0,0,0,0,0,0,-3.162,-0.006,0.002,-0.191,0.042,-0.459,0.033,-0.575,0.104,
0.06,0,0,0,0,0,0,0,0,0,-3.108,-0.006,0.002,-0.191,0.042,-0.459,0.033,-0.575,0.104,
0.07,0,0,0,0,0,0,0,0,0,-3.108,13.479,-2.761,-0.14,0.013,-0.524,0.033,-0.575,0.104,
0.08,0,0,0,0,0,0,0,0,0,-3.108,13.479,-2.761,-0.14,0.013,-0.524,0.02,-0.591,0.09,
0.09,0,0,0,0,0,0,0,0,0,-3.108,13.479,-2.761,-0.14,0.013,-0.524,0.02,-0.591,0.09,
0.09999999,0,0,0,0,0,0,0,0,0,-3.108,13.479,-2.761,-0.14,0.013,-0.524,0.02,-0.591,0.09,
0.11,0,0.04,0.01,0,0,0,0,0,0,-3.108,13.479,-2.761,-0.14,0.013,-0.524,0.02,-0.591,0.09,
0.12,0,0.04,0.01,0,0,0,0,0,0,-3.108,13.479,-2.761,-0.14,0.013,-0.524,0.02,-0.591,0.09,
0.13,0,0.04,0.01,0,0,0,0,0,0,-3.123,4.694,-2.761,-0.14,0.013,-0.524,0.02,-0.591,0.09,
0.14,0,0.04,0.01,0,0,0,0,0,0,-3.123,4.694,-3.991,-0.19,0.02,-0.524,0.02,-0.591,0.09,
0.15,0,0.04,0.01,0,0,0,0,0,0,-3.123,4.694,-3.991,-0.19,0.02,-0.459,0.024,-0.599,0.023,
0.16,0,0.04,0.01,0,0,0,0,0,0,-3.123,4.694,-3.991,-0.19,0.02,-0.459,0.024,-0.599,0.023,
0.17,0,0.04,0.01,0,0,0,0,0,0,-3.123,4.694,-3.991,-0.19,0.02,-0.459,0.024,-0.599,0.023,
0.18,0,0.13,0.01,0,0,0,0,0,0,-3.123,4.694,-3.991,-0.19,0.02,-0.459,0.024,-0.599,0.023,
0.19,0,0.13,0.09,0,0,0,0,0,0,-3.123,4.694,-3.991,-0.19,0.02,-0.459,0.024,-0.599,0.023,
0.2,0,0.13,0.09,0,0,0,0,0,0,-3.123,4.694,-3.991,-0.19,0.02,-0.459,0.024,-0.599,0.023,
0.21,0,0.13,0.09,0,0,0,0,0,0,-3.126,1.606,-1.347,-0.19,0.02,-0.459,0.024,-0.599,0.023,
0.22,0,0.13,0.09,0,0,0,0,0,0,-3.126,1.606,-1.347,-0.149,-0.013,-0.459,-0.001,-0.599,0.023,
0.23,0,0.13,0.09,0,0,0,0,0,0,-3.126,1.606,-1.347,-0.149,-0.013,-0.459,-0.001,-0.597,0.009,
0.24,0,0.13,0.09,0,0,0,0,0,0,-3.126,1.606,-1.347,-0.149,-0.013,-0.459,-0.001,-0.597,0.009,
0.25,0,0.13,0.09,0,0,0,0,0,0,-3.126,1.606,-1.347,-0.149,-0.013,-0.459,-0.001,-0.597,0.009,
0.26,0,0.22,0.09,0,0,0,0,0,0,-3.126,1.606,-1.347,-0.149,-0.013,-0.459,-0.001,-0.597,0.009,
0.27,0,0.22,0.21,0,0,0,0,0,0,-3.126,1.606,-1.347,-0.149,-0.013,-0.459,-0.001,-0.597,0.009,
0.28,0,0.22,0.21,0,0,0,0,0,0,-3.126,1.606,-1.347,-0.149,-0.013,-0.459,-0.001,-0.597,0.009,
0.29,0,0.22,0.21,0,0,0,0,0,0,-3.348,1.836,-1.445,-0.149,-0.013,-0.459,-0.001,-0.597,0.009,
0.3,0,0.22,0.21,0,0,0,0,0,0,-3.348,1.836,-1.445,-0.192,0.001,-0.415,-0.006,-0.597,0.009,
0.31,0,0.22,0.21,0,0,0,0,0,0,-3.348,1.836,-1.445,-0.192,0.001,-0.415,-0.006,-0.565,0.047,
0.32,0,0.22,0.21,0,0,0,0,0,0,-3.348,1.836,-1.445,-0.192,0.001,-0.415,-0.006,-0.565,0.047,
0.33,0,0.22,0.21,0,0,0,0,0,0,-3.348,1.836,-1.445,-0.192,0.001,-0.415,-0.006,-0.565,0.047,
0.34,0,0.22,0.21,0,0,0,0,0,0,-3.348,1.836,-1.445,-0.192,0.001,-0.415,-0.006,-0.565,0.047,
0.35,0,0.22,0.21,0,0,0,0,0,0,-3.348,1.836,-1.445,-0.192,0.001,-0.415,-0.006,-0.565,0.047,
0.36,0,0.22,0.21,0,0,0,0,0,0,-3.348,1.836,-1.445,-0.192,0.001,-0.415,-0.006,-0.565,0.047,
0.37,0,0.22,0.21,0,0,0,0,0,0,-3.348,1.836,-1.445,-0.192,0.001,-0.415,-0.006,-0.565,0.047,
0.38,0,0.22,0.21,0,0,0,0,0,0,-3.348,1.836,-1.445,-0.192,0.001,-0.415,-0.006,-0.565,0.047,
0.39,0,0.33,0.4,0,0,0,0,0,0,-3.348,1.836,-1.445,-0.192,0.001,-0.415,-0.006,-0.565,0.047,
0.4,0,0.33,0.4,0,0,0.16,0.03,0,0,-3.348,1.836,-1.445,-0.192,0.001,-0.415,-0.006,-0.565,0.047,
0.41,0,0.33,0.4,0,0,0.16,0.03,0,0,-2.978,0.639,-1.445,-0.192,0.001,-0.415,-0.006,-0.565,0.047,
0.42,0,0.33,0.4,0,0,0.16,0.03,0,0,-2.978,0.639,-0.243,-0.19,-0.017,-0.415,-0.006,-0.565,0.047,
0.43,0,0.33,0.4,0,0,0.16,0.03,0,0,-2.978,0.639,-0.243,-0.19,-0.017,-0.988,-3.511,-0.556,0.047,
0.44,0,0.33,0.4,0,0,0.16,0.03,0,0,-2.978,0.639,-0.243,-0.19,-0.017,-0.988,-3.511,-0.556,0.009,
0.45,0,0.33,0.4,0,0,0.16,0.03,0,0,-2.978,0.639,-0.243,-0.19,-0.017,-0.988,-3.511,-0.556,0.009,
0.46,0,0.33,0.4,0,0,0.16,0.03,0,0,-2.978,0.639,-0.243,-0.19,-0.017,-0.988,-3.511,-0.556,0.009,
0.47,0,0.37,0.51,0,0,0.16,0.03,0,0,-2.978,0.639,-0.243,-0.19,-0.017,-0.988,-3.511,-0.556,0.009,
0.48,0,0.37,0.51,0,0,0.56,0.29,0,0,-2.978,0.639,-0.243,-0.19,-0.017,-0.988,-3.511,-0.556,0.009,
0.49,0,0.37,0.51,0,0,0.56,0.29,0,0,-3.055,0.407,-0.243,-0.19,-0.017,-0.988,-3.511,-0.556,0.009,
0.5,0,0.37,0.51,0,0,0.56,0.29,0,0,-3.055,0.407,-0.309,-0.151,0.031,-0.988,-3.511,-0.556,0.009,
0.51,0,0.37,0.51,0,0,0.56,0.29,0,0,-3.055,0.407,-0.309,-0.151,0.031,-0.726,0.992,-0.578,0.003,
0.52,0,0.37,0.51,0,0,0.56,0.29,0,0,-3.055,0.407,-0.309,-0.151,0.031,-0.726,0.992,-0.578,0.003,
0.53,0,0.37,0.51,0,0,0.56,0.29,0,0,-3.055,0.407,-0.309,-0.151,0.031,-0.726,0.992,-0.578,0.003,
0.54,0,0.37,0.51,0,0,0.56,0.29,0,0,-3.055,0.407,-0.309,-0.151,0.031,-0.726,0.992,-0.578,0.003,
0.55,0,0.39,0.62,0,0,0.56,0.29,0,0,-3.055,0.407,-0.309,-0.151,0.031,-0.726,0.992,-0.578,0.003,
0.56,0,0.39,0.62,0,0,0.98,0.69,0,0,-3.055,0.407,-0.309,-0.151,0.031,-0.726,0.992,-0.578,0.003,
0.57,0,0.39,0.62,0,0,0.98,0.69,0,0,-2.949,0.005,-0.309,-0.151,0.031,-0.726,0.992,-0.578,0.003,
0.58,0,0.39,0.62,0,0,0.98,0.69,0,0,-2.949,0.005,-0.607,-0.19,0.013,-0.726,0.992,-0.578,0.003,
0.59,0,0.39,0.62,0,0,0.98,0.69,0,0,-2.949,0.005,-0.607,-0.19,0.013,-1.149,0.389,-0.617,0.052,
0.6,0,0.39,0.62,0,0,0.98,0.69,0,0,-2.949,0.005,-0.607,-0.19,0.013,-1.149,0.389,-0.617,0.052,
0.61,0,0.39,0.62,0,0,0.98,0.69,0,0,-2.949,0.005,-0.607,-0.19,0.013,-1.149,0.389,-0.617,0.052,
0.62,0,0.39,0.62,0,0,0.98,0.69,0,0,-2.949,0.005,-0.607,-0.19,0.013,-1.149,0.389,-0.617,0.052,
0.63,0,0.39,0.62,0,0,0.98,0.69,0,0,-2.949,0.005,-0.607,-0.19,0.013,-1.149,0.389,-0.617,0.052,
0.64,0,0.39,0.62,0,0,0.98,0.69,0,0,-2.949,0.005,-0.607,-0.19,0.013,-1.149,0.389,-0.617,0.052,
0.65,0,0.39,0.72,0,0,1.47,0.69,0,0,-2.949,0.005,-0.607,-0.19,0.013,-1.149,0.389,-0.617,0.052,
0.66,0,0.39,0.72,0,0,1.47,1.12,0,0,-2.949,0.005,-0.607,-0.19,0.013,-1.149,0.389,-0.617,0.052,
0.67,0,0.39,0.72,0,0,1.47,1.12,0,0,-2.981,-7.859,-0.45,-0.178,0.013,-1.149,0.389,-0.617,0.052,
0.68,0,0.39,0.72,0,0,1.47,1.12,0,0,-2.981,-7.859,-0.45,-0.178,-0.009,-0.515,0.797,-0.532,0.052,
0.69,0,0.39,0.72,0,0,1.47,1.12,0,0,-2.981,-7.859,-0.45,-0.178,-0.009,-0.515,0.797,-0.532,0.003,
