time (s), lifter (10cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,-0.071,0.016,-0.003,0.012,-0.023,-0.086,0.069,0.014,0.045,
0.01,0,0,0,0,0,0,0,0,0,-0.071,0.016,-0.003,0.012,-0.023,-0.086,0.069,0.014,0.045,
0.02,0,0,0,0,0,0,0,0,0,-0.071,0.016,-0.003,0.012,-0.023,-0.086,0.069,0.014,0.045,
0.03,0,0,0,0,0,0,0,0,0,-0.071,0.016,-0.003,0.012,-0.023,-0.086,0.069,0.014,0.045,
0.04,0,0,0,0,0,0,0,0,0,-0.071,0.016,-0.003,0.012,-0.023,-0.086,0.069,0.014,0.045,
0.05,0,0,0,0,0,0,0,0,0,-0.014,0.016,-0.003,0.012,-0.023,-0.086,0.069,0.014,0.045,
0.06,0,0,0,0,0,0,0,0,0,-0.014,0.006,0.019,-0.05,0.034,0.028,0.069,0.014,0.045,
0.07,0,0,0,0,0,0,0,0,0,-0.014,0.006,0.019,-0.05,0.034,0.028,0.104,-0.665,-0.024,
0.08,0,0,0,0,0,0,0,0,0,-0.014,0.006,0.019,-0.05,0.034,0.028,0.104,-0.665,-0.024,
0.09,0,0,0,0,0,0,0,0,0,-0.014,0.006,0.019,-0.05,0.034,0.028,0.104,-0.665,-0.024,
0.09999999,0,0,0,0,0,0,0,0,0,-0.014,0.006,0.019,-0.05,0.034,0.028,0.104,-0.665,-0.024,
0.11,0,0,0,0,0,0,0,0.02,0,-0.014,0.006,0.019,-0.05,0.034,0.028,0.104,-0.665,-0.024,
0.12,0,0,0,0,0,0,0,0.02,0,0.031,-0.005,-0.003,-0.039,0.034,0.028,0.104,-0.665,-0.024,
0.13,0,0,0,0,0,0,0,0.02,0,0.031,-0.005,-0.003,-0.039,-0.023,0.04,0.012,-0.649,-0.024,
0.14,0,0,0,0,0,0,0,0.02,0,0.031,-0.005,-0.003,-0.039,-0.023,0.04,0.012,-0.649,-0.012,
0.15,0,0,0,0,0,0,0,0.02,0,0.031,-0.005,-0.003,-0.039,-0.023,0.04,0.012,-0.649,-0.012,
0.16,0,0,0,0,0,0,0,0.02,0,0.031,-0.005,-0.003,-0.039,-0.023,0.04,0.012,-0.649,-0.012,
0.17,0,0,0,0,0,0,0,0.02,0,0.031,-0.005,-0.003,-0.039,-0.023,0.04,0.012,-0.649,-0.012,
0.18,0,0,0,0,0,0,0,0.07,0,0.031,-0.005,-0.003,-0.039,-0.023,0.04,0.012,-0.649,-0.012,
0.19,0,0,0,0,0,0,0,0.07,0,-0.014,-0.016,0.014,-0.039,-0.023,0.04,0.012,-0.649,-0.012,
0.2,0,0,0,0,0,0,0,0.07,0,-0.014,-0.016,0.014,0.018,0.022,-0.029,0.012,-0.586,-0.012,
0.21,0,0,0,0,0,0,0,0.07,0,-0.014,-0.016,0.014,0.018,0.022,-0.029,0.012,-0.586,0.068,
0.22,0,0,0,0,0,0,0,0.07,0,-0.014,-0.016,0.014,0.018,0.022,-0.029,0.012,-0.586,0.068,
0.23,0,0,0,0,0,0,0,0.07,0,-0.014,-0.016,0.014,0.018,0.022,-0.029,0.012,-0.586,0.068,
0.24,0,0,0,0,0,0,0,0.07,0,-0.014,-0.016,0.014,0.018,0.022,-0.029,0.012,-0.586,0.068,
0.25,0,0,0,0,0,0,0,0.13,0,-0.014,-0.016,0.014,0.018,0.022,-0.029,0.012,-0.586,0.068,
0.26,0,0,0,0,0,0,0,0.13,0,0.009,0.006,-0.009,0.006,0.022,-0.029,0.012,-0.586,0.068,
0.27,0,0,0,0,0,0,0,0.13,0,0.009,0.006,-0.009,0.006,0.011,-0.006,0.161,-0.605,0.068,
0.28,0,0,0,0,0,0,0,0.13,0,0.009,0.006,-0.009,0.006,0.011,-0.006,0.161,-0.605,0.01,
0.29,0,0,0,0,0,0,0,0.13,0,0.009,0.006,-0.009,0.006,0.011,-0.006,0.161,-0.605,0.01,
0.3,0,0,0,0,0,0,0,0.13,0,0.009,0.006,-0.009,0.006,0.011,-0.006,0.161,-0.605,0.01,
0.31,0,0,0,0,0,0,0,0.13,0,0.009,0.006,-0.009,0.006,0.011,-0.006,0.161,-0.605,0.01,
0.32,0,0,0,0,0,0,0,0.21,0,0.009,0.006,-0.009,0.006,0.011,-0.006,0.161,-0.605,0.01,
0.33,0,0,0,0,0,0,0,0.21,0,-0.037,-0.005,-0.009,0.006,0.011,-0.006,0.161,-0.605,0.01,
