time (s), lifter (1cm), left pedal pos (1cm), left slider pos (1cm), right pedal pos (1cm), right slider pos (1cm), stock left extend pos (1cm), stock left slider pos (1cm), stock right extend pos (10cm), stock right slider pos (1cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0.41225,0,0,0,0,0.026,0.01,0,0,-0.235,0.507,0.129,0.48,-0.001,-0.02,0.04,-0.043,-0.097,
0.1,0,0,0,0,0,0,0,0,0,-0.235,0.507,0.129,0.48,-0.001,-0.02,0.04,-0.043,-0.097,
0.2,0.9245,0,0,0,0,0.184,0.094,0,0,-1.398,1.144,-0.621,0.501,0.018,-0.238,-0.304,-0.085,0.046,
0.3,1.55225,0,0,0,0,0.494,0.289,0,0,-1.398,1.144,-0.621,0.501,0.018,-0.238,-0.304,-0.085,0.046,
0.4,2.1945,0,0,0,0,1.015,0.654,0,0,-1.398,1.144,-0.621,0.501,0.018,-0.238,-0.304,-0.085,0.046,
0.5,2.857,0,0,0,0,1.717,1.138,0,0,-0.908,1.247,-0.551,0.512,0.015,-0.497,-0.28,-0.041,-0.052,
0.6,3.44475,0,0,0,0,2.506,1.666,0,0,-0.908,1.247,-0.551,0.512,0.015,-0.497,-0.28,-0.041,-0.052,
0.7,4.02225,0,0,0,0,3.484,2.446,0,0,-0.526,0.986,-0.465,0.501,0.005,-0.343,-0.214,-0.041,-0.052,
0.8,4.5195,0,0,0,0,4.357,3.133,0,0,-0.526,0.986,-0.465,0.501,0.005,-0.343,-0.214,-0.086,-0.06,
0.9,4.9965,0,0,0,0,5.314,3.939,0,0,-0.526,0.986,-0.465,0.501,0.005,-0.343,-0.214,-0.086,-0.06,
1,5.40875,0,0,0,0,6.227,4.665,0,0,-0.303,0.818,-0.374,0.512,0.015,-0.29,-0.127,-0.065,-0.044,
1.1,5.77075,0,0,0,0,7.088,5.302,0,0,-0.303,0.818,-0.374,0.512,0.015,-0.29,-0.127,-0.065,-0.044,
1.2,6.08875,0,0,0,0,8.041,6.04,0,0,-0.436,1.035,-0.302,0.501,0.015,-0.29,-0.127,-0.065,-0.044,
1.3,6.36,0,0,0,0,8.895,6.644,0,0,-0.436,1.035,-0.302,0.501,-0.005,-0.373,-0.202,-0.065,-0.036,
1.4,6.5855,0,0,0,0,9.785,7.325,0,0,-0.436,1.035,-0.302,0.501,-0.005,-0.373,-0.202,-0.065,-0.036,
1.5,6.7655,0,0,0,0,10.612,7.944,0,0,-0.435,0.835,-0.295,0.501,0.029,-0.382,-0.174,-0.065,-0.036,
1.6,6.889,0,0,0,0,11.36,8.468,0,0,-0.435,0.835,-0.295,0.501,0.029,-0.382,-0.174,-0.065,-0.036,
1.7,6.9695,0,0,0,0,12.163,9.078,0,0,-0.317,0.634,-0.295,0.501,0.029,-0.382,-0.174,-0.065,-0.036,
1.8,6.99875,0,0,0,0,12.866,9.608999,0,0,-0.317,0.634,-0.406,0.501,0.015,-0.337,-0.118,-0.041,-0.097,
1.9,7.0005,0,0,0,0,13.516,10.071,0,0,-0.317,0.634,-0.406,0.501,0.015,-0.337,-0.118,-0.041,-0.097,
2,6.95225,0,0,0,0,14.21,10.607,0,0,1.197,0.663,-0.253,0.49,0.037,-0.26,-0.196,-0.063,-0.097,
2.1,6.6855,0,0,0,0,14.782,11.013,0,0,1.197,0.663,-0.253,0.49,0.037,-0.26,-0.196,-0.063,-0.149,
2.2,6.15525,0,0,0,0,15.408,11.498,0,0,1.197,0.663,-0.253,0.49,0.037,-0.26,-0.196,-0.063,-0.149,
2.3,5.50775,0,0,0,0,15.953,11.904,0,0,-0.213,0.626,-0.351,0.501,0.013,-0.356,-0.197,-0.065,-0.104,
2.4,4.887,0,0,0,0,16.424,12.24,0,0,-0.213,0.626,-0.351,0.501,0.013,-0.356,-0.197,-0.065,-0.104,
2.5,4.23475,0,0,0,0,16.93,12.632,0,0,0.228,0.456,-0.297,0.501,0.013,-0.356,-0.197,-0.065,-0.104,
2.6,3.63125,0,0,0,0,17.346,12.934,0,0,0.228,0.456,-0.297,0.501,0.03,-0.272,-0.099,-0.065,-0.043,
2.7,3.04475,0,0,0,0,17.787,13.277,0,0,0.228,0.456,-0.297,0.501,0.03,-0.272,-0.099,-0.065,-0.043,
2.8,2.53725,0,0,0,0,18.152,13.546,0,0,0.18,0.654,-0.381,0.501,-0.046,-0.284,-0.164,-0.041,-0.021,
2.9,2.071,0,0,0,0,18.475,13.787,0,0,0.18,0.654,-0.381,0.501,-0.046,-0.284,-0.164,-0.041,-0.021,
3,1.636,0,0,0,0,18.801,14.045,0,0,-0.037,0.654,-0.381,0.501,-0.046,-0.284,-0.164,-0.041,-0.021,
3.1,1.267,0,0,0,0,19.069,14.249,0,0,-0.037,0.561,-0.338,0.501,0.105,-0.289,-0.052,-0.067,-0.149,
3.2,0.94775,0,0,0,0,19.293,14.413,0,0,-0.037,0.561,-0.338,0.501,0.105,-0.289,-0.052,-0.067,-0.149,
3.3,0.66025,0,0,0,0,19.51,14.59,0,0,-0.066,0.384,-0.232,0.501,0.029,-0.309,-0.057,-0.048,-0.052,
3.4,0.44,0,0,0,0,19.665,14.707,0,0,-0.066,0.384,-0.232,0.501,0.029,-0.309,-0.057,-0.048,-0.052,
3.5,0.25525,0,0,0,0,19.808,14.822,0,0,-0.066,0.384,-0.232,0.501,0.029,-0.309,-0.057,-0.048,-0.052,
3.6,0.1205,0,0,0,0,19.905,14.91,0,0,-0.206,0.688,-0.482,0.48,0.018,-0.268,-0.065,-0.048,-0.104,
3.7,0.03875,0,0,0,0,19.967,14.955,0,0,-0.206,0.688,-0.482,0.48,0.018,-0.268,-0.065,-0.048,-0.104,
3.8,0.0015,0,0,0,0,19.998,14.993,0,0,-0.092,0.729,-0.255,0.49,0.024,-0.198,-0.183,-0.024,-0.104,
3.9,-0.00075,0,0,0,0,20.001,15.002,0,0,-0.092,0.729,-0.255,0.49,0.024,-0.198,-0.183,-0.024,0.046,
4,1.48325,0,0,0,0,19.835,14.895,0.077,0,-0.092,0.729,-0.255,0.49,0.024,-0.198,-0.183,-0.024,0.046,
4.1,0,0,0,0,0,0,14.829,0,0,-0.092,0.729,-0.255,0.49,0.024,-0.198,-0.183,-0.024,0.046,
4.2,0,0,0,0,0,0,0,0.115,0,-0.092,0.729,-0.255,0.49,0.024,-0.198,-0.183,-0.024,0.046,
4.3,0,0,0,0,0,0,0,0,0,-0.092,0.729,-0.255,0.49,0.024,-0.198,-0.183,-0.024,0.046,
4.4,2.0475,0,0,0,0,19.606,14.593,0.28,0,-0.736,-0.15,0.58,1.386,-0.485,0.373,0.395,-0.024,0.046,
4.5,2.666,0,0,0,0,19.192,14.148,0.602,0,-0.736,-0.15,0.58,1.386,-0.485,0.373,0.395,-0.412,-0.089,
4.6,3.33,0,0,0,0,18.503,13.327,1.264,0,-0.736,-0.15,0.58,1.386,-0.485,0.373,0.395,-0.412,-0.089,
4.7,3.889,0,0,0,0,17.719,12.403,1.994,0,-0.786,-0.103,0.435,0.967,-0.558,0.2,0.446,-0.549,-0.082,
4.8,4.394,0,0,0,0,16.878,11.408,2.74,0,-0.786,-0.103,0.435,0.967,-0.558,0.2,0.446,-0.549,-0.082,
4.9,4.88125,0,0,0,0,15.896,10.025,3.792,0,-0.243,-0.202,0.354,1.358,-0.471,0.2,0.446,-0.549,-0.082,
5,5.29925,0,0,0,0,15.034,8.898001,4.585,0,-0.243,-0.202,0.354,1.358,-0.471,0.041,0.326,-0.377,-0.149,
5.1,5.685,0,0,0,0,14.074,7.56,5.619,0,-0.243,-0.202,0.354,1.358,-0.471,0.041,0.326,-0.377,-0.149,
5.2,6.01625,0,0,0,0,13.157,6.37,6.535,0,-0.306,-0.209,0.455,1.124,-0.336,0.243,0.203,-0.317,0.015,
5.3,6.29575,0,0,0,0,12.285,5.309,7.353,0,-0.306,-0.209,0.455,1.124,-0.336,0.243,0.203,-0.317,0.015,
5.4,6.53625,0,0,0,0,11.33,4.117,8.38,0,-0.445,-0.195,0.455,1.124,-0.336,0.243,0.203,-0.317,0.015,
5.5,6.72125,0,0,0,0,10.471,3.086,9.214,0,-0.445,-0.195,0.38,1.006,-0.386,0.117,0.211,-0.376,-0.097,
5.6,6.86025,0,0,0,0,9.693,2.132,9.965,0,-0.445,-0.195,0.38,1.006,-0.386,0.117,0.211,-0.376,-0.097,
5.7,6.953,0,0,0,0,8.853,1.062,10.884,0,-0.157,-0.054,0.379,0.896,-0.39,0.089,0.086,-0.302,-0.163,
5.8,6.996,0,0,0,0,8.121,0.196,11.566,0,-0.157,-0.054,0.379,0.896,-0.39,0.089,0.086,-0.302,-0.163,
5.9,7.0005,0,0,0,0,7.363,-0.775,12.396,0,-0.157,-0.054,0.379,0.896,-0.39,0.089,0.086,-0.302,-0.163,
6,6.987,0,0,0,0,6.669,-1.641,13.118,0,-0.381,-0.249,0.512,0.877,-0.443,0.056,0.186,-0.186,-0.134,
6.1,6.785,0,0,0,0,6.035,-2.381,13.696,0,-0.381,-0.249,0.512,0.877,-0.443,0.056,0.186,-0.186,-0.134,
6.2,6.33,0,0,0,0,5.377,-3.222,14.417,0,1.407,-0.064,0.238,0.877,-0.443,0.056,0.186,-0.186,-0.134,
6.3,5.69175,0,0,0,0,4.805,-3.906,14.956,0,1.407,-0.064,0.238,0.73,-0.365,0.131,0.101,-0.409,-0.007,
6.4,5.0685,0,0,0,0,4.263,-4.59,15.543,0,1.407,-0.064,0.238,0.73,-0.365,0.131,0.101,-0.409,-0.007,
6.5,4.40175,0,0,0,0,3.709,-5.29,16.119,0,0.502,-0.131,0.541,0.63,-0.378,0.087,0.141,-0.341,-0.014,
6.6,3.7945,0,0,0,0,3.244,-5.849,16.563,0,0.502,-0.131,0.541,0.63,-0.378,0.087,0.141,-0.341,-0.014,
6.7,3.2085,0,0,0,0,2.762,-6.46,17.084,0,0.171,-0.178,0.541,0.63,-0.378,0.087,0.141,-0.341,-0.014,
6.8,2.67725,0,0,0,0,2.349,-6.986,17.503,0,0.171,-0.178,0.444,0.676,-0.389,-0.042,0.204,-0.229,-0.067,
