time (s), lifter (10cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,-0.185,-0.002,-0.024,-0.038,0.007,-0.029,-0.125,-0.009,-0.006,
0.01,0,0,0,0,0,0,0,0,0,-0.185,-0.002,-0.024,-0.038,0.007,-0.029,-0.125,-0.009,-0.006,
0.02,0,0,0,0,0,0,0,0,0,-0.185,-0.002,-0.024,-0.038,0.007,-0.029,-0.125,-0.009,-0.006,
0.03,0,0,0,0,0,0,0,0,0,-0.221,-0.002,-0.016,-0.038,0.007,-0.029,-0.125,-0.009,-0.006,
0.04,0,0,0,0,0,0,0,0,0,-0.221,-0.002,-0.016,-0.026,-0.012,0.014,-0.125,-0.009,-0.006,
0.05,0,0,0,0,0,0,0,0,0,-0.221,-0.002,-0.016,-0.026,-0.012,0.014,-0.169,0.011,-0.04,
0.06,0,0,0,0,0,0,0,0,0,-0.221,-0.002,-0.016,-0.026,-0.012,0.014,-0.169,0.011,-0.04,
0.07,0,0,0,0,0,0,0,0,0,-0.221,-0.002,-0.016,-0.026,-0.012,0.014,-0.169,0.011,-0.04,
0.08,0,0,0,0,0,0,0,0,0,-0.221,-0.002,-0.016,-0.026,-0.012,0.014,-0.169,0.011,-0.04,
0.09,0,0,0,0,0,0,0,0,0,-0.221,-0.002,-0.016,-0.026,-0.012,0.014,-0.169,0.011,-0.04,
0.09999999,0,0,0,0,0,0,0,0,0,-0.221,-0.002,-0.016,-0.026,-0.012,0.014,-0.169,0.011,-0.04,
0.11,0,0,0,0,0,0,0,0,0,-0.211,-0.002,-0.024,-0.026,-0.012,0.014,-0.169,0.011,-0.04,
0.12,0,0,0,0,0,0,0,0,0,-0.211,-0.002,-0.024,-0.026,-0.061,0.031,-0.082,0.029,-0.04,
0.13,0,0,0,0,0,0,0,0,0,-0.211,-0.002,-0.024,-0.026,-0.061,0.031,-0.082,0.029,0.033,
0.14,0,0,0,0,0,0,0,0,0,-0.211,-0.002,-0.024,-0.026,-0.061,0.031,-0.082,0.029,0.033,
0.15,0,0,0,0,0,0,0,0,0,-0.211,-0.002,-0.024,-0.026,-0.061,0.031,-0.082,0.029,0.033,
0.16,0,0,0,0,0,0,0,0,0,-0.211,-0.002,-0.024,-0.026,-0.061,0.031,-0.082,0.029,0.033,
0.17,0,0,0,0,0,0,0,0,0,-0.211,-0.002,-0.024,-0.026,-0.061,0.031,-0.082,0.029,0.033,
0.18,0,0,0,0,0,0,0,0,0,-0.182,-0.002,-0.024,-0.026,-0.061,0.031,-0.082,0.029,0.033,
0.19,0,0,0,0,0,0,0,0,0,-0.182,-0.002,0.003,0.002,0.027,0.031,-0.082,0.029,0.033,
0.2,0,0,0,0,0,0,0,0,0,-0.182,-0.002,0.003,0.002,0.027,0.023,0,0.008,0.033,
0.21,0,0,0,0,0,0,0,0,0,-0.182,-0.002,0.003,0.002,0.027,0.023,0,0.008,-0.01,
0.22,0,0,0,0,0,0,0,0,0,-0.182,-0.002,0.003,0.002,0.027,0.023,0,0.008,-0.01,
0.23,0,0,0,0,0,0,0,0,0,-0.182,-0.002,0.003,0.002,0.027,0.023,0,0.008,-0.01,
0.24,0,0,0,0,0,0,0,0,0,-0.182,-0.002,0.003,0.002,0.027,0.023,0,0.008,-0.01,
0.25,0,0,0,0,0,0,0,0,0,-0.182,-0.002,0.003,0.002,0.027,0.023,0,0.008,-0.01,
0.26,0,0,0,0,0,0,0,0,0,-0.2,-0.002,-0.007,0.002,0.027,0.023,0,0.008,-0.01,
0.27,0,0,0,0,0,0,0,0,0,-0.2,-0.002,-0.007,0.003,0.007,0.001,0,0.008,-0.01,
0.28,0,0,0,0,0,0,0,0,0,-0.2,-0.002,-0.007,0.003,0.007,0.001,0.028,-0.008,0.02,
0.29,0,0,0,0,0,0,0,0,0,-0.2,-0.002,-0.007,0.003,0.007,0.001,0.028,-0.008,0.02,
0.3,0,0,0,0,0,0,0,0,0,-0.2,-0.002,-0.007,0.003,0.007,0.001,0.028,-0.008,0.02,
0.31,0,0,0,0,0,0,0,0,0,-0.2,-0.002,-0.007,0.003,0.007,0.001,0.028,-0.008,0.02,
0.32,0,0,0,0,0,0,0,0,0,-0.2,-0.002,-0.007,0.003,0.007,0.001,0.028,-0.008,0.02,
0.33,0,0,0,0,0,0,0,0,0,-0.2,-0.002,-0.007,0.003,0.007,0.001,0.028,-0.008,0.02,
0.34,0,0,0,0,0,0,0,0,0,-0.178,0.009,0.001,0.013,0.007,0.001,0.028,-0.008,0.02,
0.35,0,0,0,0,0,0,0,0,0,-0.178,0.009,0.001,0.013,0.027,0.005,-0.022,-0.008,0.02,
0.36,0,0,0,0,0,0,0,0,0,-0.178,0.009,0.001,0.013,0.027,0.005,-0.022,0.029,-0.001,
0.37,0,0,0,0,0,0,0,0,0,-0.178,0.009,0.001,0.013,0.027,0.005,-0.022,0.029,-0.001,
0.38,0,0,0,0,0,0,0,0,0,-0.178,0.009,0.001,0.013,0.027,0.005,-0.022,0.029,-0.001,
0.39,0,0,0,0,0,0,0,0,0,-0.178,0.009,0.001,0.013,0.027,0.005,-0.022,0.029,-0.001,
0.4,0,0,0,0,0,0,0,0,0,-0.178,0.009,0.001,0.013,0.027,0.005,-0.022,0.029,-0.001,
0.41,0,0,0,0,0,0,0,0,0,-0.165,0.009,0.001,0.013,0.027,0.005,-0.022,0.029,-0.001,
0.42,0,0,0,0,0,0,0,0,0,-0.165,-0.002,0.003,0.008,0.027,0.005,-0.022,0.029,-0.001,
