time (s), lifter (1cm), left pedal pos (1cm), left slider pos (1cm), right pedal pos (1cm), right slider pos (1cm), stock left extend pos (1cm), stock left slider pos (1cm), stock right extend pos (10cm), stock right slider pos (1cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0.28675,0,0,0,0,0.017,0.006,0,0,-1.152,0.978,0.003,0.232,-0.019,-0.07,0.073,-0.162,-0.067,
0.1,0,0,0,0,0,0,0,0,0,-1.152,0.978,-0.652,0.232,-0.019,-0.07,0.073,-0.162,-0.067,
0.2,0.574,0,0,0,0,0.097,0.048,0,0,-1.152,0.978,-0.652,0.265,-0.011,-0.366,-0.307,-0.184,-0.059,
0.3,1.05575,0,0,0,0,0.287,0.165,0,0,-1.152,0.978,-0.652,0.265,-0.011,-0.366,-0.307,-0.184,-0.059,
0.4,1.5795,0,0,0,0,0.617,0.392,0,0,-0.859,1.11,-0.395,0.243,-0.008,-0.366,-0.307,-0.184,-0.059,
0.5,2.08875,0,0,0,0,1.014,0.65,0,0,-0.859,1.11,-0.395,0.243,-0.008,-0.296,-0.313,-0.143,-0.127,
0.6,2.62075,0,0,0,0,1.589,1.061,0,0,-0.859,1.11,-0.395,0.243,-0.008,-0.296,-0.313,-0.143,-0.127,
0.7,3.11425,0,0,0,0,2.222,1.504,0,0,-0.361,0.963,-0.468,0.243,-0.031,-0.403,-0.268,-0.167,-0.127,
0.8,3.584,0,0,0,0,2.914,1.984,0,0,-0.361,0.963,-0.468,0.243,-0.031,-0.403,-0.268,-0.167,-0.127,
0.9,4.03575,0,0,0,0,3.692,2.635,0,0,-0.639,0.867,-0.499,0.232,-0.031,-0.403,-0.268,-0.167,-0.127,
1,4.43975,0,0,0,0,4.381,3.175,0,0,-0.639,0.867,-0.499,0.232,0.027,-0.309,-0.145,-0.165,-0.052,
1.1,4.82175,0,0,0,0,5.143,3.823,0,0,-0.639,0.867,-0.499,0.232,0.027,-0.309,-0.145,-0.165,-0.052,
1.2,5.17325,0,0,0,0,5.863,4.402,0,0,-0.645,0.743,-0.371,0.254,-0.033,-0.321,-0.182,-0.143,-0.052,
1.3,5.49175,0,0,0,0,6.584,4.942,0,0,-0.645,0.743,-0.371,0.254,-0.033,-0.321,-0.182,-0.143,-0.052,
1.4,5.79,0,0,0,0,7.352,5.55,0,0,-0.397,0.796,-0.407,0.254,-0.033,-0.321,-0.182,-0.143,-0.052,
1.5,6.052,0,0,0,0,8.083,6.071,0,0,-0.397,0.796,-0.407,0.243,-0.018,-0.404,-0.175,-0.139,-0.067,
1.6,6.27075,0,0,0,0,8.768,6.587,0,0,-0.397,0.796,-0.407,0.243,-0.018,-0.404,-0.175,-0.139,-0.067,
1.7,6.46975,0,0,0,0,9.501,7.126,0,0,-0.466,0.684,-0.425,0.243,-0.036,-0.384,-0.155,-0.126,-0.216,
1.8,6.6335,0,0,0,0,10.138,7.586,0,0,-0.466,0.684,-0.425,0.243,-0.036,-0.384,-0.155,-0.126,-0.216,
1.9,6.76875,0,0,0,0,10.811,8.103,0,0,-0.517,0.684,-0.425,0.243,-0.036,-0.384,-0.155,-0.126,-0.216,
2,6.87425,0,0,0,0,11.448,8.573999,0,0,-0.517,0.7,-0.516,0.222,-0.004,-0.382,-0.348,-0.189,-0.104,
2.1,6.94575,0,0,0,0,12.015,8.976999,0,0,-0.517,0.7,-0.516,0.222,-0.004,-0.382,-0.348,-0.189,-0.104,
2.2,6.9885,0,0,0,0,12.62,9.440001,0,0,-0.239,0.711,-0.565,0.232,-0.001,-0.297,-0.197,-0.183,-0.022,
2.3,6.9995,0,0,0,0,13.156,9.82,0,0,-0.239,0.711,-0.565,0.232,-0.001,-0.297,-0.197,-0.183,-0.022,
2.4,7.00025,0,0,0,0,13.73,10.263,0,0,-0.493,0.711,-0.565,0.232,-0.001,-0.297,-0.197,-0.183,-0.022,
2.5,6.982,0,0,0,0,14.235,10.637,0,0,-0.493,0.736,-0.363,0.243,-0.037,-0.44,-0.163,-0.187,-0.036,
2.6,6.82925,0,0,0,0,14.703,10.97,0,0,-0.493,0.736,-0.363,0.243,-0.037,-0.44,-0.163,-0.187,-0.036,
2.7,6.516,0,0,0,0,15.197,11.351,0,0,0.851,0.655,-0.387,0.243,-0.037,-0.44,-0.163,-0.187,-0.036,
2.8,6.05425,0,0,0,0,15.646,11.673,0,0,0.851,0.655,-0.387,0.243,0,-0.355,-0.087,-0.162,-0.052,
2.9,5.5465,0,0,0,0,16.053,11.974,0,0,0.851,0.655,-0.387,0.243,0,-0.355,-0.087,-0.162,-0.052,
3,5.014,0,0,0,0,16.485,12.303,0,0,0.408,0.656,-0.294,0.243,-0.032,-0.343,-0.289,-0.162,-0.134,
3.1,4.51875,0,0,0,0,16.841,12.566,0,0,0.408,0.656,-0.294,0.243,-0.032,-0.343,-0.289,-0.162,-0.134,
3.2,3.99775,0,0,0,0,17.224,12.862,0,0,-0.708,0.656,-0.294,0.243,-0.032,-0.343,-0.289,-0.162,-0.134,
3.3,3.52675,0,0,0,0,17.556,13.112,0,0,-0.708,0.519,-0.32,0.232,-0.044,-0.43,-0.168,-0.186,-0.202,
3.4,3.07825,0,0,0,0,17.862,13.33,0,0,-0.708,0.519,-0.32,0.232,-0.044,-0.43,-0.168,-0.186,-0.202,
3.5,2.65175,0,0,0,0,18.172,13.567,0,0,0.028,0.682,-0.289,0.243,-0.044,-0.405,-0.304,-0.139,-0.014,
3.6,2.26725,0,0,0,0,18.431,13.759,0,0,0.028,0.682,-0.289,0.243,-0.044,-0.405,-0.304,-0.139,-0.014,
3.7,1.902,0,0,0,0,18.697,13.97,0,0,-0.051,0.682,-0.289,0.243,-0.044,-0.405,-0.304,-0.139,-0.014,
3.8,1.58225,0,0,0,0,18.922,14.14,0,0,-0.051,0.6,-0.232,0.243,-0.027,-0.443,-0.323,-0.143,-0.142,
3.9,1.28525,0,0,0,0,19.121,14.283,0,0,-0.051,0.6,-0.232,0.243,-0.027,-0.443,-0.323,-0.143,-0.142,
4,1.0115,0,0,0,0,19.319,14.439,0,0,0.016,0.613,-0.278,0.243,0.005,-0.244,-0.261,-0.161,-0.074,
4.1,0.7845,0,0,0,0,19.471,14.558,0,0,0.016,0.613,-0.278,0.243,0.005,-0.244,-0.261,-0.161,-0.074,
4.2,0.57575,0,0,0,0,19.621,14.678,0,0,-0.101,0.793,-0.278,0.243,0.005,-0.244,-0.261,-0.161,-0.074,
4.3,0.406,0,0,0,0,19.734,14.768,0,0,-0.101,0.793,-0.415,0.232,-0.022,-0.421,-0.056,-0.183,-0.186,
4.4,0.264,0,0,0,0,19.829,14.84,0,0,-0.101,0.793,-0.415,0.232,-0.022,-0.421,-0.056,-0.183,-0.186,
4.5,0.1495,0,0,0,0,19.908,14.912,0,0,-0.102,0.578,-0.384,0.243,-0.042,-0.246,0.044,-0.161,0.008,
4.6,0.0705,0,0,0,0,19.959,14.949,0,0,-0.102,0.578,-0.384,0.243,-0.042,-0.246,0.044,-0.161,0.008,
4.7,0.01975,0,0,0,0,19.99,14.984,0,0,0.132,0.578,-0.384,0.243,-0.042,-0.246,0.044,-0.161,0.008,
4.8,0,0,0,0,0,20,15,0,0,0.132,0.85,-0.306,0.243,-0.033,-0.16,-0.158,-0.141,-0.052,
4.9,-0.00075,0,0,0,0,20.001,15.002,0,0,0.132,0.85,-0.306,0.243,-0.033,-0.16,-0.158,-0.141,-0.052,
5,0.97175,0,0,0,0,19.915,14.916,0.047,0.012,-0.842,0.85,-0.306,0.243,-0.033,-0.16,-0.158,-0.141,-0.052,
5.1,0,0,0,0,0,0,0,0.056,0.03,-0.842,0.85,-0.306,0.243,-0.033,-0.16,-0.158,-0.141,-0.052,
5.2,0,0,0,0,0,0,0,0,0.033,-0.842,-0.39,-0.306,0.243,-0.033,-0.16,-0.158,-0.141,-0.052,
5.3,0,0,0,0,0,0,0,0,0,-0.842,-0.39,-0.306,0.243,-0.033,-0.16,-0.158,-0.141,-0.052,
5.4,1.40975,0,0,0,0,19.789,14.795,0.139,0.081,-0.842,-0.39,0.402,1.332,-0.471,0.264,0.25,-0.261,-0.23,
5.5,1.9235,0,0,0,0,19.526,14.516,0.337,0.205,-0.842,-0.39,0.402,1.332,-0.471,0.264,0.25,-0.261,-0.23,
