time (s), lifter (1cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,0.105,0,-0.021,0.013,0.019,0,0.006,-0.005,0.003,
0.01,0,0,0,0,0,0,0,0,0,0.105,0,-0.021,0.013,0.019,0,0.006,-0.005,0.003,
0.02,0,0,0,0,0,0,0,0,0,0.105,0,-0.021,0.013,0.019,0,0.006,-0.005,0.003,
0.03,0,0,0,0,0,0,0,0,0,0.105,0,-0.021,0.013,0.019,0,0.006,-0.005,0.003,
0.04,0,0,0,0,0,0,0,0,0,0.105,0,-0.021,0.013,0.019,0,0.006,-0.005,0.003,
0.05,0,0,0,0,0,0,0,0,0,-0.428,0.022,-0.021,0.013,0.019,0,0.006,-0.005,0.003,
0.06,0,0,0,0,0,0,0,0,0,-0.428,0.022,0.008,-0.004,0.03,-0.069,0.006,-0.005,0.003,
0.07,0,0,0,0,0,0,0,0,0,-0.428,0.022,0.008,-0.004,0.03,-0.069,-0.014,0.017,-0.042,
0.08,0,0,0,0,0,0,0,0,0,-0.428,0.022,0.008,-0.004,0.03,-0.069,-0.014,0.017,-0.042,
0.09,0,0,0,0,0,0,0,0,0,-0.428,0.022,0.008,-0.004,0.03,-0.069,-0.014,0.017,-0.042,
0.09999999,0,0,0,0,0,0,0,0,0,-0.428,0.022,0.008,-0.004,0.03,-0.069,-0.014,0.017,-0.042,
0.11,0,0,0,0,0,0,0,0,0,-0.428,0.022,0.008,-0.004,0.03,-0.069,-0.014,0.017,-0.042,
0.12,0,0,0,0,0,0,0,0,0,-0.451,0.022,0.008,-0.004,0.03,-0.069,-0.014,0.017,-0.042,
0.13,0,0,0,0,0,0,0,0,0,-0.451,0,-0.004,-0.009,-0.009,-0.069,-0.014,0.017,-0.042,
0.14,0,0,0,0,0,0,0,0,0,-0.451,0,-0.004,-0.009,-0.009,-0.023,0.025,0.006,-0.02,
0.15,0,0,0,0,0,0,0,0,0,-0.451,0,-0.004,-0.009,-0.009,-0.023,0.025,0.006,-0.02,
0.16,0,0,0,0,0,0,0,0,0,-0.451,0,-0.004,-0.009,-0.009,-0.023,0.025,0.006,-0.02,
0.17,0,0,0,0,0,0,0,0,0,-0.451,0,-0.004,-0.009,-0.009,-0.023,0.025,0.006,-0.02,
0.18,0,0,0,0,0,0,0,0,0,-0.451,0,-0.004,-0.009,-0.009,-0.023,0.025,0.006,-0.02,
0.19,0,0,0,0,0,0,0,0,0,-0.125,0,0.008,-0.009,-0.009,-0.023,0.025,0.006,-0.02,
0.2,0,0,0,0,0,0,0,0,0,-0.125,0,0.008,0.041,-0.009,-0.034,-0.013,-0.005,-0.02,
0.21,0,0,0,0,0,0,0,0,0,-0.125,0,0.008,0.041,-0.009,-0.034,-0.013,-0.005,-0.008,
0.22,0,0,0,0,0,0,0,0,0,-0.125,0,0.008,0.041,-0.009,-0.034,-0.013,-0.005,-0.008,
