lifter pos (mm), left pedal pos (mm), left slider pos (mm), right pedal pos (mm), right slider pos (mm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
0,0,0,0,0,-0.1,-0.795,-0.108,-0.014,-0.593,
0,0,0,0,0,-0.06,-0.795,-0.128,0.009,-0.582,
0,0,0,0,0,-0.06,-0.784,-0.107,0.02,-0.591,
0,0,0,0,0,0.017,-0.795,-0.109,-0.019,-0.532,
0,0,0,0,0,-0.046,-0.795,-0.108,0.003,-0.554,
0,0,0,0,0,-0.032,-0.795,-0.119,-0.008,-0.582,
0,0,0,0,0,0.048,-0.795,-0.107,0.003,-0.592,
0,0,0,0,0,-0.037,-0.795,-0.12,0.003,-0.553,
0,0,0,0,0,0.025,-0.806,-0.12,-0.036,-0.565,
0,0,0,0,0,-0.02,-0.784,-0.079,-0.014,-0.554,
0,0,0,0,0,-0.015,-0.795,-0.109,-0.019,-0.548,
0,0,0,0,0,-0.06,-0.806,-0.118,-0.014,-0.577,
0,0,0,0,0,0.031,-0.795,-0.109,0.026,-0.577,
0,0,0,0,0,-0.029,-0.795,-0.128,0.026,-0.563,
0,0,0,0,0,0.025,-0.806,-0.118,-0.002,-0.597,
0,0,0,0,0,-0.029,-0.795,-0.107,0.003,-0.559,
0,0,0,0,0,0.039,-0.806,-0.119,-0.008,-0.586,
0,0,0,0,0,0.053,-0.806,-0.109,-0.002,-0.588,
0,0,0,0,0,0.084,-0.806,-0.089,0.02,-0.605,
0,0,0,0,0,0.053,-0.795,-0.12,-0.002,-0.597,
0,0,0,0,0,-0.032,-0.806,-0.098,-0.002,-0.536,
0,0,0,0,0,0.098,-0.784,-0.089,0.037,-0.608,
0,0,0,0,0,-0.023,-0.795,-0.13,-0.019,-0.567,
0,0,0,0,0,-0.068,-0.795,-0.118,0.037,-0.559,
0,0,0,0,0,-0.006,-0.784,-0.118,0.014,-0.584,
0,0,0,0,0,0.053,-0.784,-0.128,-0.031,-0.61,
0,0,0,0,0,-0.029,-0.795,-0.108,-0.025,-0.547,
0,0,0,0,0,0.008,-0.795,-0.098,0.02,-0.581,
0,0,0,0,0,0.017,-0.784,-0.127,-0.025,-0.603,
0,0,0,0,0,0.031,-0.795,-0.117,0.014,-0.602,
0,0,0,0,0,0.003,-0.784,-0.127,-0.008,-0.577,
0,0,0,0,0,-0.009,-0.784,-0.13,0.003,-0.576,
0,0,0,0,0,0.048,-0.784,-0.099,-0.002,-0.564,
0,0,0,0,0,0.11,-0.795,-0.108,0.003,-0.586,
0,0,0,0,0,0.065,-0.806,-0.099,0.009,-0.548,
0,0,0,0,0,-0.068,-0.795,-0.127,-0.019,-0.592,
0,0,0,0,0,-0.06,-0.806,-0.126,0.043,-0.588,
0,0,0,0,0,0.025,-0.806,-0.099,-0.002,-0.553,
0,0,0,0,0,-0.029,-0.806,-0.12,-0.002,-0.597,
0,0,0,0,0,-0.046,-0.784,-0.09,-0.002,-0.587,
0,0,0,0,0,0.011,-0.795,-0.088,-0.031,-0.565,
0,0,0,0,0,0.022,-0.795,-0.099,-0.008,-0.597,
0,0,0,0,0,0.088,-0.806,-0.09,-0.014,-0.569,
0,0,0,0,0,-0.06,-0.795,-0.119,0.003,-0.584,
0,0,0,0,0,0.079,-0.806,-0.109,0.037,-0.577,
0,0,0,0,0,0.093,-0.806,-0.081,0.003,-0.553,
0,0,0,0,0,0.062,-0.806,-0.16,-0.008,-0.534,
0,0,0,0,0,-0.015,-0.806,-0.137,-0.019,-0.576,
0,0,0,0,0,-0.068,-0.795,-0.118,-0.014,-0.577,
0,0,0,0,0,0.048,-0.795,-0.128,-0.019,-0.589,
0,0,0,0,0,0.031,-0.806,-0.099,-0.031,-0.558,
0,0,0,0,0,-0.046,-0.784,-0.08,-0.002,-0.577,
0,0,0,0,0,-0.077,-0.795,-0.13,0.02,-0.576,
0,0,0,0,0,-0.054,-0.795,-0.097,-0.031,-0.588,
0,0,0,0,0,0.031,-0.806,-0.13,0.009,-0.592,
0,0,0,0,0,-0.037,-0.795,-0.109,0.009,-0.531,
0,0,0,0,0,-0.029,-0.806,-0.118,-0.008,-0.604,
0,0,0,0,0,-0.063,-0.795,-0.108,0.003,-0.588,
0,0,0,0,0,-0.046,-0.784,-0.109,0.009,-0.581,
0,0,0,0,0,-0.037,-0.817,-0.13,-0.019,-0.541,
0,0,0,0,0,0.062,-0.795,-0.118,-0.036,-0.576,
0,0,0,0,0,-0.006,-0.806,-0.109,0.026,-0.57,
0,0,0,0,0,-0.015,-0.817,-0.099,0.026,-0.553,
0,0,0,0,0,-0.001,-0.784,-0.109,-0.036,-0.581,
0,0,0,0,0,-0.006,-0.806,-0.119,-0.002,-0.558,
0,0,0,0,0,-0.068,-0.795,-0.118,-0.019,-0.569,
0,0,0,0,0,0.039,-0.795,-0.118,0.014,-0.578,
0,0,0,0,0,-0.029,-0.795,-0.069,0.009,-0.587,
0,0,0,0,0,0.071,-0.806,-0.117,-0.019,-0.588,
0,0,0,0,0,-0.077,-0.795,-0.079,-0.031,-0.564,
0,0,0,0,0,0.031,-0.806,-0.138,0.003,-0.594,
0,0,0,0,0,0.079,-0.806,-0.117,-0.008,-0.569,
0,0,0,0,0,0.008,-0.795,-0.089,-0.014,-0.577,
0,0,0,0,0,0.003,-0.784,-0.099,-0.014,-0.584,
0,0,0,0,0,-0.015,-0.806,-0.149,-0.025,-0.579,
0,0,0,0,0,0.102,-0.795,-0.109,0.003,-0.559,
0,0,0,0,0,-0.015,-0.795,-0.089,-0.008,-0.548,
0,0,0,0,0,-0.037,-0.784,-0.109,0.003,-0.542,
0,0,0,0,0,-0.001,-0.795,-0.11,-0.008,-0.577,
0,0,0,0,0,-0.037,-0.795,-0.098,0.026,-0.608,
0,0,0,0,0,-0.015,-0.806,-0.099,-0.019,-0.604,
0,0,0,0,0,0.102,-0.806,-0.148,0.003,-0.57,
0,0,0,0,0,-0.054,-0.806,-0.1,0.014,-0.591,
0,0,0,0,0,-0.023,-0.795,-0.108,0.009,-0.589,
0,0,0,0,0,-0.06,-0.784,-0.117,0.014,-0.603,
0,0,0,0,0,-0.001,-0.784,-0.108,-0.002,-0.582,
0,0,0,0,0,0.039,-0.795,-0.109,-0.008,-0.564,
0,0,0,0,0,-0.046,-0.795,-0.1,0.014,-0.587,
0,0,0,0,0,0.057,-0.795,-0.099,0.031,-0.602,
0,0,0,0,0,0.039,-0.795,-0.089,0.026,-0.57,
0,0,0,0,0,-0.029,-0.795,-0.079,0.026,-0.565,
0,0,0,0,0,-0.015,-0.806,-0.098,-0.019,-0.547,
0,0,0,0,0,-0.015,-0.806,-0.088,-0.002,-0.557,
0,0,0,0,0,0.048,-0.795,-0.118,-0.019,-0.591,
0,0,0,0,0,-0.001,-0.806,-0.08,0.065,-0.559,
0,0,0,0,0,0.011,-0.784,-0.089,-0.002,-0.587,
0,0,0,0,0,-0.015,-0.795,-0.079,-0.002,-0.584,
0,0,0,0,0,-0.037,-0.795,-0.13,-0.031,-0.603,
0,0,0,0,0,-0.131,-0.795,-0.149,0.014,-0.558,
0,0,0,0,0,0.057,-0.795,-0.19,-0.008,-0.565,
0,0,0,0,0,0.084,-0.784,-0.12,-0.031,-0.577,
0,0,0,0,0,0.011,-0.784,-0.097,0.003,-0.563,
0,0,0,0,0,-0.037,-0.806,-0.128,-0.019,-0.582,
0,0,0,0,0,0.036,-0.806,-0.108,-0.008,-0.565,
0,0,0,0,0,-0.037,-0.784,-0.078,0.043,-0.574,
0,0.003,0,0,0,-0.015,-0.419,0.008,0.003,-0.047,
0,0,-0.006,0,0.006,0.071,-0.073,-0.994,0.014,0.009,
0,0,-0.204,0,0.006,0.025,-0.505,-0.739,-0.014,0.013,
0,0.003,-0.582,0,0.006,-0.023,-0.054,-0.769,-0.042,0.012,
0,0,-1.14,0,0.006,0.008,-0.043,-0.704,-0.047,0.002,
0,0.003,-1.848,0,0.006,0.084,-0.054,-0.243,0.02,-0.014,
0,0.003,-2.622,0,0.006,0.036,-0.602,-0.335,-0.014,-0.015,
0,0,-3.204,0,0.006,0.076,-0.032,-0.36,-0.002,-0.015,
0,0,-3.672,0,0.006,-0.046,-0.032,-0.372,-0.008,-0.007,
0,0,-3.906,0,0.006,-0.037,-0.656,-0.402,0.02,-0.033,
0,0,-3.972,0,-0.024,-0.037,-0.043,0.888,0.003,-0.91,
0,0,-3.774,0,-0.252,-0.032,-0.032,1.135,-0.025,-0.771,
0,0,-3.042,0,-0.846,-0.023,-0.559,1.001,0.009,-0.667,
0,0,-1.416,0,-1.884,-0.029,-0.656,1.116,0.003,-0.19,
0,0,0.744,0,-2.886,-0.077,-0.419,-0.094,-0.008,-0.308,
0,0,2.412,0,-3.546,0.079,-0.43,0.112,-0.008,-0.42,
0,0,3.396,0,-3.87,0.093,-0.419,0.13,0.009,-0.437,
0,0,3.864,0,-3.942,-0.015,-0.43,0.539,0.014,1.148,
0,0,3.876,0,-3.576,0.107,-0.419,-1.18,-0.042,1.036,
0,0,3.348,0,-2.682,-0.006,-0.43,-1.203,0.009,1.06,
0,0,2.34,0,-1.332,0.071,-0.408,-1.193,-0.036,1.229,
0,0,1.086,0,0.18,0.039,-0.419,-1.194,-0.008,-0.092,
0,0,-0.468,0,1.722,0.034,-0.419,0.017,-0.025,0.066,
0,0,-1.914,0,2.838,-0.029,-0.43,-0.088,-0.031,0.177,
0,0,-3.012,0,3.57,-0.06,-0.408,0.023,-0.019,0.014,
0,0,-3.648,0,3.912,-0.032,-0.419,0.091,0.003,0.475,
0,0,-3.948,0,3.882,0.008,-0.43,0.887,-0.008,-1.041,
0,0,-3.648,0,3.174,-0.009,-0.419,1.055,0.014,-0.939,
0,0,-2.904,0,2.13,0.102,-0.419,0.91,-0.002,-1.052,
0,0,-1.5,0,0.288,-0.068,-0.43,1.185,0.009,0.107,
0,0,0.528,0,-1.668,-0.037,-0.43,0.055,-0.036,-0.019,
0,0,2.106,0,-2.862,-0.015,-0.43,0.112,0.014,-0.201,
0,0,3.33,0,-3.75,-0.046,-0.43,0.2,-0.008,0.002,
0,0,3.864,0,-3.936,-0.046,-0.43,0.517,0.014,1.108,
0,0,3.906,0,-3.588,-0.037,-0.419,-1.1,0.003,1.058,
0,0,3.246,0,-2.478,0.11,-0.419,-0.944,0.014,1.094,
0,0,2.124,0,-1.002,0.039,-0.419,-1.176,0.009,1.14,
0,0,0.426,0,1.008,-0.023,-0.419,0.212,0.009,-0.076,
0,0,-2.142,0,2.994,-0.046,-0.43,-0.038,0.014,-0.071,
0,0,-3.306,0,3.774,-0.046,-0.419,-0.17,0.037,-0.054,
0,0,-3.894,0,3.948,-0.001,-0.419,-0.707,-0.008,-1.154,
0,0,-3.858,0,3.192,0.022,-0.43,1.08,0.009,-1.012,
0,0,-2.85,0,1.608,0.102,-0.419,0.956,-0.014,-1.231,
0,0,-1.458,0,-0.288,0.043,-0.419,1.165,-0.002,0.05,
0,0,0.588,0,-2.112,-0.006,-0.43,0.011,0.003,0.037,
0,0,2.244,0,-3.252,0.088,-0.408,0.107,0.003,-0.306,
0,0,3.384,0,-3.87,0.017,-0.43,0.081,0.026,-0.082,
0,0,3.888,0,-3.936,-0.051,-0.43,-0.706,-0.008,1.282,
0,0,3.732,0,-3.15,-0.006,-0.441,-1.333,-0.019,1.018,
0,0,2.838,0,-1.77,0.079,-0.419,-1.124,0.014,1.133,
0,0,1.308,0,0.276,0.048,-0.43,-0.922,0.02,-0.025,
0,0,-0.822,0,2.166,0.079,-0.419,0.101,0.014,0.071,
0,0,-2.478,0,3.3,-0.04,-0.43,0.054,-0.031,0.14,
0,0,-3.51,0,3.894,0.025,-0.441,0.043,0.014,0.571,
0,0,-3.954,0,3.714,-0.023,-0.419,0.961,-0.031,-1.167,
0,0,-3.588,0,2.766,0.039,-0.419,1.022,-0.019,-1.151,
0,0,-2.508,0,1.14,0.025,-0.419,1.288,-0.008,-0.982,
0,0,-0.774,0,-1.116,-0.032,-0.408,-0.001,-0.008,-0.003,
0,0,1.41,0,-2.76,0.017,-0.43,0.142,-0.002,-0.153,
0,0,2.982,0,-3.792,-0.046,-0.419,0.192,-0.025,-0.19,
0,0,3.948,0,-3.738,-0.091,-0.419,-1.072,-0.019,1.265,
