count, lifter pos (mm), left pedal pos (mm), left slider pos (mm), right pedal pos (mm), right slider pos (mm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
73,0.003,0,0,-0.009,-0.006,-0.794,-0.007,0.176,-0.033,0.001,
74,0.003,0,0,-0.009,-0.006,-0.794,-0.007,0.176,-0.033,0.001,
75,0.003,0,0,-0.009,-0.006,-0.702,-0.007,0.176,-0.033,0.001,
76,0.003,0,0,-0.009,-0.006,-0.702,0.004,0.21,-0.022,0.012,
77,0.003,0,0,-0.009,-0.006,-0.702,0.004,0.21,-0.022,0.012,
78,0.003,0,0,-0.009,-0.006,-0.725,0.004,0.21,-0.022,0.012,
79,0.003,0,0,-0.009,-0.006,-0.725,0.004,0.199,-0.005,0.018,
80,0.003,0,0,-0.009,-0.006,-0.725,0.004,0.199,-0.005,0.018,
81,0.003,0,0,-0.009,-0.006,-0.668,-0.007,0.199,-0.005,0.018,
82,0.003,0,0,-0.009,-0.006,-0.668,-0.007,0.187,-0.011,-0.016,
83,0.003,0,0,-0.009,-0.006,-0.668,-0.007,0.187,-0.011,-0.016,
84,0.003,0,0,-0.009,-0.012,-0.76,0.025,0.182,-0.011,-0.016,
85,0.003,0,0,-0.009,-0.012,-0.76,0.025,0.182,-0.027,0.086,
86,0.003,0,0,-0.009,-0.012,-0.76,0.025,0.182,-0.027,0.086,
87,0.003,0,0,-0.009,-0.006,-0.691,-0.007,0.171,-0.027,0.086,
88,0.003,0,0,-0.009,-0.006,-0.691,-0.007,0.171,0.018,-0.021,
89,0.003,0,0,-0.009,-0.006,-0.691,-0.007,0.171,0.018,-0.021,
90,0.003,0,0,-0.009,-0.006,-0.702,0.015,0.171,0.018,-0.021,
91,0.003,0,0,-0.009,-0.006,-0.702,0.015,0.221,-0.016,0.063,
92,0.003,0,0,-0.009,-0.006,-0.702,0.015,0.221,-0.016,0.063,
93,0.003,0,0,-0.009,-0.006,-0.748,0.015,0.221,-0.016,0.063,
94,0.003,0,0,-0.009,-0.006,-0.748,0.025,0.199,-0.011,-0.016,
95,0.003,0,0,-0.009,-0.006,-0.748,0.025,0.199,-0.011,-0.016,
96,0.003,0,0,-0.009,-0.006,-0.68,0.025,0.199,-0.011,-0.016,
97,0.003,0,0,-0.009,-0.006,-0.68,0.004,0.204,-0.016,-0.016,
98,0.003,0,0,-0.009,-0.006,-0.68,0.004,0.204,-0.016,-0.016,
99,0.003,0,0,-0.009,-0.006,-0.68,0.004,0.204,-0.016,-0.016,
100,0.003,0,0,-0.009,-0.006,-0.68,0.004,0.221,-0.016,-0.016,
101,0.003,0,0,-0.009,-0.006,-0.68,0.004,0.221,0.012,-0.016,
102,0.003,0,0,-0.009,-0.006,-0.68,0.004,0.221,0.012,-0.016,
103,0.003,0,0,-0.009,-0.012,-0.817,-0.007,0.182,0.012,-0.016,
104,0.003,0,0,-0.009,-0.012,-0.817,-0.007,0.182,-0.033,0.091,
105,0.004,0,0,-0.009,-0.012,-0.817,-0.007,0.182,-0.033,0.091,
106,0.004,0,0,-0.009,-0.012,-0.862,0.004,0.182,-0.033,0.091,
107,0.004,0,0,-0.009,-0.012,-0.862,0.004,0.182,-0.011,0.046,
108,0.004,0,0,-0.009,-0.012,-0.862,0.004,0.182,-0.011,0.046,
109,0.004,0,0,-0.009,-0.006,-0.851,0.004,0.182,-0.011,0.046,
110,0.004,0,0,-0.009,-0.006,-0.851,0.004,0.232,0.001,0.024,
111,0.004,0,0,-0.009,-0.006,-0.851,0.004,0.232,0.001,0.024,
112,0.004,0,0,-0.009,-0.012,-0.896,0.004,0.232,0.001,0.024,
113,0.004,0,0,-0.009,-0.012,-0.896,-0.007,0.171,-0.005,-0.005,
114,0.004,0,0,-0.009,-0.012,-0.896,-0.007,0.171,-0.005,-0.005,
115,0.004,0,0,-0.009,-0.006,-0.896,-0.007,0.171,-0.005,-0.005,
116,0.004,0,0,-0.009,-0.006,-0.817,-0.007,0.159,0.006,0.012,
117,0.004,0,0,-0.009,-0.006,-0.817,-0.007,0.159,0.006,0.012,
118,0.004,0,0,-0.009,-0.006,-0.817,-0.007,0.159,0.006,0.012,
119,0.004,0,0,-0.009,-0.006,-0.885,0.015,0.193,0.001,0.226,
120,0.004,0,0,-0.009,-0.006,-0.885,0.015,0.193,0.001,0.226,
121,0.004,0,0,-0.009,-0.006,-0.885,0.015,0.193,0.001,0.226,
122,0.004,0,0,-0.009,-0.012,-0.862,-0.007,0.193,-0.011,-0.005,
123,0.004,0,0,-0.009,-0.012,-0.862,-0.007,0.193,-0.011,-0.005,
124,0.004,0,0,-0.009,-0.006,-0.862,-0.007,0.193,-0.011,-0.005,
125,0.004,0,0,-0.009,-0.006,-0.885,-0.007,0.176,-0.011,-0.005,
126,0.004,0,0,-0.009,-0.006,-0.885,-0.007,0.176,-0.016,-0.005,
127,0.004,0,0,-0.009,-0.006,-0.885,-0.007,0.176,-0.016,-0.016,
128,0.004,0,0,-0.009,-0.006,-0.885,-0.007,0.176,-0.016,-0.016,
129,0.004,0,0,-0.009,-0.006,-0.224,-0.007,0.176,-0.016,-0.016,
130,0.004,0,0,-0.009,-0.006,-0.224,-0.007,0.204,-0.016,0.17,
131,0.004,0,0,-0.009,-0.006,-0.224,-0.007,0.204,-0.016,0.17,
132,0.004,0,0,-0.009,-0.012,1.099,-0.007,0.204,-0.016,0.17,
133,0.004,0,0,-0.009,-0.012,1.099,-0.007,0.204,-0.016,0.018,
134,0.006,0,0,-0.009,-0.012,1.099,-0.007,0.204,-0.016,0.018,
135,0.006,0,0,-0.009,-0.006,1.894,-0.007,0.204,-0.016,0.018,
136,0.006,0,0,-0.009,-0.006,1.894,-0.007,0.176,0.012,-0.01,
137,0.033,0,0,-0.009,-0.006,1.894,-0.007,0.176,0.012,-0.01,
138,0.033,0,0,-0.009,-0.006,1.225,-0.007,0.187,0.012,-0.01,
139,0.033,0,0,-0.009,-0.006,1.225,-0.007,0.187,-0.005,0.012,
140,0.067,0,0,-0.009,-0.006,1.225,-0.007,0.187,-0.005,0.012,
141,0.067,0,0,-0.009,-0.006,1.171,-0.018,0.204,-0.005,0.012,
142,0.067,0,0,-0.009,-0.006,1.171,-0.018,0.204,0.012,0.029,
143,0.106,0,0,-0.009,-0.006,1.171,-0.018,0.204,0.012,0.029,
144,0.106,0,0,-0.009,-0.006,1.171,-0.018,0.204,0.012,0.029,
145,0.106,0,0,-0.009,-0.006,1.171,-0.018,0.204,0.012,0.029,
146,0.106,0,0,-0.009,-0.006,1.207,-0.007,0.176,-0.011,0.029,
147,0.106,0,0,-0.009,-0.006,1.207,-0.007,0.176,-0.011,0.024,
148,0.189,0,0,-0.009,-0.006,1.207,-0.007,0.176,-0.011,0.024,
149,0.189,0,0,-0.009,-0.006,1.375,0.004,0.187,0.001,0.052,
150,0.189,0,0,-0.009,-0.006,1.375,0.004,0.187,0.001,0.052,
151,0.246,0,0,-0.009,-0.006,1.375,0.004,0.187,0.001,0.052,
152,0.246,0,0,-0.009,-0.006,1.298,-0.007,0.187,-0.044,0.001,
153,0.246,0,0,-0.009,-0.006,1.298,-0.007,0.187,-0.044,0.001,
