count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
0,0.59,0,0,0,0,-2.597,0,0,0,0,
0.01,0.59,0,0,0,0,-2.597,0,0,0,0,
0.02,0.72,0,0,0,0,-2.001,0,0,0,0,
0.03,0.72,0,0,0,0,-2.001,0,0,0,0,
0.04,0.86,0,0,0,0,-2.001,0,0,0,0,
0.05,0.86,0,0,0,0,-1.428,0,0,0,0,
0.06,0.86,0,0,0,0,-1.428,0,0,0,0,
0.07,1.01,0,0,0,0,-0.308,0,0,0,0,
0.08,1.01,0,0,0,0,-0.308,0,0,0,0,
0.09,1.16,0,0,0,0,-0.401,0,0,0,0,
0.09999999,1.16,0,0,0,0,-0.401,0,0,0,0,
0.11,1.31,0,0,0,0,-0.538,0,0,0,0,
0.12,1.31,0,0,0,0,-0.538,0,0,0,0,
0.13,1.46,0,0,0,0,-0.538,0,0,0,0,
0.14,1.46,0,0,0,0,-0.743,0,0,0,0,
0.15,1.46,0,0,0,0,-0.743,0,0,0,0,
0.16,1.61,0,0,0,0,-0.162,0,0,0,0,
0.17,1.61,0,0,0,0,-0.162,0,0,0,0,
0.18,1.76,0,0,0,0,-0.437,0,0,0,0,
0.19,1.76,0,0,0,0,-0.437,0,0,0,0,
0.2,1.91,0,0,0,0,-0.437,0,0,0,0,
0.21,1.91,0,0,0,0,-0.349,0,0,0,0,
0.22,1.91,0,0,0,0,-0.349,0,0,0,0,
0.23,2.06,0,0,0,0,-0.338,0,0,0,0,
0.24,2.06,0,0,0,0,-0.338,0,0,0,0,
0.25,2.21,0,0,0,0,-0.517,0,0,0,0,
0.26,2.21,0,0,0,0,-0.517,0,0,0,0,
0.27,2.21,0,0,0,0,-0.517,0,0,0,0,
0.28,2.36,0,0,0,0,-0.322,0,0,0,0,
0.29,2.36,0,0,0,0,-0.322,0,0,0,0,
0.3,2.51,0,0,0,0,-0.453,0,0,0,0,
0.31,2.51,0,0,0,0,-0.453,0,0,0,0,
0.32,2.67,0,0,0,0,-0.453,0,0,0,0,
0.33,2.67,0,0,0,0,6.777,0,0,0,0,
0.34,2.67,0,0,0,0,6.777,0,0,0,0,
0.35,2.78,0,0,0,0,4.508,0,0,0,0,
0.36,2.78,0,0,0,0,4.508,0,0,0,0,
0.37,2.86,0,0,0,0,3.526,0,0,0,0,
0.38,2.86,0,0,0,0,3.526,0,0,0,0,
0.39,2.86,0,0,0,0,3.526,0,0,0,0,
0.4,2.93,0,0,0,0,2.181,0,0,0,0,
0.41,2.93,0,0,0,0,2.181,0,0,0,0,
0.42,2.97,0,0,0,0,1.753,0,0,0,0,
0.43,2.97,0,0,0,0,1.753,0,0,0,0,
0.44,3,0,0,0,0,1.753,0,0,0,0,
0.45,3,0,0,0,0,2.011,0,0,0,0,
0.46,3,0,0,0,0,2.011,0,0,0,0,
0.47,3.02,0,0,0,0,1.961,0,0,0,0,
0.48,3.02,0,0,0,0,1.961,0,0,0,0,
0.49,3.02,0,0,0,0,-0.192,0,0,0,0,
0.5,3.02,0,0,0,0,-0.192,0,0,0,0,
0.51,3.02,0,0,0,0,-0.192,0,0,0,0,
0.52,3.02,0,0,0,0,0.014,0,0,0,0,
0.53,3.02,0,0,0,0,0.014,0,0,0,0,
0.54,3.02,0,0,0,0,0.206,0,0,0,0,
0.55,3.02,0,0,0,0,0.206,0,0,0,0,
0.56,3.02,0,0,0,0,0.353,0,0,0,0,
0.57,3.02,0,0,0,0,0.353,0,0,0,0,
0.58,3.02,0,0,0,0,0.353,0,0,0,0,
0.59,3.02,0,0,0,0,0.494,0,0,0,0,
0.6,3.02,0,0,0,0,0.494,0,0,0,0,
0.61,3.02,0,0,0,0,0.527,0,0,0,0,
0.62,3.02,0,0,0,0,0.527,0,0,0,0,
0.63,3.01,0,0,0,0,0.527,0,0,0,0,
0.64,3.01,0,0,0,0,0.605,0,0,0,0,
0.65,3.01,0,0,0,0,0.605,0,0,0,0,
0.66,3,0,0,0,0,0.519,0,0,0,0,
0.67,3,0,0,0,0,0.519,0,0,0,0,
0.68,2.99,0,0,0,0,0.38,0,0,0,0,
0.69,2.99,0,0,0,0,0.38,0,0,0,0,
0.7,2.99,0,0,0,0,0.38,0,0,0,0,
0.71,2.99,0,0,0,0,0.46,0,0,0,0,
0.72,2.99,0,0,0,0,0.46,0,0,0,0,
0.73,2.97,0,0,0,0,0.48,0,0,0,0,
0.74,2.97,0,0,0,0,0.48,0,0,0,0,
0.75,2.96,0,0,0,0,0.351,0,0,0,0,
0.76,2.96,0,0,0,0,0.351,0,0,0,0,
0.77,2.95,0,0,0,0,0.351,0,0,0,0,
0.78,2.95,0,0,0,0,0.46,0,0,0,0,
0.79,2.95,0,0,0,0,0.46,0,0,0,0,
