lifter pos, left pedal pos, left slider pos, right pedal pos, right slider pos, lifter current, left pedal current, left slider current, right pedal current, right slider current
0,0,0,0,0,-6,-784,-147,-14,-592,
0,0,0,0,0,48,-795,-117,-8,-569,
0,0,0,0,0,17,-795,-108,9,-598,
0,0,0,0,0,84,-795,-147,3,-570,
0,0,0,0,0,8,-806,-100,9,-548,
0,0,0,0,0,-68,-806,-108,3,-542,
0,0,0,0,0,3,-795,-128,20,-558,
0,0,0,0,0,34,-795,-108,-2,-579,
0,0,0,0,0,8,-795,-158,20,-574,
0,0,0,0,0,-29,-795,-98,-8,-584,
0,0,0,0,0,3,-795,-160,26,-581,
0,0,0,0,0,62,-795,-109,26,-581,
0,0,0,0,0,79,-795,-99,-19,-608,
0,0,0,0,0,62,-806,-130,-42,-596,
0,0,0,0,0,-60,-795,-117,20,-560,
0,0,0,0,0,53,-806,-140,-2,-597,
0,0,0,0,0,-29,-784,-99,14,-565,
0,0,0,0,0,-54,-806,-109,-14,-597,
0,0,0,0,0,-46,-795,-109,14,-569,
0,0,0,0,0,-29,-795,-109,-31,-604,
0,0,0,0,0,-15,-795,-109,20,-570,
0,0,0,0,0,-46,-806,-129,-2,-599,
0,0,0,0,0,-32,-795,-99,9,-578,
0,0,0,0,0,-6,-784,-107,9,-576,
0,0,0,0,0,-37,-784,-88,9,-584,
0,0,0,0,0,17,-784,-128,3,-588,
0,0,0,0,0,-23,-806,-109,-19,-570,
0,0,0,0,0,102,-795,-99,31,-564,
0,0,0,0,0,79,-817,-139,-14,-594,
0,0,0,0,0,-37,-795,-118,14,-574,
0,0,0,0,0,3,-795,-88,-36,-593,
0,0,0,0,0,-29,-806,-109,-14,-559,
0,0,0,0,0,48,-795,-99,-2,-573,
0,0,0,0,0,71,-806,-99,-8,-602,
0,0,0,0,0,39,-806,-109,3,-569,
0,0,0,0,0,8,-784,-99,-8,-592,
0,0,0,0,0,-29,-795,-138,9,-567,
0,0,0,0,0,53,-806,-128,-25,-569,
0,0,0,0,0,-15,-784,-126,9,-548,
0,0,0,0,0,8,-795,-109,26,-564,
0,0,0,0,0,116,-795,-98,-31,-593,
0,0,0,0,0,-37,-806,-128,-19,-549,
0,0,0,0,0,-29,-806,-109,-8,-563,
0,0,0,0,0,53,-795,-89,9,-588,
0,0,0,0,0,-91,-795,-119,-25,-542,
0,0,0,0,0,-46,-806,-117,-14,-592,
0,0,0,0,0,8,-795,-90,-25,-598,
0,0,0,0,0,71,-784,-107,14,-574,
0,0,0,0,0,-60,-806,-89,-25,-565,
0,0,0,0,0,-29,-795,-129,-25,-598,
0,0,0,0,0,-23,-784,-119,3,-582,
0,0,0,0,0,-37,-806,-87,-8,-598,
0,0,0,0,0,-37,-784,-109,20,-596,
0,0,0,0,0,-37,-817,-98,-2,-614,
0,0,0,0,0,-6,-806,-99,-2,-577,
0,0,0,0,0,22,-806,-118,26,-559,
0,0,0,0,0,-15,-806,-119,-31,-570,
0,0,0,0,0,53,-784,-107,3,-560,
0,0,0,0,0,25,-795,-111,-19,-597,
0,0,0,0,0,-15,-784,-147,3,-587,
0,0,0,0,0,17,-806,-138,3,-614,
0,0,0,0,0,84,-795,-121,-19,-602,
