lifter pos (mm), left pedal pos (mm), left slider pos (mm), right pedal pos (mm), right slider pos (mm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
0,0,9.81,0,-6.594,0.048,0.292,-4.137,0.493,3.901,
0,0,6.72,0,0.414,-0.037,0.292,-4.43,0.481,-3.163,
0,0,-0.192,0,7.17,-0.015,0.292,3.461,0.509,-2.4,
0,0,-6.81,-0.003,9.852,-0.015,0.292,2.556,0.65,-0.222,
0,0,-9.924,0,9.222,-0.06,0.292,3.732,0.476,-3.758,
0,0,-8.502,0,0.738,-0.037,0.249,3.881,0.509,3.042,
0,0,-2.598,0.003,-6.882,-0.023,0.271,-2.742,0.391,2.418,
0,0,5.58,0.003,-9.846,-0.023,0.282,-2.677,0.425,-0.017,
0,0,9.924,0,-9.3,-0.001,0.282,-4.074,0.459,3.587,
0,0,8.124,0.003,-1.032,0.048,0.249,-3.707,0.436,-2.98,
0,0,2.562,0.003,6.252,-0.006,0.26,3.826,0.493,-2.232,
0,0,-5.238,0,9.672,0.025,0.249,2.071,0.442,0.511,
0,0,-9.834,0,9.672,0.048,0.282,-1.01,0.431,-4.233,
0,0,-9.714,0,4.77,0.093,0.249,4.226,0.448,-3.989,
0,0,-6.912,0,-2.682,0.025,0.271,3.527,0.684,3.036,
0,0,-1.17,0.003,-8.076,0.062,0.292,-3.198,0.442,2.54,
0,0,6.57,0,-9.978,0.039,0.282,-2.435,0.667,-0.052,
0,0,9.924,0,-9.606,-0.015,0.282,-4.206,0.29,3.495,
0,0,8.898,0,-2.484,-0.029,0.239,-4.234,0.329,-2.395,
0,0,4.026,0.003,5.556,0.107,0.292,-3.679,0.667,-2.577,
0,0,-3.486,0,9.12,0.008,0.26,1.931,0.408,-2.523,
0,0,-8.43,0,9.936,-0.091,0.249,2.685,0.408,-3.566,
0,0,-9.834,0,6.132,-0.037,0.271,4.171,0.262,-3.779,
0,0,-7.884,0.003,-0.468,0.039,0.271,3.626,0.628,3.497,
0.001,0,-3.132,0,-5.442,-0.138,0.271,4.393,0.318,2.322,
0.001,0,3.768,0.003,-9.156,-0.029,0.26,-2.973,0.38,2.534,
0.001,0,8.37,0.003,-9.93,-0.07,0.496,-2.444,0.358,3.878,
0,0,9.864,0.003,-7.032,0.039,0.615,-4.155,0.352,3.736,
0,0,8.172,0.003,-2.256,-0.122,0.206,-3.893,0.341,-2.869,
0,0,3.726,0.003,4.458,-0.159,0.196,-3.616,0.453,-2.621,
0,0,-3.174,0,8.802,-0.083,0.206,2.259,0.397,-2.276,
0,0,-8.118,0,9.96,-0.06,0.163,2.545,0.397,-3.624,
0.001,0,-9.912,0,7.416,-0.054,0.196,4.026,0.38,-3.538,
0,0,-8.13,0,2.154,-0.065,0.206,4.236,0.403,2.084,
0,0,-3.702,0,-4.476,-0.082,0.196,4.124,0.133,2.46,
0,0,2.994,0.003,-8.562,-0.074,0.206,-2.715,0.324,2.315,
0,0,7.62,0.003,-9.954,-0.105,0.185,-2.468,0.358,3.915,
0,0,9.924,0.003,-9.39,-0.105,0.185,-4.128,0.318,4.941,
0,0,9.24,0.003,-4.704,-0.119,0.206,-3.888,0.341,4.017,
0,0,6.186,0.003,1.32,0.02,0.196,-4.337,0.329,-2.633,
0,0,1.23,0.003,6.336,-0.074,0.185,3.161,0.318,-2.229,
0,0,-4.518,0,9.162,-0.011,0.174,2.007,0.442,-2.366,
0,0,-8.172,0.003,9.966,-0.128,0.206,2.216,0.341,-3.842,
0,0,-9.918,0.003,8.934,-0.091,0.174,3.565,0.262,-3.875,
0,0,-8.946,0.003,4.2,-0.068,0.206,3.915,0.56,-4.118,
0,0,-5.226,0,-2.508,-0.096,0.196,3.555,0.448,2.823,
0,0,0.384,0,-7.122,-0.011,0.196,-3.01,0.639,2.122,
0,0,5.874,0,-9.558,0.008,0.185,-2.585,0.358,2.471,
0,0,9.192,0,-9.876,-0.06,0.217,-2.581,0.324,3.774,
0,0,9.828,0,-6.9,-0.082,0.206,-4.306,0.526,3.745,
