count, lifter pos (mm), left pedal pos (mm), left slider pos (mm), right pedal pos (mm), right slider pos (mm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
0,-0.963,0,0,0,0,-0.806,-0.003,-0.026,-0.031,0.02,
1,-0.963,0,0,0,0,-0.806,-0.003,-0.026,-0.031,0.02,
2,-0.963,0,0,0,0,-0.806,-0.003,-0.026,-0.031,0.02,
3,-0.963,0,0,0,0,-0.806,-0.003,-0.026,-0.031,0.02,
4,-0.963,0,0,0,0,-0.806,-0.003,-0.026,-0.031,0.02,
5,-0.963,0,0,0,0,-0.806,-0.003,-0.026,-0.031,0.02,
6,-0.963,0,0,0,0,-0.806,-0.003,-0.026,-0.031,0.02,
7,-0.963,0,0,0,0,-0.82,-0.003,-0.026,-0.031,0.02,
8,-0.963,0,0,0,0,-0.82,-0.013,-0.026,-0.031,0.02,
9,-0.963,0,0,0,0,-0.82,-0.013,-0.003,-0.031,0.02,
10,-0.963,0,0,0,0,-0.82,-0.013,-0.003,-0.031,0.02,
11,-0.963,0,0,0,0,-0.82,-0.013,-0.003,0.031,0.02,
12,-0.963,0,0,0,0,-0.82,-0.013,-0.003,0.031,0.003,
13,-0.963,0,0,0,0,-0.82,-0.013,-0.003,0.031,0.003,
14,-0.963,0,0,0,0,-0.82,-0.013,-0.003,0.031,0.003,
15,-0.963,0,0,0,0,-0.82,-0.013,-0.003,0.031,0.003,
16,-0.963,0,0,0,0,-0.82,-0.013,-0.003,0.031,0.003,
17,-0.963,0,0,0,0,-0.82,-0.013,-0.003,0.031,0.003,
18,-0.963,0,0,0,0,-0.82,-0.013,-0.003,0.031,0.003,
19,-0.963,0,0,0,0,-0.785,-0.013,-0.003,0.031,0.003,
20,-0.963,0,0,0,0,-0.785,-0.003,-0.003,0.031,0.003,
21,-0.963,0,0,0,0,-0.785,-0.003,0.014,0.031,0.003,
22,-0.963,0,0,0,0,-0.785,-0.003,0.014,0.031,0.003,
23,-0.963,0,0,0,0,-0.785,-0.003,0.014,-0.02,0.003,
24,-0.963,0,0,0,0,-0.785,-0.003,0.014,-0.02,0.003,
25,-0.963,0,0,0,0,-0.785,-0.003,0.014,-0.02,0.003,
26,-0.963,0,0,0,0,-0.785,-0.003,0.014,-0.02,0.003,
27,-0.963,0,0,0,0,-0.785,-0.003,0.014,-0.02,0.003,
28,-0.963,0,0,0,0,-0.785,-0.003,0.014,-0.02,0.003,
29,-0.963,0,0,0,0,-0.785,-0.003,0.014,-0.02,0.003,
30,-0.963,0,0,0,0,-0.785,-0.003,0.014,-0.02,0.003,
31,-0.963,0,0,0,0,-0.863,-0.003,0.014,-0.02,0.003,
32,-0.963,0,0,0,0,-0.863,-0.003,0.014,-0.02,0.003,
33,-0.963,0,0,0,0,-0.863,-0.003,0.019,-0.02,0.003,
34,-0.963,0,0,0,0,-0.863,-0.003,0.019,-0.02,0.003,
35,-0.963,0,0,0,0,-0.863,-0.003,0.019,-0.003,0.003,
36,-0.963,0,0,0,0,-0.863,-0.003,0.019,-0.003,0.009,
37,-0.963,0,0,0,0,-0.863,-0.003,0.019,-0.003,0.009,
38,-0.963,0,0,0,0,-0.863,-0.003,0.019,-0.003,0.009,
39,-0.963,0,0,0,0,-0.863,-0.003,0.019,-0.003,0.009,
40,-0.963,0,0,0,0,-0.863,-0.003,0.019,-0.003,0.009,
41,-0.963,0,0,0,0,-0.863,-0.003,0.019,-0.003,0.009,
42,-0.963,0,0,0,0,-0.863,-0.003,0.019,-0.003,0.009,
43,-0.963,0,0,0,0,-0.826,-0.003,0.019,-0.003,0.009,
44,-0.963,0,0,0,0,-0.826,0.03,0.019,-0.003,0.009,
45,-0.963,0,0,0,0,-0.826,0.03,0.031,-0.003,0.009,
46,-0.963,0,0,0,0,-0.826,0.03,0.031,-0.003,0.009,
47,-0.963,0,0,0,0,-0.826,0.03,0.031,0.009,0.009,
48,-0.963,0,0,0,0,-0.826,0.03,0.031,0.009,-0.008,
49,-0.963,0,0,0,0,-0.826,0.03,0.031,0.009,-0.008,
50,-0.963,0,0,0,0,-0.826,0.03,0.031,0.009,-0.008,
51,-0.963,0,0,0,0,-0.826,0.03,0.031,0.009,-0.008,
52,-0.963,0,0,0,0,-0.826,0.03,0.031,0.009,-0.008,
53,-0.963,0,0,0,0,-0.826,0.03,0.031,0.009,-0.008,
54,-0.963,0,0,0,0,-0.826,0.03,0.031,0.009,-0.008,
55,-0.963,0,0,0,0,-0.843,0.03,0.031,0.009,-0.008,
56,-0.963,0,0,0,0,-0.843,0.008,0.031,0.009,-0.008,
57,-0.963,0,0,0,0,-0.843,0.008,-0.031,0.009,-0.008,
58,-0.963,0,0,0,0,-0.843,0.008,-0.031,0.009,-0.008,
59,-0.963,0,0,0,0,-0.843,0.008,-0.031,0.025,-0.008,
60,-0.963,0,0,0,0,-0.843,0.008,-0.031,0.025,0.02,
61,-0.963,0,0,0,0,-0.843,0.008,-0.031,0.025,0.02,
62,-0.963,0,0,0,0,-0.843,0.008,-0.031,0.025,0.02,
63,-0.963,0,0,0,0,-0.843,0.008,-0.031,0.025,0.02,
64,-0.963,0,0,0,0,-0.843,0.008,-0.031,0.025,0.02,
65,-0.963,0,0,0,0,-0.843,0.008,-0.031,0.025,0.02,
66,-0.963,0,0,0,0,-0.843,0.008,-0.031,0.025,0.02,
67,-0.963,0,0,0,0,-0.863,0.008,-0.031,0.025,0.02,
68,-0.963,0,0,0,0,-0.863,-0.003,-0.031,0.025,0.02,
69,-0.963,0,0,0,0,-0.863,-0.003,-0.02,0.025,0.02,
70,-0.963,0,0,0,0,-0.863,-0.003,-0.02,0.025,0.02,
71,-0.963,0,0,0,0,-0.863,-0.003,-0.02,0.014,0.02,
72,-0.963,0,0,0,0,-0.863,-0.003,-0.02,0.014,0.025,
73,-0.963,0,0,0,0,-0.863,-0.003,-0.02,0.014,0.025,
74,-0.963,0,0,0,0,-0.863,-0.003,-0.02,0.014,0.025,
75,-0.963,0,0,0,0,-0.863,-0.003,-0.02,0.014,0.025,
76,-0.963,0,0,0,0,-0.863,-0.003,-0.02,0.014,0.025,
77,-0.963,0,0,0,0,-0.863,-0.003,-0.02,0.014,0.025,
78,-0.963,0,0,0,0,-0.863,-0.003,-0.02,0.014,0.025,
79,-0.963,0,0,0,0,-0.886,-0.003,-0.02,0.014,0.025,
80,-0.963,0,0,0,0,-0.886,-0.003,-0.02,0.014,0.025,
81,-0.963,0,0,0,0,-0.886,-0.003,-0.009,0.014,0.025,
82,-0.963,0,0,0,0,-0.886,-0.003,-0.009,0.014,0.025,
83,-0.963,0,0,0,0,-0.886,-0.003,-0.009,0.009,0.025,
84,-0.963,0,0,0,0,-0.886,-0.003,-0.009,0.009,-0.003,
85,-0.963,0,0,0,0,-0.886,-0.003,-0.009,0.009,-0.003,
86,-0.963,0,0,0,0,-0.886,-0.003,-0.009,0.009,-0.003,
87,-0.963,0,0,0,0,-0.886,-0.003,-0.009,0.009,-0.003,
88,-0.963,0,0,0,0,-0.886,-0.003,-0.009,0.009,-0.003,
89,-0.963,0,0,0,0,-0.886,-0.003,-0.009,0.009,-0.003,
90,-0.963,0,0,0,0,-0.886,-0.003,-0.009,0.009,-0.003,
91,-0.963,0,0,0,0,-0.868,-0.003,-0.009,0.009,-0.003,
92,-0.963,0,0,0,0,-0.868,-0.003,-0.009,0.009,-0.003,
93,-0.963,0,0,0,0,-0.868,-0.003,0.002,0.009,-0.003,
94,-0.963,0,0,0,0,-0.868,-0.003,0.002,0.009,-0.003,
95,-0.963,0,0,0,0,-0.868,-0.003,0.002,-0.003,-0.003,
96,-0.963,0,0,0,0,-0.868,-0.003,0.002,-0.003,0.014,
97,-0.963,0,0,0,0,-0.868,-0.003,0.002,-0.003,0.014,
98,-0.963,0,0,0,0,-0.868,-0.003,0.002,-0.003,0.014,
99,-0.963,0,0,0,0,-0.868,-0.003,0.002,-0.003,0.014,
