count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
0,0.46,0,0,0,0,0.157,0,0,0,0,
0.01,0.46,0,0,0,0,0.157,0,0,0,0,
0.02,0.44,0,0,0,0,0.153,0,0,0,0,
0.03,0.44,0,0,0,0,0.153,0,0,0,0,
0.04,0.41,0,0,0,0,0.139,0,0,0,0,
0.05,0.41,0,0,0,0,0.139,0,0,0,0,
0.06,0.39,0,0,0,0,0.17,0,0,0,0,
0.07,0.39,0,0,0,0,0.17,0,0,0,0,
0.08,0.39,0,0,0,0,0.17,0,0,0,0,
0.09,0.36,0,0,0,0,0.155,0,0,0,0,
0.09999999,0.36,0,0,0,0,0.155,0,0,0,0,
0.11,0.34,0,0,0,0,0.099,0,0,0,0,
0.12,0.34,0,0,0,0,0.099,0,0,0,0,
0.13,0.32,0,0,0,0,0.099,0,0,0,0,
0.14,0.32,0,0,0,0,0.177,0,0,0,0,
0.15,0.32,0,0,0,0,0.177,0,0,0,0,
0.16,0.3,0,0,0,0,0.123,0,0,0,0,
0.17,0.3,0,0,0,0,0.123,0,0,0,0,
0.18,0.28,0,0,0,0,0.169,0,0,0,0,
0.19,0.28,0,0,0,0,0.169,0,0,0,0,
0.2,0.26,0,0,0,0,0.169,0,0,0,0,
0.21,0.26,0,0,0,0,0.113,0,0,0,0,
0.22,0.26,0,0,0,0,0.113,0,0,0,0,
0.23,0.24,0,0,0,0,0.204,0,0,0,0,
0.24,0.24,0,0,0,0,0.204,0,0,0,0,
0.25,0.22,0,0,0,0,0.105,0,0,0,0,
0.26,0.22,0,0,0,0,0.105,0,0,0,0,
0.27,0.22,0,0,0,0,0.105,0,0,0,0,
0.28,0.2,0,0,0,0,0.181,0,0,0,0,
0.29,0.2,0,0,0,0,0.181,0,0,0,0,
0.3,0.19,0,0,0,0,0.181,0,0,0,0,
0.31,0.19,0,0,0,0,0.181,0,0,0,0,
0.32,0.17,0,0,0,0,0.181,0,0,0,0,
0.33,0.17,0,0,0,0,0.168,0,0,0,0,
0.34,0.17,0,0,0,0,0.168,0,0,0,0,
0.35,0.15,0,0,0,0,0.083,0,0,0,0,
0.36,0.15,0,0,0,0,0.083,0,0,0,0,
0.37,0.14,0,0,0,0,0.011,0,0,0,0,
0.38,0.14,0,0,0,0,0.011,0,0,0,0,
0.39,0.13,0,0,0,0,0.011,0,0,0,0,
0.4,0.13,0,0,0,0,0.049,0,0,0,0,
0.41,0.13,0,0,0,0,0.049,0,0,0,0,
0.42,0.11,0,0,0,0,-4.148,0,0,0,0,
0.43,0.11,0,0,0,0,-4.148,0,0,0,0,
0.44,0.12,0,0,0,0,-3.987,0,0,0,0,
0.45,0.12,0,0,0,0,-3.987,0,0,0,0,
0.46,0.15,0,0,0,0,-3.987,0,0,0,0,
0.47,0.15,0,0,0,0,-4.7,0,0,0,0,
0.48,0.15,0,0,0,0,-4.7,0,0,0,0,
0.49,0.21,0,0,0,0,-4.555,0,0,0,0,
0.5,0.21,0,0,0,0,-4.555,0,0,0,0,
0.51,0.29,0,0,0,0,-4.578,0,0,0,0,
0.52,0.29,0,0,0,0,-4.578,0,0,0,0,
0.53,0.4,0,0,0,0,-4.877,0,0,0,0,
0.54,0.4,0,0,0,0,-4.877,0,0,0,0,
