count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
0,0.16,0,0,0,0,-14.801,0,0,0,0,
0.01,0.16,0,0,0,0,-14.801,0,0,0,0,
0.02,0.15,0,0,0,0,-14.801,0,0,0,0,
0.03,0.15,0,0,0,0,-16.482,0,0,0,0,
0.04,0.15,0,0,0,0,-16.482,0,0,0,0,
0.05,0.25,0,0,0,0,-5.13,0,0,0,0,
0.06,0.25,0,0,0,0,-5.13,0,0,0,0,
0.07,0.39,0,0,0,0,-1.762,0,0,0,0,
0.08,0.39,0,0,0,0,-1.762,0,0,0,0,
0.09,0.53,0,0,0,0,-0.902,0,0,0,0,
0.09999999,0.53,0,0,0,0,-0.902,0,0,0,0,
0.11,0.53,0,0,0,0,-0.902,0,0,0,0,
0.12,0.67,0,0,0,0,-0.853,0,0,0,0,
0.13,0.67,0,0,0,0,-0.853,0,0,0,0,
0.14,0.82,0,0,0,0,-0.613,0,0,0,0,
0.15,0.82,0,0,0,0,-0.613,0,0,0,0,
0.16,0.97,0,0,0,0,-0.388,0,0,0,0,
0.17,0.97,0,0,0,0,-0.388,0,0,0,0,
0.18,1.12,0,0,0,0,-0.388,0,0,0,0,
0.19,1.12,0,0,0,0,-0.577,0,0,0,0,
0.2,1.12,0,0,0,0,-0.577,0,0,0,0,
0.21,1.26,0,0,0,0,-0.804,0,0,0,0,
0.22,1.26,0,0,0,0,-0.804,0,0,0,0,
0.23,1.41,0,0,0,0,-0.32,0,0,0,0,
0.24,1.41,0,0,0,0,-0.32,0,0,0,0,
0.25,1.56,0,0,0,0,-0.048,0,0,0,0,
0.26,1.56,0,0,0,0,-0.048,0,0,0,0,
0.27,1.56,0,0,0,0,-0.048,0,0,0,0,
0.28,1.7,0,0,0,0,-0.328,0,0,0,0,
0.29,1.7,0,0,0,0,-0.328,0,0,0,0,
0.3,1.85,0,0,0,0,-0.245,0,0,0,0,
0.31,1.85,0,0,0,0,-0.245,0,0,0,0,
0.32,2,0,0,0,0,-0.245,0,0,0,0,
0.33,2,0,0,0,0,-0.211,0,0,0,0,
0.34,2,0,0,0,0,-0.211,0,0,0,0,
0.35,2.15,0,0,0,0,-0.321,0,0,0,0,
0.36,2.15,0,0,0,0,-0.321,0,0,0,0,
0.37,2.29,0,0,0,0,-0.269,0,0,0,0,
0.38,2.29,0,0,0,0,-0.269,0,0,0,0,
0.39,2.44,0,0,0,0,-0.269,0,0,0,0,
0.4,2.44,0,0,0,0,-0.441,0,0,0,0,
0.41,2.44,0,0,0,0,-0.441,0,0,0,0,
0.42,2.59,0,0,0,0,-0.187,0,0,0,0,
0.43,2.59,0,0,0,0,-0.187,0,0,0,0,
0.44,2.73,0,0,0,0,-0.187,0,0,0,0,
0.45,2.73,0,0,0,0,-0.114,0,0,0,0,
0.46,2.73,0,0,0,0,-0.114,0,0,0,0,
0.47,2.91,0,0,0,0,-0.371,0,0,0,0,
0.48,2.91,0,0,0,0,-0.371,0,0,0,0,
0.49,3.05,0,0,0,0,-0.53,0,0,0,0,
0.5,3.05,0,0,0,0,-0.53,0,0,0,0,
0.51,3.05,0,0,0,0,-0.53,0,0,0,0,
0.52,3.2,0,0,0,0,-0.17,0,0,0,0,
0.53,3.2,0,0,0,0,-0.17,0,0,0,0,
0.54,3.36,0,0,0,0,-0.24,0,0,0,0,
0.55,3.36,0,0,0,0,-0.24,0,0,0,0,
0.56,3.51,0,0,0,0,-0.516,0,0,0,0,
0.57,3.51,0,0,0,0,-0.516,0,0,0,0,
0.58,3.51,0,0,0,0,-0.516,0,0,0,0,
0.59,3.68,0,0,0,0,-0.516,0,0,0,0,
0.6,3.68,0,0,0,0,-0.332,0,0,0,0,
0.61,3.68,0,0,0,0,-0.332,0,0,0,0,
0.62,3.9,0,0,0,0,-0.257,0,0,0,0,
0.63,3.9,0,0,0,0,-0.257,0,0,0,0,
0.64,3.9,0,0,0,0,-0.257,0,0,0,0,
0.65,4.04,0,0,0,0,-0.498,0,0,0,0,
0.66,4.04,0,0,0,0,-0.498,0,0,0,0,
0.67,4.19,0,0,0,0,-0.208,0,0,0,0,
0.68,4.19,0,0,0,0,-0.208,0,0,0,0,
0.69,4.33,0,0,0,0,-0.504,0,0,0,0,
0.7,4.33,0,0,0,0,-0.504,0,0,0,0,
0.71,4.33,0,0,0,0,-0.504,0,0,0,0,
0.72,4.48,0,0,0,0,-0.46,0,0,0,0,
0.73,4.48,0,0,0,0,-0.46,0,0,0,0,
0.74,4.63,0,0,0,0,-0.312,0,0,0,0,
0.75,4.63,0,0,0,0,-0.312,0,0,0,0,
0.76,4.78,0,0,0,0,-0.312,0,0,0,0,
0.77,4.78,0,0,0,0,-0.065,0,0,0,0,
0.78,4.78,0,0,0,0,-0.065,0,0,0,0,
0.79,4.94,0,0,0,0,-0.386,0,0,0,0,
0.8,4.94,0,0,0,0,-0.386,0,0,0,0,
0.81,5.08,0,0,0,0,-0.236,0,0,0,0,
0.82,5.08,0,0,0,0,-0.236,0,0,0,0,
0.83,5.23,0,0,0,0,-0.183,0,0,0,0,
0.84,5.23,0,0,0,0,-0.183,0,0,0,0,
0.85,5.23,0,0,0,0,-0.183,0,0,0,0,
0.86,5.38,0,0,0,0,-0.737,0,0,0,0,
0.87,5.38,0,0,0,0,-0.737,0,0,0,0,
0.88,5.53,0,0,0,0,-0.399,0,0,0,0,
0.89,5.53,0,0,0,0,-0.399,0,0,0,0,
0.9,5.67,0,0,0,0,-0.541,0,0,0,0,
0.91,5.67,0,0,0,0,-0.541,0,0,0,0,
0.92,5.81,0,0,0,0,-0.541,0,0,0,0,
0.93,5.81,0,0,0,0,15.079,0,0,0,0,
0.94,5.81,0,0,0,0,15.079,0,0,0,0,
0.95,5.89,0,0,0,0,10.219,0,0,0,0,
0.96,5.89,0,0,0,0,10.219,0,0,0,0,
0.97,5.9,0,0,0,0,5.97,0,0,0,0,
0.98,5.9,0,0,0,0,5.97,0,0,0,0,
0.9899999,5.87,0,0,0,0,5.97,0,0,0,0,
1,5.87,0,0,0,0,2.941,0,0,0,0,
1.01,5.87,0,0,0,0,2.941,0,0,0,0,
1.02,5.82,0,0,0,0,1.901,0,0,0,0,
1.03,5.82,0,0,0,0,1.901,0,0,0,0,
1.04,5.77,0,0,0,0,1.621,0,0,0,0,
1.05,5.77,0,0,0,0,1.621,0,0,0,0,
1.06,5.77,0,0,0,0,1.621,0,0,0,0,
1.07,5.7,0,0,0,0,1.262,0,0,0,0,
1.08,5.7,0,0,0,0,1.262,0,0,0,0,
1.09,5.63,0,0,0,0,1.148,0,0,0,0,
1.1,5.63,0,0,0,0,1.148,0,0,0,0,
1.11,5.54,0,0,0,0,1.148,0,0,0,0,
1.12,5.54,0,0,0,0,1.365,0,0,0,0,
1.13,5.54,0,0,0,0,1.365,0,0,0,0,
1.14,5.46,0,0,0,0,1.329,0,0,0,0,
1.15,5.46,0,0,0,0,1.329,0,0,0,0,
1.16,5.37,0,0,0,0,1.241,0,0,0,0,
1.17,5.37,0,0,0,0,1.241,0,0,0,0,
1.18,5.28,0,0,0,0,1.241,0,0,0,0,
1.19,5.28,0,0,0,0,1.151,0,0,0,0,
1.2,5.28,0,0,0,0,1.151,0,0,0,0,
1.21,5.18,0,0,0,0,1.14,0,0,0,0,
1.22,5.18,0,0,0,0,1.14,0,0,0,0,
1.23,5.08,0,0,0,0,0.309,0,0,0,0,
1.24,5.08,0,0,0,0,0.309,0,0,0,0,
1.25,4.98,0,0,0,0,0.309,0,0,0,0,
1.26,4.98,0,0,0,0,0.388,0,0,0,0,
1.27,4.98,0,0,0,0,0.388,0,0,0,0,
1.28,4.87,0,0,0,0,0.268,0,0,0,0,
1.29,4.87,0,0,0,0,0.268,0,0,0,0,
1.3,4.77,0,0,0,0,0.349,0,0,0,0,
1.31,4.77,0,0,0,0,0.349,0,0,0,0,
1.32,4.66,0,0,0,0,0.325,0,0,0,0,
1.33,4.66,0,0,0,0,0.325,0,0,0,0,
1.34,4.66,0,0,0,0,0.325,0,0,0,0,
1.35,4.56,0,0,0,0,0.352,0,0,0,0,
1.36,4.56,0,0,0,0,0.352,0,0,0,0,
1.37,4.46,0,0,0,0,0.277,0,0,0,0,
1.38,4.46,0,0,0,0,0.277,0,0,0,0,
1.39,4.35,0,0,0,0,0.277,0,0,0,0,
1.4,4.35,0,0,0,0,0.39,0,0,0,0,
1.41,4.35,0,0,0,0,0.39,0,0,0,0,
1.42,4.24,0,0,0,0,0.327,0,0,0,0,
1.43,4.24,0,0,0,0,0.327,0,0,0,0,
1.44,4.14,0,0,0,0,0.201,0,0,0,0,
1.45,4.14,0,0,0,0,0.201,0,0,0,0,
1.46,4.04,0,0,0,0,0.175,0,0,0,0,
1.47,4.04,0,0,0,0,0.175,0,0,0,0,
1.48,4.04,0,0,0,0,0.175,0,0,0,0,
1.49,3.93,0,0,0,0,0.28,0,0,0,0,
1.5,3.93,0,0,0,0,0.28,0,0,0,0,
1.51,3.83,0,0,0,0,0.221,0,0,0,0,
1.52,3.83,0,0,0,0,0.221,0,0,0,0,
1.53,3.73,0,0,0,0,0.365,0,0,0,0,
1.54,3.73,0,0,0,0,0.365,0,0,0,0,
1.55,3.63,0,0,0,0,0.365,0,0,0,0,
1.56,3.63,0,0,0,0,0.216,0,0,0,0,
1.57,3.63,0,0,0,0,0.216,0,0,0,0,
1.58,3.52,0,0,0,0,0.251,0,0,0,0,
1.59,3.52,0,0,0,0,0.251,0,0,0,0,
1.6,3.42,0,0,0,0,0.216,0,0,0,0,
1.61,3.42,0,0,0,0,0.216,0,0,0,0,
1.62,3.32,0,0,0,0,0.216,0,0,0,0,
1.63,3.32,0,0,0,0,0.287,0,0,0,0,
1.64,3.32,0,0,0,0,0.287,0,0,0,0,
1.65,3.22,0,0,0,0,0.256,0,0,0,0,
1.66,3.22,0,0,0,0,0.256,0,0,0,0,
1.67,3.12,0,0,0,0,0.301,0,0,0,0,
1.68,3.12,0,0,0,0,0.301,0,0,0,0,
1.69,3.01,0,0,0,0,0.286,0,0,0,0,
1.7,3.01,0,0,0,0,0.286,0,0,0,0,
1.71,3.01,0,0,0,0,0.286,0,0,0,0,
1.72,2.91,0,0,0,0,0.3,0,0,0,0,
1.73,2.91,0,0,0,0,0.3,0,0,0,0,
1.74,2.81,0,0,0,0,0.3,0,0,0,0,
1.75,2.81,0,0,0,0,0.255,0,0,0,0,
1.76,2.81,0,0,0,0,0.255,0,0,0,0,
1.77,2.69,0,0,0,0,0.34,0,0,0,0,
1.78,2.69,0,0,0,0,0.34,0,0,0,0,
1.79,2.58,0,0,0,0,0.307,0,0,0,0,
1.8,2.58,0,0,0,0,0.307,0,0,0,0,
1.81,2.48,0,0,0,0,0.36,0,0,0,0,
1.82,2.48,0,0,0,0,0.36,0,0,0,0,
1.83,2.48,0,0,0,0,0.36,0,0,0,0,
1.84,2.38,0,0,0,0,0.39,0,0,0,0,
1.85,2.38,0,0,0,0,0.39,0,0,0,0,
1.86,2.28,0,0,0,0,0.328,0,0,0,0,
1.87,2.28,0,0,0,0,0.328,0,0,0,0,
1.88,2.17,0,0,0,0,0.317,0,0,0,0,
1.89,2.17,0,0,0,0,0.317,0,0,0,0,
1.9,2.17,0,0,0,0,0.317,0,0,0,0,
1.91,2.06,0,0,0,0,0.208,0,0,0,0,
1.92,2.06,0,0,0,0,0.208,0,0,0,0,
1.93,1.96,0,0,0,0,0.264,0,0,0,0,
1.94,1.96,0,0,0,0,0.264,0,0,0,0,
1.95,1.86,0,0,0,0,0.264,0,0,0,0,
1.96,1.86,0,0,0,0,0.369,0,0,0,0,
1.97,1.86,0,0,0,0,0.369,0,0,0,0,
1.98,1.75,0,0,0,0,0.213,0,0,0,0,
1.99,1.75,0,0,0,0,0.213,0,0,0,0,
2,1.65,0,0,0,0,0.275,0,0,0,0,
2.01,1.65,0,0,0,0,0.275,0,0,0,0,
2.02,1.54,0,0,0,0,0.275,0,0,0,0,
2.03,1.54,0,0,0,0,0.318,0,0,0,0,
2.04,1.54,0,0,0,0,0.318,0,0,0,0,
2.05,1.44,0,0,0,0,0.207,0,0,0,0,
2.06,1.44,0,0,0,0,0.207,0,0,0,0,
2.07,1.33,0,0,0,0,0.282,0,0,0,0,
2.08,1.33,0,0,0,0,0.282,0,0,0,0,
2.09,1.23,0,0,0,0,0.282,0,0,0,0,
2.1,1.23,0,0,0,0,0.236,0,0,0,0,
2.11,1.23,0,0,0,0,0.236,0,0,0,0,
2.12,1.13,0,0,0,0,0.332,0,0,0,0,
2.13,1.13,0,0,0,0,0.332,0,0,0,0,
2.14,1.03,0,0,0,0,0.229,0,0,0,0,
2.15,1.03,0,0,0,0,0.229,0,0,0,0,
2.16,0.93,0,0,0,0,-0.587,0,0,0,0,
2.17,0.93,0,0,0,0,-0.587,0,0,0,0,
2.18,0.83,0,0,0,0,-0.587,0,0,0,0,
2.19,0.83,0,0,0,0,-0.63,0,0,0,0,
2.2,0.83,0,0,0,0,-0.63,0,0,0,0,
2.21,0.74,0,0,0,0,-0.594,0,0,0,0,
2.22,0.74,0,0,0,0,-0.594,0,0,0,0,
2.23,0.66,0,0,0,0,-0.725,0,0,0,0,
2.24,0.66,0,0,0,0,-0.725,0,0,0,0,
2.25,0.58,0,0,0,0,-0.434,0,0,0,0,
2.26,0.58,0,0,0,0,-0.434,0,0,0,0,
2.27,0.58,0,0,0,0,-0.434,0,0,0,0,
2.28,0.5,0,0,0,0,-0.571,0,0,0,0,
2.29,0.5,0,0,0,0,-0.571,0,0,0,0,
2.3,0.43,0,0,0,0,-0.732,0,0,0,0,
2.31,0.43,0,0,0,0,-0.732,0,0,0,0,
2.32,0.36,0,0,0,0,-0.732,0,0,0,0,
2.33,0.36,0,0,0,0,-0.578,0,0,0,0,
