count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
0,0.36,0,0,0,0,-0.283,0,0,0,0,
0.01,0.32,0,0,0,0,-0.313,0,0,0,0,
0.02,0.32,0,0,0,0,-0.313,0,0,0,0,
0.03,0.27,0,0,0,0,-0.313,0,0,0,0,
0.04,0.27,0,0,0,0,-0.326,0,0,0,0,
0.05,0.27,0,0,0,0,-0.326,0,0,0,0,
0.06,0.22,0,0,0,0,-0.393,0,0,0,0,
0.07,0.22,0,0,0,0,-0.393,0,0,0,0,
0.08,0.19,0,0,0,0,-0.328,0,0,0,0,
0.09,0.19,0,0,0,0,-0.328,0,0,0,0,
0.09999999,0.15,0,0,0,0,-11.374,0,0,0,0,
0.11,0.15,0,0,0,0,-11.374,0,0,0,0,
0.12,0.17,0,0,0,0,-11.374,0,0,0,0,
0.13,0.17,0,0,0,0,-11.25,0,0,0,0,
0.14,0.17,0,0,0,0,-11.25,0,0,0,0,
0.15,0.24,0,0,0,0,-7.378,0,0,0,0,
0.16,0.24,0,0,0,0,-7.378,0,0,0,0,
0.17,0.38,0,0,0,0,-2.231,0,0,0,0,
0.18,0.38,0,0,0,0,-2.231,0,0,0,0,
0.19,0.52,0,0,0,0,-2.231,0,0,0,0,
0.2,0.52,0,0,0,0,-0.77,0,0,0,0,
0.21,0.52,0,0,0,0,-0.77,0,0,0,0,
0.22,0.67,0,0,0,0,-0.592,0,0,0,0,
0.23,0.67,0,0,0,0,-0.592,0,0,0,0,
0.24,0.81,0,0,0,0,-0.737,0,0,0,0,
0.25,0.81,0,0,0,0,-0.737,0,0,0,0,
0.26,0.96,0,0,0,0,-0.737,0,0,0,0,
0.27,0.96,0,0,0,0,-0.655,0,0,0,0,
0.28,0.96,0,0,0,0,-0.655,0,0,0,0,
0.29,1.11,0,0,0,0,-0.61,0,0,0,0,
0.3,1.11,0,0,0,0,-0.61,0,0,0,0,
0.31,1.26,0,0,0,0,-0.297,0,0,0,0,
0.32,1.26,0,0,0,0,-0.297,0,0,0,0,
0.33,1.41,0,0,0,0,-0.297,0,0,0,0,
0.34,1.41,0,0,0,0,-0.096,0,0,0,0,
0.35,1.41,0,0,0,0,-0.096,0,0,0,0,
0.36,1.55,0,0,0,0,-0.285,0,0,0,0,
0.37,1.55,0,0,0,0,-0.285,0,0,0,0,
0.38,1.69,0,0,0,0,-0.263,0,0,0,0,
0.39,1.69,0,0,0,0,-0.263,0,0,0,0,
0.4,1.84,0,0,0,0,-0.506,0,0,0,0,
0.41,1.84,0,0,0,0,-0.506,0,0,0,0,
0.42,1.84,0,0,0,0,-0.506,0,0,0,0,
0.43,1.99,0,0,0,0,0.013,0,0,0,0,
0.44,1.99,0,0,0,0,0.013,0,0,0,0,
0.45,2.14,0,0,0,0,-0.323,0,0,0,0,
0.46,2.14,0,0,0,0,-0.323,0,0,0,0,
0.47,2.29,0,0,0,0,-0.323,0,0,0,0,
0.48,2.29,0,0,0,0,-0.236,0,0,0,0,
0.49,2.29,0,0,0,0,-0.236,0,0,0,0,
0.5,2.43,0,0,0,0,-0.852,0,0,0,0,
0.51,2.43,0,0,0,0,-0.852,0,0,0,0,
0.52,2.58,0,0,0,0,-0.347,0,0,0,0,
0.53,2.58,0,0,0,0,-0.347,0,0,0,0,
0.54,2.73,0,0,0,0,-0.347,0,0,0,0,
