time (s), lifter (1cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,1.318,-0.008,0.004,0.019,-0.001,0.048,-0.019,0.07,-0.19,
0.01,0,0,0,0,0,0,0,0,0,1.356,0.013,-0.032,-0.006,-0.001,0.048,-0.019,0.07,-0.19,
0.02,0,0,0,0,0,0,0,0,0,1.356,0.013,-0.032,-0.006,-0.01,-0.032,0.018,0.07,-0.19,
0.03,0,0,0,0,0,0,0,0,0,1.356,0.013,-0.032,-0.006,-0.01,-0.032,0.018,0.003,-0.033,
0.04,0,0,0,0,0,0,0,0,0,1.356,0.013,-0.032,-0.006,-0.01,-0.032,0.018,0.003,-0.033,
0.05,0,0,0,0,0,0,0,0,0,1.356,0.013,-0.032,-0.006,-0.01,-0.032,0.018,0.003,-0.033,
0.06,0,0,0,0,0,0,0,0,0,1.356,0.013,-0.032,-0.006,-0.01,-0.032,0.018,0.003,-0.033,
0.07,0,0,0,0,0,0,0,0,0,1.356,0.013,-0.032,-0.006,-0.01,-0.032,0.018,0.003,-0.033,
0.08,0,0,0,0,0,0,0,0,0,1.334,0.013,-0.032,-0.006,-0.01,-0.032,0.018,0.003,-0.033,
0.09,0,0,0,0,0,0,0,0,0,1.334,-0.019,0.031,0.019,-0.013,-0.032,0.018,0.003,-0.033,
0.09999999,0,0,0,0,0,0,0,0,0,1.334,-0.019,0.031,0.019,-0.013,-0.01,0.085,-0.019,-0.033,
0.11,0,0,0,0,0,0,0,0,0,1.334,-0.019,0.031,0.019,-0.013,-0.01,0.085,-0.019,-0.039,
0.12,0,0,0,0,0,0,0,0,0,1.334,-0.019,0.031,0.019,-0.013,-0.01,0.085,-0.019,-0.039,
0.13,0,0,0,0,0,0,0,0,0,1.334,-0.019,0.031,0.019,-0.013,-0.01,0.085,-0.019,-0.039,
0.14,0,0,0,0,0,0,0,0,0,1.334,-0.019,0.031,0.019,-0.013,-0.01,0.085,-0.019,-0.039,
0.15,0,0,0,0,0,0,0,0,0,1.334,-0.019,0.031,0.019,-0.013,-0.01,0.085,-0.019,-0.039,
0.16,0,0,0,0,0,0,0,0,0,1.302,0.013,0.031,0.019,-0.013,-0.01,0.085,-0.019,-0.039,
0.17,0,0,0,0,0,0,0,0,0,1.302,0.013,0.02,-0.006,0.008,0.006,0.085,-0.019,-0.039,
0.18,0,0,0,0,0,0,0,0,0,1.302,0.013,0.02,-0.006,0.008,0.006,0.041,0.048,0.04,
0.19,0,0,0,0,0,0,0,0,0,1.302,0.013,0.02,-0.006,0.008,0.006,0.041,0.048,0.04,
0.2,0,0,0,0,0,0,0,0,0,1.302,0.013,0.02,-0.006,0.008,0.006,0.041,0.048,0.04,
0.21,0,0,0,0,0,0,0,0,0,1.302,0.013,0.02,-0.006,0.008,0.006,0.041,0.048,0.04,
0.22,0,0,0,0,0,0,0,0,0,1.302,0.013,0.02,-0.006,0.008,0.006,0.041,0.048,0.04,
0.23,0,0,0,0,0,0,0,0,0,1.302,0.013,0.02,-0.006,0.008,0.006,0.041,0.048,0.04,
0.24,0,0,0,0,0,0,0,0,0,1.296,-0.008,0.3,0.002,0.008,0.006,0.041,0.048,0.04,
0.25,0,0,0,0,0,0,0,0,0,1.296,-0.008,0.3,0.002,-0.021,-0.029,0.018,-0.041,0.04,
0.26,0,0,0,0,0,0,0,0,0,1.296,-0.008,0.3,0.002,-0.021,-0.029,0.018,-0.041,0.012,
0.27,0,0,0,0,0,0,0,0,0,1.296,-0.008,0.3,0.002,-0.021,-0.029,0.018,-0.041,0.012,
0.28,0,0,0,0,0,0,0,0,0,1.296,-0.008,0.3,0.002,-0.021,-0.029,0.018,-0.041,0.012,
0.29,0,0,0,0,0,0,0,0,0,1.296,-0.008,0.3,0.002,-0.021,-0.029,0.018,-0.041,0.012,
0.3,0,0,0,0,0,0,0,0,0,1.296,-0.008,0.3,0.002,-0.021,-0.029,0.018,-0.041,0.012,
0.31,0,0,0,0,0,0,0,0,0,1.34,-0.019,0.059,0.002,-0.021,-0.029,0.018,-0.041,0.012,
0.32,0,0,0,0,0,0,0,0,0,1.34,-0.019,0.059,0,0.026,-0.025,0.033,-0.041,0.012,
0.33,0,0,0,0,0,0,0,0,0,1.34,-0.019,0.059,0,0.026,-0.025,0.033,0.017,-0.01,
0.34,0,0,0,0,0,0,0,0,0,1.34,-0.019,0.059,0,0.026,-0.025,0.033,0.017,-0.01,
0.35,0,0,0,0,0,0,0,0,0,1.34,-0.019,0.059,0,0.026,-0.025,0.033,0.017,-0.01,
0.36,0,0,0,0,0,0,0,0,0,1.34,-0.019,0.059,0,0.026,-0.025,0.033,0.017,-0.01,
0.37,0,0,0,0,0,0,0,0,0,1.34,-0.019,0.059,0,0.026,-0.025,0.033,0.017,-0.01,
0.38,0,0,0,0,0,0,0,0,0,1.34,-0.008,0.001,0,0.026,-0.025,0.033,0.017,-0.01,
0.39,0,0,0,0,0,0,0,0,0,1.34,-0.008,0.001,0.016,-0.032,0.006,0.026,0.017,-0.01,
0.4,0,0,0,0,0,0,0,0,0,1.34,-0.008,0.001,0.016,-0.032,0.006,0.026,0.01,0.012,
0.41,0,0,0,0,0,0,0,0,0,1.34,-0.008,0.001,0.016,-0.032,0.006,0.026,0.01,0.012,
0.42,0,0,0,0,0,0,0,0,0,1.34,-0.008,0.001,0.016,-0.032,0.006,0.026,0.01,0.012,
0.43,0,0,0,0,0,0,0,0,0,1.34,-0.008,0.001,0.016,-0.032,0.006,0.026,0.01,0.012,
0.44,0,0,0,0,0,0,0,0,0,1.34,-0.008,0.001,0.016,-0.032,0.006,0.026,0.01,0.012,
0.45,0,0,0,0,0,0,0,0,0,1.323,-0.008,0.07,0.027,-0.032,0.006,0.026,0.01,0.012,
0.46,0,0,0,0,0,0,0,0,0,1.323,-0.008,0.07,0.027,-0.003,0.073,0.063,0.01,0.012,
0.47,0,0,0,0,0,0,0,0,0,1.323,-0.008,0.07,0.027,-0.003,0.073,0.063,0.01,0.026,
0.48,0,0,0,0,0,0,0,0,0,1.323,-0.008,0.07,0.027,-0.003,0.073,0.063,0.01,0.026,
0.49,0,0,0,0,0,0,0,0,0,1.323,-0.008,0.07,0.027,-0.003,0.073,0.063,0.01,0.026,
0.5,0,0,0,0,0,0,0,0,0,1.323,-0.008,0.07,0.027,-0.003,0.073,0.063,0.01,0.026,
0.51,0,0,0,0,0,0,0,0,0,1.312,0.003,0.07,0.027,-0.003,0.073,0.063,0.01,0.026,
0.52,0,0,0,0,0,0,0,0,0,1.312,0.003,0.329,-0.014,-0.01,0.073,0.063,0.01,0.026,
0.53,0,0,0,0,0,0,0,0,0,1.312,0.003,0.329,-0.014,-0.01,0.006,0.055,-0.056,-0.044,
0.54,0,0,0,0,0,0,0,0,0,1.312,0.003,0.329,-0.014,-0.01,0.006,0.055,-0.056,-0.044,
0.55,0,0,0,0,0,0,0,0,0,1.312,0.003,0.329,-0.014,-0.01,0.006,0.055,-0.056,-0.044,
0.56,0,0,0,0,0,0,0,0,0,1.312,0.003,0.329,-0.014,-0.01,0.006,0.055,-0.056,-0.044,
0.57,0,0,0,0,0,0,0,0,0,1.312,0.003,0.329,-0.014,-0.01,0.006,0.055,-0.056,-0.044,
0.58,0,0,0,0,0,0,0,0,0,1.373,0.003,0.329,-0.014,-0.01,0.006,0.055,-0.056,-0.044,
0.59,0,0,0,0,0,0,0,0,0,1.373,0.003,0.377,-0.011,-0.022,0.013,0.055,-0.056,-0.044,
