time (s), lifter (1cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,-0.001,-0.006,0.008,0.005,0.014,-0.045,0.023,-0.277,0.004,
0.01,0,0,0,0,0,0,0,0,0,-0.001,-0.006,0.008,0.005,0.014,-0.045,0.023,-0.277,0.004,
0.02,0,0,0,0,0,0,0,0,0,-0.001,-0.006,0.008,0.005,0.014,-0.045,0.023,-0.277,0.004,
0.03,0,0,0,0,0,0,0,0,0,-0.001,-0.006,0.008,0.005,0.014,-0.045,0.023,-0.277,0.004,
0.04,0,0,0,0,0,0,0,0,0,-0.001,-0.006,0.008,0.005,0.014,-0.045,0.023,-0.277,0.004,
0.05,0,0,0,0,0,0,0,0,0,-0.001,-0.006,0.008,0.005,0.014,-0.045,0.023,-0.277,0.004,
0.06,0,0,0,0,0,0,0,0,0,-0.001,-0.006,0.008,0.005,0.014,-0.045,0.023,-0.277,0.004,
0.07,0,0,0,0,0,0,0,0,0,-0.001,-0.006,0.008,0.005,0.014,-0.045,0.023,-0.277,0.004,
0.08,0,0,0,0,0,0,0,0,0,-0.001,-0.006,0.008,0.005,0.014,-0.045,0.023,-0.277,0.004,
0.09,0,0,0,0,0,0,0,0,0,-0.001,-0.006,0.008,0.005,0.014,-0.045,0.023,-0.277,0.004,
0.09999999,0,0,0,0,0,0,0,0,0,0,7.774,-1.865,0.005,0.014,-0.045,0.023,-0.277,0.004,
0.11,0,0,0,0,0,0,0,0,0,0,7.774,-1.865,0.026,0.024,-0.204,0.007,-0.277,0.004,
0.12,0,0,0,0,0,0,0,0,0,0,7.774,-1.865,0.026,0.024,-0.204,0.007,-0.243,-0.052,
0.13,0,0,0,0,0,0,0,0,0,0,7.774,-1.865,0.026,0.024,-0.204,0.007,-0.243,-0.052,
0.14,0,0,0,0,0,0,0,0,0,0,7.774,-1.865,0.026,0.024,-0.204,0.007,-0.243,-0.052,
0.15,0,0.07,0.02,0,0,0,0,0,0,0,7.774,-1.865,0.026,0.024,-0.204,0.007,-0.243,-0.052,
0.16,0,0.07,0.02,0,0,0,0,0,0,0,7.774,-1.865,0.026,0.024,-0.204,0.007,-0.243,-0.052,
0.17,0,0.07,0.02,0,0,0,0,0,0,0,7.774,-1.865,0.026,0.024,-0.204,0.007,-0.243,-0.052,
0.18,0,0.07,0.02,0,0,0,0,0,0,-0.02,2.175,-1.738,-0.043,0.024,-0.204,0.007,-0.243,-0.052,
0.19,0,0.07,0.02,0,0,0,0,0,0,-0.02,2.175,-1.738,-0.043,-0.03,-0.203,0.007,-0.243,-0.052,
0.2,0,0.07,0.02,0,0,0,0,0,0,-0.02,2.175,-1.738,-0.043,-0.03,-0.203,0.007,-0.231,-0.026,
