time (s), lifter (10cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,-0.007,0.004,-0.013,0.008,-0.014,-0.249,-0.012,-0.111,-0.063,
0.01,0,0,0,0,0,0,0,0,0,-0.007,0.004,-0.013,0.008,-0.014,-0.249,-0.012,-0.111,-0.063,
0.02,0,0,0,0,0,0,0,0,0,-0.007,0.004,-0.013,0.008,-0.014,-0.249,-0.012,-0.111,-0.063,
0.03,0,0,0,0,0,0.02,0.01,0.01,0,-0.007,0.004,-0.013,0.008,-0.014,-0.249,-0.012,-0.111,-0.063,
0.04,0,0,0,0,0,0.02,0.01,0.01,0,0.031,0.004,-0.018,-0.008,-0.014,-0.249,-0.012,-0.111,-0.063,
0.05,0,0,0,0,0,0.02,0.01,0.01,0,0.031,0.004,-0.018,-0.008,0.024,-0.947,-0.587,-0.904,-0.063,
0.06,0,0,0,0,0,0.02,0.01,0.01,0,0.031,0.004,-0.018,-0.008,0.024,-0.947,-0.587,-0.904,-0.444,
0.07,0,0,0,0,0,0.02,0.01,0.01,0,0.031,0.004,-0.018,-0.008,0.024,-0.947,-0.587,-0.904,-0.444,
0.08,0,0,0,0,0,0.02,0.01,0.01,0,0.031,0.004,-0.018,-0.008,0.024,-0.947,-0.587,-0.904,-0.444,
0.09,0,0,0,0,0,0.02,0.01,0.01,0,0.031,0.004,-0.018,-0.008,0.024,-0.947,-0.587,-0.904,-0.444,
0.09999999,0,0,0,0,0,0.08,0.05,0.06,0,0.031,0.004,-0.018,-0.008,0.024,-0.947,-0.587,-0.904,-0.444,
0.11,0,0,0,0,0,0.08,0.05,0.06,0.01,-0.073,0.004,-0.016,-0.008,0.024,-0.947,-0.587,-0.904,-0.444,
0.12,0,0,0,0,0,0.08,0.05,0.06,0.01,-0.073,0.004,-0.016,-0.041,-0.001,-1.08,-0.318,-0.904,-0.444,
0.13,0,0,0,0,0,0.08,0.05,0.06,0.01,-0.073,0.004,-0.016,-0.041,-0.001,-1.08,-0.318,-0.838,-0.487,
0.14,0,0,0,0,0,0.08,0.05,0.06,0.01,-0.073,0.004,-0.016,-0.041,-0.001,-1.08,-0.318,-0.838,-0.487,
0.15,0,0,0,0,0,0.08,0.05,0.06,0.01,-0.073,0.004,-0.016,-0.041,-0.001,-1.08,-0.318,-0.838,-0.487,
0.16,0,0,0,0,0,0.08,0.05,0.06,0.01,-0.073,0.004,-0.016,-0.041,-0.001,-1.08,-0.318,-0.838,-0.487,
0.17,0,0,0,0,0,0.19,0.09,0.15,0.04,-0.073,0.004,-0.016,-0.041,-0.001,-1.08,-0.318,-0.838,-0.487,
0.18,0,0,0,0,0,0.19,0.09,0.15,0.04,0.003,0.004,0.002,0.019,-0.001,-1.08,-0.318,-0.838,-0.487,
0.19,0,0,0,0,0,0.19,0.09,0.15,0.04,0.003,0.004,0.002,0.019,0.007,-0.838,-0.256,-0.838,-0.487,
0.2,0,0,0,0,0,0.19,0.09,0.15,0.04,0.003,0.004,0.002,0.019,0.007,-0.838,-0.256,-0.987,-0.281,
0.21,0,0,0,0,0,0.19,0.09,0.15,0.04,0.003,0.004,0.002,0.019,0.007,-0.838,-0.256,-0.987,-0.281,
0.22,0,0,0,0,0,0.19,0.09,0.15,0.04,0.003,0.004,0.002,0.019,0.007,-0.838,-0.256,-0.987,-0.281,
0.23,0,0,0,0,0,0.19,0.09,0.15,0.04,0.003,0.004,0.002,0.019,0.007,-0.838,-0.256,-0.987,-0.281,
0.24,0,0,0,0,0,0.34,0.13,0.28,0.04,0.003,0.004,0.002,0.019,0.007,-0.838,-0.256,-0.987,-0.281,
0.25,0,0,0,0,0,0.34,0.13,0.28,0.09,0.047,0.004,0.009,0.019,0.007,-0.838,-0.256,-0.987,-0.281,
0.26,0,0,0,0,0,0.34,0.13,0.28,0.09,0.047,0.004,0.009,-0.002,-0.005,-0.787,-0.222,-1.038,-0.281,
0.27,0,0,0,0,0,0.34,0.13,0.28,0.09,0.047,0.004,0.009,-0.002,-0.005,-0.787,-0.222,-1.038,-0.203,
