count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
113,10,0,0,0,0,0.811,0,0,0,0,
114,10,0,0,0,0,0.811,0,0,0,0,
115,9.99,0,0,0,0,0.847,0,0,0,0,
116,9.99,0,0,0,0,0.847,0,0,0,0,
117,9.98,0,0,0,0,0.845,0,0,0,0,
118,9.98,0,0,0,0,0.845,0,0,0,0,
119,9.96,0,0,0,0,0.845,0,0,0,0,
120,9.96,0,0,0,0,0.835,0,0,0,0,
121,9.96,0,0,0,0,0.835,0,0,0,0,
122,9.94,0,0,0,0,0.829,0,0,0,0,
123,9.94,0,0,0,0,0.829,0,0,0,0,
124,9.92,0,0,0,0,0.83,0,0,0,0,
125,9.92,0,0,0,0,0.83,0,0,0,0,
126,9.89,0,0,0,0,0.861,0,0,0,0,
127,9.89,0,0,0,0,0.861,0,0,0,0,
128,9.86,0,0,0,0,0.861,0,0,0,0,
129,9.86,0,0,0,0,0.868,0,0,0,0,
130,9.86,0,0,0,0,0.868,0,0,0,0,
131,9.82,0,0,0,0,0.82,0,0,0,0,
132,9.82,0,0,0,0,0.82,0,0,0,0,
133,9.78,0,0,0,0,0.82,0,0,0,0,
134,9.78,0,0,0,0,0.889,0,0,0,0,
135,9.78,0,0,0,0,0.889,0,0,0,0,
136,9.74,0,0,0,0,0.856,0,0,0,0,
137,9.74,0,0,0,0,0.856,0,0,0,0,
138,9.69,0,0,0,0,0.85,0,0,0,0,
139,9.69,0,0,0,0,0.85,0,0,0,0,
140,9.64,0,0,0,0,0.908,0,0,0,0,
141,9.64,0,0,0,0,0.908,0,0,0,0,
142,9.64,0,0,0,0,0.908,0,0,0,0,
143,9.59,0,0,0,0,0.841,0,0,0,0,
144,9.59,0,0,0,0,0.841,0,0,0,0,
145,9.53,0,0,0,0,0.908,0,0,0,0,
146,9.53,0,0,0,0,0.908,0,0,0,0,
147,9.47,0,0,0,0,0.869,0,0,0,0,
148,9.47,0,0,0,0,0.869,0,0,0,0,
149,9.47,0,0,0,0,0.869,0,0,0,0,
150,9.41,0,0,0,0,0.954,0,0,0,0,
151,9.41,0,0,0,0,0.954,0,0,0,0,
152,9.34,0,0,0,0,0.933,0,0,0,0,
153,9.34,0,0,0,0,0.933,0,0,0,0,
154,9.26,0,0,0,0,0.955,0,0,0,0,
155,9.26,0,0,0,0,0.955,0,0,0,0,
156,9.26,0,0,0,0,0.955,0,0,0,0,
157,9.19,0,0,0,0,0.904,0,0,0,0,
158,9.19,0,0,0,0,0.904,0,0,0,0,
159,9.1,0,0,0,0,0.898,0,0,0,0,
160,9.1,0,0,0,0,0.898,0,0,0,0,
161,9.02,0,0,0,0,0.908,0,0,0,0,
162,9.02,0,0,0,0,0.908,0,0,0,0,
163,8.93,0,0,0,0,0.908,0,0,0,0,
164,8.93,0,0,0,0,0.886,0,0,0,0,
165,8.93,0,0,0,0,0.886,0,0,0,0,
166,8.84,0,0,0,0,0.928,0,0,0,0,
167,8.84,0,0,0,0,0.928,0,0,0,0,
168,8.74,0,0,0,0,1.004,0,0,0,0,
169,8.74,0,0,0,0,1.004,0,0,0,0,
170,8.64,0,0,0,0,1.004,0,0,0,0,
171,8.64,0,0,0,0,1.014,0,0,0,0,
172,8.64,0,0,0,0,1.014,0,0,0,0,
173,8.54,0,0,0,0,1.04,0,0,0,0,
174,8.54,0,0,0,0,1.04,0,0,0,0,
175,8.43,0,0,0,0,1.102,0,0,0,0,
176,8.43,0,0,0,0,1.102,0,0,0,0,
177,8.32,0,0,0,0,1.052,0,0,0,0,
178,8.32,0,0,0,0,1.052,0,0,0,0,
179,8.32,0,0,0,0,1.052,0,0,0,0,
180,8.21,0,0,0,0,1.057,0,0,0,0,
181,8.21,0,0,0,0,1.057,0,0,0,0,
182,8.09,0,0,0,0,1.11,0,0,0,0,
183,8.09,0,0,0,0,1.11,0,0,0,0,
184,7.97,0,0,0,0,1.11,0,0,0,0,
185,7.97,0,0,0,0,1,0,0,0,0,
186,7.97,0,0,0,0,1,0,0,0,0,
187,7.85,0,0,0,0,1.08,0,0,0,0,
188,7.85,0,0,0,0,1.08,0,0,0,0,
189,7.72,0,0,0,0,1.142,0,0,0,0,
190,7.72,0,0,0,0,1.142,0,0,0,0,
191,7.59,0,0,0,0,1.064,0,0,0,0,
192,7.59,0,0,0,0,1.064,0,0,0,0,
193,7.46,0,0,0,0,1.064,0,0,0,0,
194,7.46,0,0,0,0,0.865,0,0,0,0,
195,7.46,0,0,0,0,0.865,0,0,0,0,
196,7.32,0,0,0,0,1.128,0,0,0,0,
197,7.32,0,0,0,0,1.128,0,0,0,0,
198,7.18,0,0,0,0,0.602,0,0,0,0,
199,7.18,0,0,0,0,0.602,0,0,0,0,
200,7.03,0,0,0,0,0.641,0,0,0,0,
201,7.03,0,0,0,0,0.641,0,0,0,0,
202,7.03,0,0,0,0,0.641,0,0,0,0,
203,6.88,0,0,0,0,0.74,0,0,0,0,
204,6.88,0,0,0,0,0.74,0,0,0,0,
205,6.73,0,0,0,0,0.444,0,0,0,0,
206,6.73,0,0,0,0,0.444,0,0,0,0,
207,6.59,0,0,0,0,0.586,0,0,0,0,
