count, lifter pos (mm), left pedal pos (mm), left slider pos (mm), right pedal pos (mm), right slider pos (mm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
0,-0.003,0,-88.23,-0.003,89.49,0.215,0.298,5.222,0.44,-5.253,
1,-0.003,0,-70.806,-0.003,77.184,0.25,0.277,4.584,0.53,-6.029,
2,-0.002,0,-50.586,-0.003,56.91,0.181,0.535,2.765,0.44,-6.08,
3,-0.001,0.003,-25.896,-0.003,34.35,0.295,0.352,-5.674,0.479,-4.63,
4,-0.001,0,-3.762,-0.006,9.666,0.204,0.277,-5.14,0.693,3.298,
5,0.001,0,16.692,-0.003,-21.36,0.022,0.201,-1.811,0.423,3.9,
6,0.003,0,31.956,-0.006,-47.484,-0.184,0.223,-2.005,0.53,3.899,
7,0.004,0,42.36,-0.003,-68.262,-0.432,0.201,-2.747,0.502,2.653,
8,0.005,0,46.788,-0.003,-81.36,-0.569,0.212,-3.192,0.496,2.873,
9,0.006,0,47.514,-0.003,-91.56,-0.717,0.212,1.417,0.53,2.625,
10,0.006,0,47.562,-0.003,-97.176,-0.74,0.223,1.362,0.406,3.118,
11,0.005,0,47.628,0,-99.414,-0.831,0.201,-4.53,0.507,5.307,
12,0.004,0,43.248,-0.003,-97.836,-0.877,0.201,-4.992,0.428,5.551,
13,0.004,0,36.078,0,-92.916,-0.9,0.223,-4.062,0.451,5.973,
14,0.003,0,25.704,0,-84.804,-0.923,0.223,-4.505,0.434,4.981,
15,0.003,0,13.014,0,-74.088,-0.923,0.201,-3.911,0.417,5.449,
16,0.003,0,-1.746,-0.003,-61.254,-0.968,0.234,-5.815,0.4,5.289,
17,0.002,0,-19.518,0,-43.026,-1.002,0.191,5.113,0.462,6.085,
18,0.001,0,-42.822,0,-20.184,-0.923,0.069,3.986,0.507,6.298,
19,0,0,-60.018,0,4.17,-0.777,0.191,2.867,0.473,-2.811,
20,-0.001,0,-74.52,0,25.266,-0.868,0.18,2.66,0.462,-1.404,
21,-0.002,0,-85.014,0,45.234,-0.708,0.18,3.071,0.445,-2.12,
22,-0.003,0,-92.97,0,62.892,-0.469,0.18,2.824,0.496,-1.104,
23,-0.003,0,-97.8,0,76.866,-0.343,0.201,2.887,0.451,-1.053,
24,-0.004,0,-99.492,0,87.018,-0.343,0.169,-0.102,0.44,-1.217,
25,-0.004,0,-99.522,0,93.282,-0.241,0.18,-0.407,0.485,-1.028,
26,-0.004,0,-99.594,0,97.758,-0.149,0.191,-0.459,0.457,-2.087,
27,-0.004,0,-99.534,0,99.372,-0.149,0.169,4.809,0.462,-6.71,
28,-0.003,0,-94.776,0,97.5,-0.092,0.18,4.848,0.457,-6.094,
29,-0.003,0,-88.038,0,92.586,-0.229,0.18,5.067,0.473,-5.773,
30,-0.002,0,-78.9,0,85.002,-0.07,0.18,5.368,0.445,-5.813,
31,-0.002,0,-67.218,0,74.928,-0.058,0.191,4.402,0.44,-5.862,
32,-0.002,0,-52.554,-0.003,61.944,-0.001,0.069,7.172,0.423,-6.283,
33,-0.002,0,-35.586,0,46.614,-0.092,0.137,3.737,0.462,-4.61,
34,-0.001,0.003,-15.99,0,28.692,-0.047,0.664,9.249,0.462,-6.158,
35,0,0,6.042,-0.003,8.16,-0.241,0.091,-0.2,0.715,1.492,
36,0,0,27.318,0,-14.766,-0.229,0.126,-4.746,0.665,3.946,
37,0.001,0,45.366,-0.003,-34.446,-0.195,0.148,0.756,0.293,2.409,
38,0.002,0,60.75,0,-51.474,-0.492,0.062,-1.695,0.395,3.211,
39,0.003,-0.003,74.136,0,-66.57,-0.546,0.159,-3.695,0.378,3.259,
40,0.005,-0.003,84.288,0,-78.282,-0.854,0.015,-2.185,0.389,2.751,
41,0.006,0,91.896,0,-87.438,-1.014,0.062,-1.581,0.496,2.629,
