count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
0,0.09,0,0,0,0,-2.53,0,0,0,0,
0.01,0.09,0,0,0,0,-2.53,0,0,0,0,
0.02,0.1,0,0,0,0,-3.048,0,0,0,0,
0.03,0.1,0,0,0,0,-3.048,0,0,0,0,
0.04,0.1,0,0,0,0,-3.048,0,0,0,0,
0.05,0.13,0,0,0,0,-3.102,0,0,0,0,
0.06,0.13,0,0,0,0,-3.102,0,0,0,0,
0.07,0.17,0,0,0,0,-2.99,0,0,0,0,
0.08,0.17,0,0,0,0,-2.99,0,0,0,0,
0.09,0.24,0,0,0,0,-2.99,0,0,0,0,
0.09999999,0.24,0,0,0,0,-3.07,0,0,0,0,
0.11,0.24,0,0,0,0,-3.07,0,0,0,0,
0.12,0.32,0,0,0,0,-3.338,0,0,0,0,
0.13,0.32,0,0,0,0,-3.338,0,0,0,0,
0.14,0.42,0,0,0,0,-3.262,0,0,0,0,
0.15,0.42,0,0,0,0,-3.262,0,0,0,0,
0.16,0.53,0,0,0,0,-3.262,0,0,0,0,
0.17,0.53,0,0,0,0,-3.21,0,0,0,0,
0.18,0.53,0,0,0,0,-3.21,0,0,0,0,
0.19,0.66,0,0,0,0,-2.453,0,0,0,0,
0.2,0.66,0,0,0,0,-2.453,0,0,0,0,
0.21,0.8,0,0,0,0,-1.055,0,0,0,0,
0.22,0.8,0,0,0,0,-1.055,0,0,0,0,
0.23,0.94,0,0,0,0,-1.055,0,0,0,0,
0.24,0.94,0,0,0,0,-0.756,0,0,0,0,
0.25,0.94,0,0,0,0,-0.756,0,0,0,0,
0.26,1.09,0,0,0,0,-0.522,0,0,0,0,
0.27,1.09,0,0,0,0,-0.522,0,0,0,0,
0.28,1.23,0,0,0,0,-0.589,0,0,0,0,
0.29,1.23,0,0,0,0,-0.589,0,0,0,0,
0.3,1.23,0,0,0,0,-0.589,0,0,0,0,
0.31,1.39,0,0,0,0,-0.236,0,0,0,0,
0.32,1.39,0,0,0,0,-0.236,0,0,0,0,
0.33,1.54,0,0,0,0,-0.615,0,0,0,0,
0.34,1.54,0,0,0,0,-0.615,0,0,0,0,
0.35,1.69,0,0,0,0,-0.239,0,0,0,0,
0.36,1.69,0,0,0,0,-0.239,0,0,0,0,
0.37,1.69,0,0,0,0,-0.239,0,0,0,0,
0.38,1.83,0,0,0,0,-0.453,0,0,0,0,
0.39,1.83,0,0,0,0,-0.453,0,0,0,0,
0.4,1.98,0,0,0,0,-0.53,0,0,0,0,
0.41,1.98,0,0,0,0,-0.53,0,0,0,0,
0.42,2.13,0,0,0,0,-0.543,0,0,0,0,
0.43,2.13,0,0,0,0,-0.543,0,0,0,0,
0.44,2.27,0,0,0,0,-0.143,0,0,0,0,
0.45,2.27,0,0,0,0,-0.143,0,0,0,0,
0.46,2.27,0,0,0,0,-0.143,0,0,0,0,
0.47,2.41,0,0,0,0,3.863,0,0,0,0,
0.48,2.41,0,0,0,0,3.863,0,0,0,0,
0.49,2.53,0,0,0,0,2.957,0,0,0,0,
0.5,2.53,0,0,0,0,2.957,0,0,0,0,
0.51,2.62,0,0,0,0,2.145,0,0,0,0,
0.52,2.62,0,0,0,0,2.145,0,0,0,0,
0.53,2.7,0,0,0,0,2.145,0,0,0,0,
0.54,2.7,0,0,0,0,1.325,0,0,0,0,
0.55,2.7,0,0,0,0,1.325,0,0,0,0,
0.56,2.78,0,0,0,0,1.165,0,0,0,0,
0.57,2.78,0,0,0,0,1.165,0,0,0,0,
0.58,2.83,0,0,0,0,1.358,0,0,0,0,
0.59,2.83,0,0,0,0,1.358,0,0,0,0,
0.6,2.89,0,0,0,0,1.257,0,0,0,0,
0.61,2.89,0,0,0,0,1.257,0,0,0,0,
0.62,2.89,0,0,0,0,1.257,0,0,0,0,
0.63,2.93,0,0,0,0,1.139,0,0,0,0,
0.64,2.93,0,0,0,0,1.139,0,0,0,0,
0.65,2.96,0,0,0,0,1.119,0,0,0,0,
0.66,2.96,0,0,0,0,1.119,0,0,0,0,
0.67,2.99,0,0,0,0,1.199,0,0,0,0,
0.68,2.99,0,0,0,0,1.199,0,0,0,0,
0.69,3.01,0,0,0,0,1.199,0,0,0,0,
0.7,3.01,0,0,0,0,0.054,0,0,0,0,
0.71,3.01,0,0,0,0,0.054,0,0,0,0,
0.72,3.02,0,0,0,0,0.079,0,0,0,0,
0.73,3.02,0,0,0,0,0.079,0,0,0,0,
0.74,3.03,0,0,0,0,-0.016,0,0,0,0,
0.75,3.03,0,0,0,0,-0.016,0,0,0,0,
0.76,3.04,0,0,0,0,-0.016,0,0,0,0,
0.77,3.04,0,0,0,0,0.064,0,0,0,0,
