count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
0,0,0,0,0,0,0.176,0,0,0,0,
1,0,0,0,0,0,0.118,0,0,0,0,
2,0,0,0,0,0,0.118,0,0,0,0,
3,0,0,0,0,0,0.169,0,0,0,0,
4,0,0,0,0,0,0.169,0,0,0,0,
5,0,0,0,0,0,0.261,0,0,0,0,
6,0,0,0,0,0,0.261,0,0,0,0,
7,0,0,0,0,0,0.261,0,0,0,0,
8,0,0,0,0,0,0.172,0,0,0,0,
9,0,0,0,0,0,0.172,0,0,0,0,
10,0,0,0,0,0,0.103,0,0,0,0,
11,0,0,0,0,0,0.103,0,0,0,0,
12,0,0,0,0,0,0.103,0,0,0,0,
13,0,0,0,0,0,-0.285,0,0,0,0,
14,0,0,0,0,0,-0.285,0,0,0,0,
15,0,0,0,0,0,-0.468,0,0,0,0,
16,0,0,0,0,0,-0.468,0,0,0,0,
17,0,0,0,0,0,-0.606,0,0,0,0,
18,0,0,0,0,0,-0.606,0,0,0,0,
19,0.01,0,0,0,0,-0.614,0,0,0,0,
20,0.01,0,0,0,0,-0.614,0,0,0,0,
21,0.01,0,0,0,0,-0.614,0,0,0,0,
22,0.01,0,0,0,0,-0.654,0,0,0,0,
23,0.01,0,0,0,0,-0.654,0,0,0,0,
24,0.02,0,0,0,0,-0.66,0,0,0,0,
25,0.02,0,0,0,0,-0.66,0,0,0,0,
26,0.04,0,0,0,0,-0.709,0,0,0,0,
27,0.04,0,0,0,0,-0.709,0,0,0,0,
28,0.05,0,0,0,0,-0.709,0,0,0,0,
29,0.05,0,0,0,0,-0.638,0,0,0,0,
30,0.05,0,0,0,0,-0.638,0,0,0,0,
31,0.07,0,0,0,0,-0.689,0,0,0,0,
32,0.07,0,0,0,0,-0.689,0,0,0,0,
33,0.09,0,0,0,0,-0.641,0,0,0,0,
34,0.09,0,0,0,0,-0.641,0,0,0,0,
35,0.11,0,0,0,0,-0.641,0,0,0,0,
36,0.11,0,0,0,0,-0.642,0,0,0,0,
37,0.11,0,0,0,0,-0.642,0,0,0,0,
38,0.13,0,0,0,0,-0.681,0,0,0,0,
39,0.13,0,0,0,0,-0.681,0,0,0,0,
40,0.16,0,0,0,0,-0.557,0,0,0,0,
41,0.16,0,0,0,0,-0.557,0,0,0,0,
42,0.19,0,0,0,0,-0.557,0,0,0,0,
43,0.19,0,0,0,0,-0.575,0,0,0,0,
44,0.19,0,0,0,0,-0.575,0,0,0,0,
45,0.22,0,0,0,0,-0.672,0,0,0,0,
46,0.22,0,0,0,0,-0.672,0,0,0,0,
47,0.25,0,0,0,0,-0.27,0,0,0,0,
