time (s), lifter (1cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,-3.411,-0.007,0.001,-0.006,0.019,-0.034,-0.191,-0.36,-0.066,
0.01,0,0,0,0,0,0,0,0,0,-3.411,-0.007,0.001,-0.006,0.019,-0.034,-0.191,-0.36,-0.066,
0.02,0,0,0,0,0,0,0,0,0,-3.411,-0.007,0.001,-0.006,0.019,-0.034,-0.191,-0.36,-0.066,
0.03,0,0,0,0,0,0,0,0,0,-3.411,-0.007,0.001,-0.006,0.019,-0.034,-0.191,-0.36,-0.066,
0.04,0,0,0,0,0,0,0,0,0,-3.411,-0.007,0.001,-0.006,0.019,-0.034,-0.191,-0.36,-0.066,
0.05,0,0,0,0,0,0,0,0,0,-3.411,-0.007,0.001,-0.006,0.019,-0.034,-0.191,-0.36,-0.066,
0.06,0,0,0,0,0,0,0,0,0,-3.411,-0.007,0.001,-0.006,0.019,-0.034,-0.191,-0.36,-0.066,
0.07,0,0,0,0,0,0,0,0,0,-3.411,11.064,-4.136,-0.005,-0.005,-0.034,-0.191,-0.36,-0.066,
0.08,0,0,0,0,0,0,0,0,0,-3.411,11.064,-4.136,-0.005,-0.005,0.016,-0.077,-0.388,-0.066,
0.09,0,0,0,0,0,0,0,0,0,-3.411,11.064,-4.136,-0.005,-0.005,0.016,-0.077,-0.388,-0.085,
0.09999999,0,0,0,0,0,0,0,0,0,-3.411,11.064,-4.136,-0.005,-0.005,0.016,-0.077,-0.388,-0.085,
0.11,0,0,0,0,0,0,0,0,0,-3.411,11.064,-4.136,-0.005,-0.005,0.016,-0.077,-0.388,-0.085,
0.12,0,0.05,0.02,0,0,0,0,0,0,-3.411,11.064,-4.136,-0.005,-0.005,0.016,-0.077,-0.388,-0.085,
