count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
1.08,4.01,0,0,0,0,5.948,0,0,0,0
1.09,4.01,0,0,0,0,2.393,0,0,0,0
1.1,4.01,0,0,0,0,2.393,0,0,0,0
1.11,4.01,0,0,0,0,0.744,0,0,0,0
1.12,4.01,0,0,0,0,0.744,0,0,0,0
1.13,4.01,0,0,0,0,0.98,0,0,0,0
1.14,4.01,0,0,0,0,0.98,0,0,0,0
1.15,4.01,0,0,0,0,0.98,0,0,0,0
1.16,4,0,0,0,0,0.935,0,0,0,0
1.17,4,0,0,0,0,0.935,0,0,0,0
1.18,3.99,0,0,0,0,0.538,0,0,0,0
1.19,3.99,0,0,0,0,0.538,0,0,0,0
1.2,3.98,0,0,0,0,0.538,0,0,0,0
1.21,3.98,0,0,0,0,0.384,0,0,0,0
1.22,3.98,0,0,0,0,0.384,0,0,0,0
1.23,3.96,0,0,0,0,0.563,0,0,0,0
1.24,3.96,0,0,0,0,0.563,0,0,0,0
1.25,3.95,0,0,0,0,0.793,0,0,0,0
1.26,3.95,0,0,0,0,0.793,0,0,0,0
1.27,3.93,0,0,0,0,0.793,0,0,0,0
1.28,3.93,0,0,0,0,0.614,0,0,0,0
1.29,3.93,0,0,0,0,0.614,0,0,0,0
1.3,3.91,0,0,0,0,0.489,0,0,0,0
1.31,3.91,0,0,0,0,0.489,0,0,0,0
1.32,3.89,0,0,0,0,0.486,0,0,0,0
1.33,3.89,0,0,0,0,0.486,0,0,0,0
1.34,3.86,0,0,0,0,0.486,0,0,0,0
1.35,3.86,0,0,0,0,0.621,0,0,0,0
1.36,3.86,0,0,0,0,0.621,0,0,0,0
1.37,3.84,0,0,0,0,0.514,0,0,0,0
1.38,3.84,0,0,0,0,0.514,0,0,0,0
1.39,3.81,0,0,0,0,0.553,0,0,0,0
1.4,3.81,0,0,0,0,0.553,0,0,0,0
1.41,3.78,0,0,0,0,0.553,0,0,0,0
1.42,3.78,0,0,0,0,0.451,0,0,0,0
1.43,3.78,0,0,0,0,0.451,0,0,0,0
1.44,3.75,0,0,0,0,0.479,0,0,0,0
1.45,3.75,0,0,0,0,0.479,0,0,0,0
