count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
1.06,3.06,0,0,0,0,0.463,0,0,0,0,
1.07,3.05,0,0,0,0,0.507,0,0,0,0,
1.08,3.05,0,0,0,0,0.507,0,0,0,0,
1.09,3.04,0,0,0,0,0.602,0,0,0,0,
1.1,3.04,0,0,0,0,0.602,0,0,0,0,
1.11,3.03,0,0,0,0,0.602,0,0,0,0,
1.12,3.03,0,0,0,0,0.545,0,0,0,0,
1.13,3.03,0,0,0,0,0.545,0,0,0,0,
1.14,3.01,0,0,0,0,0.581,0,0,0,0,
1.15,3.01,0,0,0,0,0.581,0,0,0,0,
1.16,2.99,0,0,0,0,0.538,0,0,0,0,
1.17,2.99,0,0,0,0,0.538,0,0,0,0,
1.18,2.99,0,0,0,0,0.538,0,0,0,0,
1.19,2.97,0,0,0,0,0.468,0,0,0,0,
1.2,2.97,0,0,0,0,0.468,0,0,0,0,
1.21,2.95,0,0,0,0,0.55,0,0,0,0,
1.22,2.95,0,0,0,0,0.55,0,0,0,0,
1.23,2.92,0,0,0,0,0.56,0,0,0,0,
1.24,2.92,0,0,0,0,0.56,0,0,0,0,
1.25,2.89,0,0,0,0,0.526,0,0,0,0,
1.26,2.89,0,0,0,0,0.526,0,0,0,0,
1.27,2.89,0,0,0,0,0.526,0,0,0,0,
1.28,2.87,0,0,0,0,0.626,0,0,0,0,
1.29,2.87,0,0,0,0,0.626,0,0,0,0,
1.3,2.84,0,0,0,0,0.568,0,0,0,0,
1.31,2.84,0,0,0,0,0.568,0,0,0,0,
1.32,2.8,0,0,0,0,0.582,0,0,0,0,
1.33,2.8,0,0,0,0,0.582,0,0,0,0,
1.34,2.8,0,0,0,0,0.582,0,0,0,0,
1.35,2.77,0,0,0,0,0.586,0,0,0,0,
1.36,2.77,0,0,0,0,0.586,0,0,0,0,
1.37,2.73,0,0,0,0,0.481,0,0,0,0,
1.38,2.73,0,0,0,0,0.481,0,0,0,0,
1.39,2.69,0,0,0,0,0.481,0,0,0,0,
1.4,2.69,0,0,0,0,0.598,0,0,0,0,
1.41,2.69,0,0,0,0,0.598,0,0,0,0,
1.42,2.65,0,0,0,0,0.582,0,0,0,0,
1.43,2.65,0,0,0,0,0.582,0,0,0,0,
1.44,2.61,0,0,0,0,0.513,0,0,0,0,
1.45,2.61,0,0,0,0,0.513,0,0,0,0,
1.46,2.57,0,0,0,0,0.615,0,0,0,0,
1.47,2.57,0,0,0,0,0.615,0,0,0,0,
1.48,2.52,0,0,0,0,0.615,0,0,0,0,
1.49,2.52,0,0,0,0,0.591,0,0,0,0,
1.5,2.52,0,0,0,0,0.591,0,0,0,0,
1.51,2.47,0,0,0,0,0.603,0,0,0,0,
1.52,2.47,0,0,0,0,0.603,0,0,0,0,
1.53,2.42,0,0,0,0,0.469,0,0,0,0,
1.54,2.42,0,0,0,0,0.469,0,0,0,0,
1.55,2.37,0,0,0,0,0.469,0,0,0,0,
1.56,2.37,0,0,0,0,0.543,0,0,0,0,
1.57,2.37,0,0,0,0,0.543,0,0,0,0,
1.58,2.32,0,0,0,0,0.666,0,0,0,0,
1.59,2.32,0,0,0,0,0.666,0,0,0,0,
1.6,2.26,0,0,0,0,0.651,0,0,0,0,
1.61,2.26,0,0,0,0,0.651,0,0,0,0,
1.62,2.26,0,0,0,0,0.651,0,0,0,0,
1.63,2.2,0,0,0,0,0.649,0,0,0,0,
1.64,2.2,0,0,0,0,0.649,0,0,0,0,
1.65,2.14,0,0,0,0,0.118,0,0,0,0,
1.66,2.14,0,0,0,0,0.118,0,0,0,0,
1.67,2.08,0,0,0,0,0.204,0,0,0,0,
1.68,2.08,0,0,0,0,0.204,0,0,0,0,
1.69,2.02,0,0,0,0,0.09,0,0,0,0,
1.7,2.02,0,0,0,0,0.09,0,0,0,0,
1.71,2.02,0,0,0,0,0.09,0,0,0,0,
1.72,1.97,0,0,0,0,0.173,0,0,0,0,
1.73,1.97,0,0,0,0,0.173,0,0,0,0,
1.74,1.91,0,0,0,0,0.135,0,0,0,0,
1.75,1.91,0,0,0,0,0.135,0,0,0,0,
1.76,1.91,0,0,0,0,0.135,0,0,0,0,
1.77,1.85,0,0,0,0,0.17,0,0,0,0,
1.78,1.85,0,0,0,0,0.17,0,0,0,0,
1.79,1.79,0,0,0,0,0.167,0,0,0,0,
1.8,1.79,0,0,0,0,0.167,0,0,0,0,
1.81,1.74,0,0,0,0,0.145,0,0,0,0,
1.82,1.74,0,0,0,0,0.145,0,0,0,0,
1.83,1.74,0,0,0,0,0.145,0,0,0,0,
1.84,1.68,0,0,0,0,0.134,0,0,0,0,
1.85,1.68,0,0,0,0,0.134,0,0,0,0,
1.86,1.63,0,0,0,0,0.173,0,0,0,0,
1.87,1.63,0,0,0,0,0.173,0,0,0,0,
1.88,1.58,0,0,0,0,0.129,0,0,0,0,
1.89,1.58,0,0,0,0,0.129,0,0,0,0,
1.9,1.58,0,0,0,0,0.129,0,0,0,0,
1.91,1.53,0,0,0,0,0.087,0,0,0,0,
1.92,1.53,0,0,0,0,0.087,0,0,0,0,
1.93,1.48,0,0,0,0,0.158,0,0,0,0,
1.94,1.48,0,0,0,0,0.158,0,0,0,0,
1.95,1.43,0,0,0,0,0.159,0,0,0,0,
1.96,1.43,0,0,0,0,0.159,0,0,0,0,
1.97,1.43,0,0,0,0,0.159,0,0,0,0,
1.98,1.38,0,0,0,0,0.223,0,0,0,0,
1.99,1.38,0,0,0,0,0.223,0,0,0,0,
2,1.34,0,0,0,0,0.119,0,0,0,0,
2.01,1.34,0,0,0,0,0.119,0,0,0,0,
2.02,1.29,0,0,0,0,0.184,0,0,0,0,
2.03,1.29,0,0,0,0,0.184,0,0,0,0,
2.04,1.25,0,0,0,0,0.184,0,0,0,0,
2.05,1.25,0,0,0,0,0.175,0,0,0,0,
2.06,1.25,0,0,0,0,0.175,0,0,0,0,
2.07,1.2,0,0,0,0,0.164,0,0,0,0,
2.08,1.2,0,0,0,0,0.164,0,0,0,0,
2.09,1.16,0,0,0,0,0.175,0,0,0,0,
2.1,1.16,0,0,0,0,0.175,0,0,0,0,
2.11,1.16,0,0,0,0,0.175,0,0,0,0,
2.12,1.11,0,0,0,0,0.178,0,0,0,0,
2.13,1.11,0,0,0,0,0.178,0,0,0,0,
2.14,1.07,0,0,0,0,0.15,0,0,0,0,
2.15,1.07,0,0,0,0,0.15,0,0,0,0,
2.16,1.02,0,0,0,0,0.15,0,0,0,0,
2.17,1.02,0,0,0,0,0.162,0,0,0,0,
2.18,1.02,0,0,0,0,0.162,0,0,0,0,
2.19,0.98,0,0,0,0,0.192,0,0,0,0,
2.2,0.98,0,0,0,0,0.192,0,0,0,0,
2.21,0.94,0,0,0,0,0.151,0,0,0,0,
2.22,0.94,0,0,0,0,0.151,0,0,0,0,
2.23,0.9,0,0,0,0,0.151,0,0,0,0,
2.24,0.9,0,0,0,0,0.138,0,0,0,0,
2.25,0.9,0,0,0,0,0.138,0,0,0,0,
2.26,0.86,0,0,0,0,0.151,0,0,0,0,
2.27,0.86,0,0,0,0,0.151,0,0,0,0,
2.28,0.83,0,0,0,0,0.099,0,0,0,0,
2.29,0.83,0,0,0,0,0.099,0,0,0,0,
2.3,0.79,0,0,0,0,0.099,0,0,0,0,
2.31,0.79,0,0,0,0,0.146,0,0,0,0,
2.32,0.79,0,0,0,0,0.146,0,0,0,0,
2.33,0.75,0,0,0,0,0.142,0,0,0,0,
2.34,0.75,0,0,0,0,0.142,0,0,0,0,
2.35,0.72,0,0,0,0,0.095,0,0,0,0,
2.36,0.72,0,0,0,0,0.095,0,0,0,0,
2.37,0.69,0,0,0,0,0.139,0,0,0,0,
2.38,0.69,0,0,0,0,0.139,0,0,0,0,
2.39,0.69,0,0,0,0,0.139,0,0,0,0,
2.4,0.65,0,0,0,0,0.163,0,0,0,0,
2.41,0.65,0,0,0,0,0.163,0,0,0,0,
2.42,0.62,0,0,0,0,0.128,0,0,0,0,
2.43,0.62,0,0,0,0,0.128,0,0,0,0,
2.44,0.59,0,0,0,0,0.128,0,0,0,0,
2.45,0.59,0,0,0,0,0.226,0,0,0,0,
2.46,0.59,0,0,0,0,0.226,0,0,0,0,
2.47,0.56,0,0,0,0,0.116,0,0,0,0,
2.48,0.56,0,0,0,0,0.116,0,0,0,0,
2.49,0.52,0,0,0,0,0.147,0,0,0,0,
2.5,0.52,0,0,0,0,0.147,0,0,0,0,
2.51,0.5,0,0,0,0,0.114,0,0,0,0,
2.52,0.5,0,0,0,0,0.114,0,0,0,0,
2.53,0.47,0,0,0,0,0.114,0,0,0,0,
2.54,0.47,0,0,0,0,0.068,0,0,0,0,
2.55,0.47,0,0,0,0,0.068,0,0,0,0,
2.56,0.44,0,0,0,0,0.061,0,0,0,0,
2.57,0.44,0,0,0,0,0.061,0,0,0,0,
2.58,0.42,0,0,0,0,0.134,0,0,0,0,
2.59,0.42,0,0,0,0,0.134,0,0,0,0,
2.6,0.39,0,0,0,0,0.121,0,0,0,0,
