time (s), lifter (10cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,0.098,-0.001,0.008,-0.026,0.005,0.025,0.035,0.011,-0.022,
0.01,0,0,0,0,0,0,0,0,0,0.098,-0.001,0.008,-0.026,0.005,0.025,0.035,0.011,-0.022,
0.02,0,0,0,0,0,0,0,0,0,0.098,-0.001,0.008,-0.026,0.005,0.025,0.035,0.011,-0.022,
0.03,0,0,0,0,0,0,0,0,0,0.098,-0.001,0.008,-0.026,0.005,0.025,0.035,0.011,-0.022,
0.04,0,0,0,0,0,0,0,0,0,-0.007,-0.001,0.008,-0.026,0.005,0.025,0.035,0.011,-0.022,
0.05,0,0,0,0,0,0,0,0,0,-0.007,-0.001,-1.229,0.029,-0.016,0.025,0.035,0.011,-0.022,
0.06,0,0,0,0,0,0,0,0,0,-0.007,-0.001,-1.229,0.029,-0.016,0.002,0.124,-0.373,-0.433,
0.07,0,0,0,0,0,0,0,0,0,-0.007,-0.001,-1.229,0.029,-0.016,0.002,0.124,-0.373,-0.433,
0.08,0,0,0,0,0,0,0,0,0,-0.007,-0.001,-1.229,0.029,-0.016,0.002,0.124,-0.373,-0.433,
0.09,0,0,0,0,0,0,0,0,0,-0.007,-0.001,-1.229,0.029,-0.016,0.002,0.124,-0.373,-0.433,
0.09999999,0,0,0,0,0,0,0,0,0,-0.007,-0.001,-1.229,0.029,-0.016,0.002,0.124,-0.373,-0.433,
0.11,0,0,0,0,0,0,0,0,0,-0.007,-0.001,-1.229,0.029,-0.016,0.002,0.124,-0.373,-0.433,
0.12,0,0,0,0,0,0,0,0,0,0.03,-0.001,-1.022,0.022,0.001,0.002,0.124,-0.373,-0.433,
0.13,0,0,0,0,0,0,0,0,0,0.03,-0.001,-1.022,0.022,0.001,-0.021,0.025,-0.307,-0.318,
0.14,0,0,0,0,0,0,0,0,0,0.03,-0.001,-1.022,0.022,0.001,-0.021,0.025,-0.307,-0.318,
0.15,0,0,0,0,0,0,0,0,0,0.03,-0.001,-1.022,0.022,0.001,-0.021,0.025,-0.307,-0.318,
0.16,0,0,0,0,0,0,0,0,0,0.03,-0.001,-1.022,0.022,0.001,-0.021,0.025,-0.307,-0.318,
0.17,0,0,0,0,0,0,0,0,0.02,-0.022,-0.001,-1.022,0.022,0.001,-0.021,0.025,-0.307,-0.318,
0.18,0,0,0,0,0,0,0,0,0.02,-0.022,-0.001,-0.95,-0.015,0.006,0.014,0.005,-0.307,-0.318,
0.19,0,0,0,0,0,0,0,0,0.02,-0.022,-0.001,-0.95,-0.015,0.006,0.014,0.005,-0.279,-0.369,
0.2,0,0,0,0,0,0,0,0,0.02,-0.022,-0.001,-0.95,-0.015,0.006,0.014,0.005,-0.279,-0.369,
0.21,0,0,0,0,0,0,0,0,0.02,-0.022,-0.001,-0.95,-0.015,0.006,0.014,0.005,-0.279,-0.369,
0.22,0,0,0,0,0,0,0,0,0.02,-0.022,-0.001,-0.95,-0.015,0.006,0.014,0.005,-0.279,-0.369,
0.23,0,0,0,0,0,0,0,0.01,0.04,-0.022,-0.001,-0.95,-0.015,0.006,0.014,0.005,-0.279,-0.369,
0.24,0,0,0,0,0,0,0,0.01,0.04,-0.014,-0.012,-0.799,0.004,-0.003,0.014,0.005,-0.279,-0.369,
0.25,0,0,0,0,0,0,0,0.01,0.04,-0.014,-0.012,-0.799,0.004,-0.003,0.025,0.124,-0.389,-0.358,
0.26,0,0,0,0,0,0,0,0.01,0.04,-0.014,-0.012,-0.799,0.004,-0.003,0.025,0.124,-0.389,-0.358,
0.27,0,0,0,0,0,0,0,0.01,0.04,-0.014,-0.012,-0.799,0.004,-0.003,0.025,0.124,-0.389,-0.358,
0.28,0,0,0,0,0,0,0,0.01,0.04,-0.014,-0.012,-0.799,0.004,-0.003,0.025,0.124,-0.389,-0.358,
0.29,0,0,0.01,0,0,0,0,0.01,0.04,-0.014,-0.012,-0.799,0.004,-0.003,0.025,0.124,-0.389,-0.358,
0.3,0,0,0.01,0,0,0,0,0.01,0.07,0.008,-0.001,-0.799,0.004,-0.003,0.025,0.124,-0.389,-0.358,
0.31,0,0,0.01,0,0,0,0,0.01,0.07,0.008,-0.001,-0.744,-0.03,-0.001,0.048,0.124,-0.389,-0.358,
0.32,0,0,0.01,0,0,0,0,0.01,0.07,0.008,-0.001,-0.744,-0.03,-0.001,0.048,0.093,-0.289,-0.292,
0.33,0,0,0.01,0,0,0,0,0.01,0.07,0.008,-0.001,-0.744,-0.03,-0.001,0.048,0.093,-0.289,-0.292,
0.34,0,0,0.01,0,0,0,0,0.01,0.07,0.008,-0.001,-0.744,-0.03,-0.001,0.048,0.093,-0.289,-0.292,
0.35,0,0,0.01,0,0,0,0,0.01,0.07,0.008,-0.001,-0.744,-0.03,-0.001,0.048,0.093,-0.289,-0.292,
0.36,0,0,0.02,0,0,0,0,0.01,0.07,0.008,-0.001,-0.744,-0.03,-0.001,0.048,0.093,-0.289,-0.292,
0.37,0,0,0.02,0,0,0,0,0.02,0.11,0.008,-0.001,-0.744,-0.03,-0.001,0.048,0.093,-0.289,-0.292,
0.38,0,0,0.02,0,0,0,0,0.02,0.11,-0.044,-0.001,-0.824,-0.015,-0.001,0.048,0.093,-0.289,-0.292,
0.39,0,0,0.02,0,0,0,0,0.02,0.11,-0.044,-0.001,-0.824,-0.015,-0.025,0.036,0.065,-0.344,-0.292,
0.4,0,0,0.02,0,0,0,0,0.02,0.11,-0.044,-0.001,-0.824,-0.015,-0.025,0.036,0.065,-0.344,-0.163,
0.41,0,0,0.02,0,0,0,0,0.02,0.11,-0.044,-0.001,-0.824,-0.015,-0.025,0.036,0.065,-0.344,-0.163,
0.42,0,0,0.02,0,0,0,0,0.02,0.11,-0.044,-0.001,-0.824,-0.015,-0.025,0.036,0.065,-0.344,-0.163,
0.43,0,0,0.03,0,0,0,0,0.02,0.11,-0.044,-0.001,-0.824,-0.015,-0.025,0.036,0.065,-0.344,-0.163,
0.44,0,0,0.03,0,0,0,0,0.03,0.11,-0.044,-0.001,-0.824,-0.015,-0.025,0.036,0.065,-0.344,-0.163,
0.45,0,0,0.03,0,0,0,0,0.03,0.15,0.045,-0.001,-0.428,-0.015,-0.025,0.036,0.065,-0.344,-0.163,
0.46,0,0,0.03,0,0,0,0,0.03,0.15,0.045,-0.001,-0.428,0.033,0.005,0.059,0.071,-0.344,-0.163,
0.47,0,0,0.03,0,0,0,0,0.03,0.15,0.045,-0.001,-0.428,0.033,0.005,0.059,0.071,-0.33,-0.286,
0.48,0,0,0.03,0,0,0,0,0.03,0.15,0.045,-0.001,-0.428,0.033,0.005,0.059,0.071,-0.33,-0.286,
0.49,0,0,0.03,0,0,0,0,0.03,0.15,0.045,-0.001,-0.428,0.033,0.005,0.059,0.071,-0.33,-0.286,
0.5,0,0,0.03,0,0,0,0,0.03,0.15,0.045,-0.001,-0.428,0.033,0.005,0.059,0.071,-0.33,-0.286,
