time (s), lifter (10cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0,0,0,0,0,0,0,0,0,0.015,0,0.002,-0.017,-0.006,-0.023,-0.03,-0.093,0.079,
0.01,0,0,0,0,0,0,0,0,0,0.015,0,0.002,-0.017,-0.006,-0.023,-0.03,-0.093,0.079,
0.02,0,0,0,0,0,0,0,0,0,-0.031,0,-0.004,-0.017,-0.006,-0.023,-0.03,-0.093,0.079,
0.03,0,0,0,0,0,0,0,0,0,-0.031,0,-0.004,0.005,-0.096,-0.046,0.004,-0.093,0.079,
0.04,0,0,0,0,0,0,0,0,0,-0.031,0,-0.004,0.005,-0.096,-0.046,0.004,-0.456,-0.322,
0.05,0,0,0,0,0,0,0,0,0,-0.031,0,-0.004,0.005,-0.096,-0.046,0.004,-0.456,-0.322,
0.06,0,0,0,0,0,0,0,0,0,-0.031,0,-0.004,0.005,-0.096,-0.046,0.004,-0.456,-0.322,
0.07,0,0,0,0,0,0,0,0,0,-0.031,0,-0.004,0.005,-0.096,-0.046,0.004,-0.456,-0.322,
0.08,0,0,0,0,0,0,0,0,0,-0.031,0,-0.004,0.005,-0.096,-0.046,0.004,-0.456,-0.322,
0.09,0,0,0,0,0,0,0,0.01,0,0.026,0,-0.004,0.005,-0.096,-0.046,0.004,-0.456,-0.322,
0.09999999,0,0,0,0,0,0,0,0.01,0,0.026,0,0.002,0.011,-0.107,-0.046,0.004,-0.456,-0.322,
0.11,0,0,0,0,0,0,0,0.01,0,0.026,0,0.002,0.011,-0.107,-0.011,0.023,-0.588,-0.322,
0.12,0,0,0,0,0,0,0,0.01,0,0.026,0,0.002,0.011,-0.107,-0.011,0.023,-0.588,-0.31,
0.13,0,0,0,0,0,0,0,0.01,0,0.026,0,0.002,0.011,-0.107,-0.011,0.023,-0.588,-0.31,
0.14,0,0,0,0,0,0,0,0.01,0,0.026,0,0.002,0.011,-0.107,-0.011,0.023,-0.588,-0.31,
0.15,0,0,0,0,0,0,0,0.01,0,0.026,0,0.002,0.011,-0.107,-0.011,0.023,-0.588,-0.31,
0.16,0,0,0,0,0,0,0,0.05,0.02,0.026,0,0.002,0.011,-0.107,-0.011,0.023,-0.588,-0.31,
0.17,0,0,0,0,0,0,0,0.05,0.02,-0.031,0,-0.021,-0.028,-0.107,-0.011,0.023,-0.588,-0.31,
0.18,0,0,0,0,0,0,0,0.05,0.02,-0.031,0,-0.021,-0.028,-0.135,-0.013,0.004,-0.556,-0.31,
0.19,0,0,0,0,0,0,0,0.05,0.02,-0.031,0,-0.021,-0.028,-0.135,-0.013,0.004,-0.556,-0.4,
0.2,0,0,0,0,0,0,0,0.05,0.02,-0.031,0,-0.021,-0.028,-0.135,-0.013,0.004,-0.556,-0.4,
0.21,0,0,0,0,0,0,0,0.05,0.02,-0.031,0,-0.021,-0.028,-0.135,-0.013,0.004,-0.556,-0.4,
0.22,0,0,0,0,0,0,0,0.05,0.02,-0.031,0,-0.021,-0.028,-0.135,-0.013,0.004,-0.556,-0.4,
0.23,0,0,0,0,0,0,0,0.05,0.02,-0.031,0,-0.021,-0.028,-0.135,-0.013,0.004,-0.556,-0.4,
0.24,0,0,0,0,0,0,0,0.1,0.04,0.026,-0.01,-0.021,-0.028,-0.135,-0.013,0.004,-0.556,-0.4,
0.25,0,0,0,0,0,0,0,0.1,0.04,0.026,-0.01,0.013,-0.006,-0.141,-0.013,0.004,-0.556,-0.4,
0.26,0,0,0,0,0,0,0,0.1,0.04,0.026,-0.01,0.013,-0.006,-0.141,0.001,0.021,-0.575,-0.384,
0.27,0,0,0,0,0,0,0,0.1,0.04,0.026,-0.01,0.013,-0.006,-0.141,0.001,0.021,-0.575,-0.384,
0.28,0,0,0,0,0,0,0,0.1,0.04,0.026,-0.01,0.013,-0.006,-0.141,0.001,0.021,-0.575,-0.384,
0.29,0,0,0,0,0,0,0,0.1,0.04,0.026,-0.01,0.013,-0.006,-0.141,0.001,0.021,-0.575,-0.384,
0.3,0,0,0,0,0,0,0,0.1,0.04,0.026,-0.01,0.013,-0.006,-0.141,0.001,0.021,-0.575,-0.384,
0.31,0,0,0,0,0,0,0,0.16,0.07,0.026,-0.01,0.013,-0.006,-0.141,0.001,0.021,-0.575,-0.384,
0.32,0,0,0,0,0,0,0,0.16,0.07,0.026,0,0.013,0.017,-0.141,0.001,0.021,-0.575,-0.384,
0.33,0,0,0,0,0,0,0,0.16,0.07,0.026,0,0.013,0.017,-0.175,0.036,-0.051,-0.692,-0.384,
0.34,0,0,0,0,0,0,0,0.16,0.07,0.026,0,0.013,0.017,-0.175,0.036,-0.051,-0.692,-0.283,
0.35,0,0,0,0,0,0,0,0.16,0.07,0.026,0,0.013,0.017,-0.175,0.036,-0.051,-0.692,-0.283,
0.36,0,0,0,0,0,0,0,0.16,0.07,0.026,0,0.013,0.017,-0.175,0.036,-0.051,-0.692,-0.283,
0.37,0,0,0,0,0,0,0,0.16,0.07,0.026,0,0.013,0.017,-0.175,0.036,-0.051,-0.692,-0.283,
0.38,0,0,0,0,0,0,0,0.23,0.12,0.026,0,0.013,0.017,-0.175,0.036,-0.051,-0.692,-0.283,
0.39,0,0,0,0,0,0,0,0.23,0.12,-0.054,0,-0.015,-0.017,-0.175,0.036,-0.051,-0.692,-0.283,
0.4,0,0,0,0,0,0,0,0.23,0.12,-0.054,0,-0.015,-0.017,-0.135,-0.069,-0.035,-0.687,-0.283,
0.41,0,0,0,0,0,0,0,0.23,0.12,-0.054,0,-0.015,-0.017,-0.135,-0.069,-0.035,-0.687,-0.229,
0.42,0,0,0,0,0,0,0,0.23,0.12,-0.054,0,-0.015,-0.017,-0.135,-0.069,-0.035,-0.687,-0.229,
0.43,0,0,0,0,0,0,0,0.23,0.12,-0.054,0,-0.015,-0.017,-0.135,-0.069,-0.035,-0.687,-0.229,
0.44,0,0,0,0,0,0,0,0.23,0.12,-0.054,0,-0.015,-0.017,-0.135,-0.069,-0.035,-0.687,-0.229,
0.45,0,0,0,0,0,0,0,0.31,0.16,-0.042,-0.01,-0.015,-0.017,-0.135,-0.069,-0.035,-0.687,-0.229,
0.46,0,0,0,0,0,0,0,0.31,0.16,-0.042,-0.01,-0.004,-0.04,-0.085,-0.069,-0.035,-0.687,-0.229,
0.47,0,0,0,0,0,0,0,0.31,0.16,-0.042,-0.01,-0.004,-0.04,-0.085,-0.023,0.002,-0.612,-0.268,
0.48,0,0,0,0,0,0,0,0.31,0.16,-0.042,-0.01,-0.004,-0.04,-0.085,-0.023,0.002,-0.612,-0.268,
0.49,0,0,0,0,0,0,0,0.31,0.16,-0.042,-0.01,-0.004,-0.04,-0.085,-0.023,0.002,-0.612,-0.268,
0.5,0,0,0,0,0,0,0,0.31,0.16,-0.042,-0.01,-0.004,-0.04,-0.085,-0.023,0.002,-0.612,-0.268,
0.51,0,0,0,0,0,0,0,0.41,0.16,-0.042,-0.01,-0.004,-0.04,-0.085,-0.023,0.002,-0.612,-0.268,
0.52,0,0,0,0,0,0,0,0.41,0.2,-0.019,0,-0.004,-0.04,-0.085,-0.023,0.002,-0.612,-0.268,
0.53,0,0,0,0,0,0,0,0.41,0.2,-0.019,0,0.024,-0.017,-0.102,-0.034,0.002,-0.612,-0.268,
0.54,0,0,0,0,0,0,0,0.41,0.2,-0.019,0,0.024,-0.017,-0.102,-0.034,0.038,-0.779,-0.18,
0.55,0,0,0,0,0,0,0,0.41,0.2,-0.019,0,0.024,-0.017,-0.102,-0.034,0.038,-0.779,-0.18,
0.56,0,0,0,0,0,0,0,0.41,0.2,-0.019,0,0.024,-0.017,-0.102,-0.034,0.038,-0.779,-0.18,
0.57,0,0,0,0,0,0,0,0.41,0.2,-0.019,0,0.024,-0.017,-0.102,-0.034,0.038,-0.779,-0.18,
