clockTime,deltaTime,absolutePosition,useStiffness
2,1.71428571428571,30,0
3.71428571428571,2.28571428571429,0,0
6,1.71428571428571,30,0
7.71428571428571,2.28571428571429,0,0
10,1.71428571428571,30,0
11.7142857142857,2.28571428571429,0,0
14,1.71428571428571,30,0
15.7142857142857,2.28571428571429,0,0
18,1.71428571428571,30,0
19.7142857142857,2.28571428571429,0,0
22,1.71428571428571,30,0
23.7142857142857,2.28571428571429,0,0
26,1.71428571428571,30,0
27.7142857142857,2.28571428571429,0,0
30,1.71428571428571,30,0
31.7142857142857,2.28571428571429,0,0
34,1.71428571428571,30,0
35.7142857142857,2.28571428571429,0,0
38,1.71428571428571,30,0
39.7142857142857,2.28571428571429,0,0
42,1.71428571428571,30,0
43.7142857142857,2.28571428571429,0,0
46,1.71428571428571,30,0
47.7142857142857,2.28571428571429,0,0
50,1.71428571428571,30,0
51.7142857142857,2.28571428571429,0,0
54,1.71428571428571,30,0
55.7142857142857,2.28571428571429,0,0
58,1.71428571428571,30,0
59.7142857142857,2.28571428571429,0,0
62,1.71428571428571,30,0
63.7142857142857,2.28571428571429,0,0
66,1.71428571428571,30,0
67.7142857142857,2.28571428571429,0,0
70,1.71428571428571,30,0
71.7142857142857,2.28571428571429,0,0
74,1.71428571428571,30,0
75.7142857142857,2.28571428571429,0,0
78,1.71428571428571,30,0
79.7142857142857,2.28571428571429,0,0
82,1.71428571428571,30,0
83.7142857142857,2.28571428571429,0,0
86,1.71428571428571,30,0
87.7142857142857,2.28571428571429,0,0
