clockTime,deltaTime,absolutePosition,useStiffness
2.85714285714286,1.14285714285714,40,0
4,1.28571428571429,0,0
6.85714285714286,1.14285714285714,40,0
8,1.28571428571429,0,0
10.8571428571429,1.14285714285714,40,0
12,1.28571428571429,0,0
14.8571428571429,1.14285714285714,40,0
16,1.28571428571429,0,0
18.8571428571429,1.14285714285714,40,0
20,1.28571428571429,0,0
22.8571428571429,1.14285714285714,40,0
24,1.28571428571429,0,0
26.8571428571429,1.14285714285714,40,0
28,1.28571428571429,0,0
30.8571428571429,1.14285714285714,40,0
32,1.28571428571429,0,0
34.8571428571429,1.14285714285714,40,0
36,1.28571428571429,0,0
38.8571428571429,1.14285714285714,40,0
40,1.28571428571429,0,0
42.8571428571429,1.14285714285714,40,0
44,1.28571428571429,0,0
46.8571428571429,1.14285714285714,40,0
48,1.28571428571429,0,0
50.8571428571429,1.14285714285714,40,0
52,1.28571428571429,0,0
54.8571428571429,1.14285714285714,40,0
56,1.28571428571429,0,0
58.8571428571429,1.14285714285714,40,0
60,1.28571428571429,0,0
62.8571428571429,1.14285714285714,40,0
64,1.28571428571429,0,0
66.8571428571429,1.14285714285714,40,0
68,1.28571428571429,0,0
70.8571428571429,1.14285714285714,40,0
72,1.28571428571429,0,0
74.8571428571429,1.14285714285714,40,0
76,1.28571428571429,0,0
78.8571428571429,1.14285714285714,40,0
80,1.28571428571429,0,0
82.8571428571429,1.14285714285714,40,0
84,1.28571428571429,0,0
86.8571428571429,1.14285714285714,40,0
88,1.28571428571429,0,0
